Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,1,2,2
2014,3,0,3,2
2014,4,3,4,5
2014,5,0,5,5
2014,6,0,6,5
2014,7,0,7,5
2014,8,0,8,5
2014,9,0,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,1,14,6
2014,15,2,15,8
2014,16,0,16,8
2014,17,1,17,9
2014,18,1,18,10
2014,19,0,19,10
2014,20,0,20,10
2014,21,1,21,11
2014,22,0,22,11
2014,23,0,23,11
2014,24,0,24,11
2014,25,0,25,11
2014,26,0,26,11
2014,27,1,27,12
2014,28,1,28,13
2014,29,1,29,14
2014,30,2,30,16
2014,31,2,31,18
2014,32,0,32,18
2014,33,0,33,18
2014,34,1,34,19
2014,35,0,35,19
2014,36,1,36,20
2014,37,0,37,20
2014,38,0,38,20
2014,39,0,39,20
2014,40,1,40,21
2014,41,0,41,21
2014,42,0,42,21
2014,43,0,43,21
2014,44,2,44,23
2014,45,0,45,23
2014,46,1,46,24
2014,47,1,47,25
2014,48,0,48,25
2014,49,4,49,29
2014,50,0,50,29
2014,51,1,51,30
2014,52,0,52,30
2014,53,0,53,30
2015,1,1,54,31
2015,2,2,55,33
2015,3,1,56,34
2015,4,0,57,34
2015,5,0,58,34
2015,6,0,59,34
2015,7,0,60,34
2015,8,0,61,34
2015,9,0,62,34
2015,10,1,63,35
2015,11,0,64,35
2015,12,0,65,35
2015,13,0,66,35
2015,14,0,67,35
2015,15,1,68,36
2015,16,5,69,41
2015,17,0,70,41
2015,18,0,71,41
2015,19,4,72,45
2015,20,0,73,45
2015,21,0,74,45
2015,22,1,75,46
2015,23,1,76,47
2015,24,1,77,48
2015,25,0,78,48
2015,26,0,79,48
2015,27,2,80,50
2015,28,1,81,51
2015,29,1,82,52
2015,30,0,83,52
2015,31,0,84,52
2015,32,1,85,53
2015,33,2,86,55
2015,34,1,87,56
2015,35,0,88,56
2015,36,0,89,56
2015,37,1,90,57
2015,38,1,91,58
2015,39,0,92,58
2015,40,1,93,59
2015,41,0,94,59
2015,42,0,95,59
2015,43,0,96,59
2015,44,3,97,62
2015,45,1,98,63
2015,46,1,99,64
2015,47,2,100,66
2015,48,0,101,66
2015,49,1,102,67
2015,50,1,103,68
2015,51,0,104,68
2015,52,1,105,69
2016,1,0,106,69
2016,2,0,107,69
2016,3,0,108,69
2016,4,0,109,69
2016,5,0,110,69
2016,6,0,111,69
2016,7,0,112,69
2016,8,0,113,69
2016,9,1,114,70
2016,10,1,115,71
2016,11,0,116,71
2016,12,0,117,71
2016,13,1,118,72
2016,14,0,119,72
2016,15,0,120,72
2016,16,2,121,74
2016,17,1,122,75
2016,18,1,123,76
2016,19,0,124,76
2016,20,0,125,76
2016,21,3,126,79
2016,22,2,127,81
2016,23,2,128,83
2016,24,3,129,86
2016,25,0,130,86
2016,26,0,131,86
2016,27,1,132,87
2016,28,0,133,87
2016,29,0,134,87
2016,30,0,135,87
2016,31,0,136,87
2016,32,0,137,87
2016,33,1,138,88
2016,34,0,139,88
2016,35,1,140,89
2016,36,1,141,90
2016,37,0,142,90
2016,38,0,143,90
2016,39,0,144,90
2016,40,0,145,90
2016,41,1,146,91
2016,42,0,147,91
2016,43,1,148,92
2016,44,4,149,96
2016,45,0,150,96
2016,46,0,151,96
2016,47,0,152,96
2016,48,0,153,96
2016,49,7,154,103
2016,50,0,155,103
2016,51,0,156,103
2016,52,0,157,103
2017,1,0,158,103
2017,2,1,159,104
2017,3,1,160,105
2017,4,0,161,105
2017,5,0,162,105
2017,6,0,163,105
2017,7,0,164,105
2017,8,1,165,106
2017,9,0,166,106
2017,10,0,167,106
2017,11,0,168,106
2017,12,0,169,106
2017,13,1,170,107
2017,14,0,171,107
2017,15,0,172,107
