Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,1,2,2
2014,3,0,3,2
2014,4,0,4,2
2014,5,1,5,3
2014,6,1,6,4
2014,7,3,7,7
2014,8,3,8,10
2014,9,0,9,10
2014,10,1,10,11
2014,11,2,11,13
2014,12,0,12,13
2014,13,2,13,15
2014,14,3,14,18
2014,15,1,15,19
2014,16,2,16,21
2014,17,0,17,21
2014,18,1,18,22
2014,19,4,19,26
2014,20,0,20,26
2014,21,2,21,28
2014,22,1,22,29
2014,23,5,23,34
2014,24,0,24,34
2014,25,1,25,35
2014,26,4,26,39
2014,27,0,27,39
2014,28,2,28,41
2014,29,1,29,42
2014,30,1,30,43
2014,31,1,31,44
2014,32,5,32,49
2014,33,0,33,49
2014,34,4,34,53
2014,35,3,35,56
2014,36,1,36,57
2014,37,5,37,62
2014,38,1,38,63
2014,39,2,39,65
2014,40,2,40,67
2014,41,1,41,68
2014,42,2,42,70
2014,43,2,43,72
2014,44,2,44,74
2014,45,0,45,74
2014,46,4,46,78
2014,47,1,47,79
2014,48,1,48,80
2014,49,2,49,82
2014,50,0,50,82
2014,51,0,51,82
2014,52,1,52,83
2014,53,1,53,84
2015,1,0,54,84
2015,2,1,55,85
2015,3,0,56,85
2015,4,1,57,86
2015,5,1,58,87
2015,6,1,59,88
2015,7,4,60,92
2015,8,1,61,93
2015,9,1,62,94
2015,10,2,63,96
2015,11,4,64,100
2015,12,3,65,103
2015,13,0,66,103
2015,14,1,67,104
2015,15,3,68,107
2015,16,2,69,109
2015,17,1,70,110
2015,18,2,71,112
2015,19,2,72,114
2015,20,2,73,116
2015,21,3,74,119
2015,22,2,75,121
2015,23,1,76,122
2015,24,5,77,127
2015,25,2,78,129
2015,26,2,79,131
2015,27,1,80,132
2015,28,4,81,136
2015,29,2,82,138
2015,30,6,83,144
2015,31,1,84,145
2015,32,0,85,145
2015,33,6,86,151
2015,34,4,87,155
2015,35,4,88,159
2015,36,2,89,161
2015,37,2,90,163
2015,38,3,91,166
2015,39,2,92,168
2015,40,3,93,171
2015,41,2,94,173
2015,42,1,95,174
2015,43,1,96,175
2015,44,1,97,176
2015,45,1,98,177
2015,46,0,99,177
2015,47,3,100,180
2015,48,2,101,182
2015,49,1,102,183
2015,50,1,103,184
2015,51,1,104,185
2015,52,0,105,185
2016,1,0,106,185
2016,2,1,107,186
2016,3,0,108,186
2016,4,2,109,188
2016,5,2,110,190
2016,6,6,111,196
2016,7,1,112,197
2016,8,2,113,199
2016,9,2,114,201
2016,10,3,115,204
2016,11,0,116,204
2016,12,0,117,204
2016,13,4,118,208
2016,14,1,119,209
2016,15,1,120,210
2016,16,2,121,212
2016,17,4,122,216
2016,18,2,123,218
2016,19,2,124,220
2016,20,2,125,222
2016,21,1,126,223
2016,22,2,127,225
2016,23,3,128,228
2016,24,1,129,229
2016,25,0,130,229
2016,26,3,131,232
2016,27,0,132,232
2016,28,1,133,233
2016,29,2,134,235
2016,30,2,135,237
2016,31,1,136,238
2016,32,0,137,238
2016,33,2,138,240
2016,34,1,139,241
2016,35,4,140,245
2016,36,2,141,247
2016,37,0,142,247
2016,38,2,143,249
2016,39,3,144,252
2016,40,0,145,252
2016,41,4,146,256
2016,42,2,147,258
2016,43,3,148,261
2016,44,0,149,261
2016,45,1,150,262
2016,46,3,151,265
2016,47,2,152,267
2016,48,0,153,267
2016,49,1,154,268
2016,50,1,155,269
2016,51,0,156,269
2016,52,0,157,269
2017,1,0,158,269
2017,2,0,159,269
2017,3,0,160,269
2017,4,0,161,269
2017,5,0,162,269
2017,6,0,163,269
2017,7,1,164,270
2017,8,0,165,270
2017,9,0,166,270
2017,10,0,167,270
2017,11,3,168,273
2017,12,2,169,275
2017,13,0,170,275
2017,14,0,171,275
2017,15,1,172,276
