Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,1,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,1,11,2
2014,12,0,12,2
2014,13,1,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,1,20,4
2014,21,1,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,3,25,8
2014,26,1,26,9
2014,27,0,27,9
2014,28,0,28,9
2014,29,1,29,10
2014,30,0,30,10
2014,31,1,31,11
2014,32,1,32,12
2014,33,1,33,13
2014,34,0,34,13
2014,35,0,35,13
2014,36,1,36,14
2014,37,0,37,14
2014,38,0,38,14
2014,39,1,39,15
2014,40,1,40,16
2014,41,0,41,16
2014,42,1,42,17
2014,43,1,43,18
2014,44,0,44,18
2014,45,1,45,19
2014,46,0,46,19
2014,47,1,47,20
2014,48,0,48,20
2014,49,2,49,22
2014,50,0,50,22
2014,51,0,51,22
2014,52,0,52,22
2014,53,0,53,22
2015,1,0,54,22
2015,2,0,55,22
2015,3,0,56,22
2015,4,0,57,22
2015,5,0,58,22
2015,6,0,59,22
2015,7,0,60,22
2015,8,0,61,22
2015,9,1,62,23
2015,10,0,63,23
2015,11,2,64,25
2015,12,0,65,25
2015,13,0,66,25
2015,14,0,67,25
2015,15,0,68,25
2015,16,0,69,25
2015,17,0,70,25
2015,18,1,71,26
2015,19,2,72,28
2015,20,0,73,28
2015,21,1,74,29
2015,22,2,75,31
2015,23,1,76,32
2015,24,0,77,32
2015,25,0,78,32
2015,26,0,79,32
2015,27,6,80,38
2015,28,1,81,39
2015,29,1,82,40
2015,30,0,83,40
2015,31,1,84,41
2015,32,1,85,42
2015,33,0,86,42
2015,34,0,87,42
2015,35,1,88,43
2015,36,0,89,43
2015,37,1,90,44
2015,38,0,91,44
2015,39,1,92,45
2015,40,0,93,45
2015,41,0,94,45
2015,42,0,95,45
2015,43,0,96,45
2015,44,1,97,46
2015,45,0,98,46
2015,46,0,99,46
2015,47,0,100,46
2015,48,0,101,46
2015,49,0,102,46
2015,50,1,103,47
2015,51,0,104,47
2015,52,0,105,47
2016,1,0,106,47
2016,2,0,107,47
2016,3,0,108,47
2016,4,0,109,47
2016,5,0,110,47
2016,6,0,111,47
2016,7,0,112,47
2016,8,0,113,47
2016,9,1,114,48
2016,10,0,115,48
2016,11,0,116,48
2016,12,1,117,49
2016,13,0,118,49
2016,14,0,119,49
2016,15,1,120,50
2016,16,0,121,50
2016,17,2,122,52
2016,18,0,123,52
2016,19,0,124,52
2016,20,0,125,52
2016,21,2,126,54
2016,22,2,127,56
2016,23,0,128,56
2016,24,2,129,58
2016,25,0,130,58
2016,26,0,131,58
2016,27,0,132,58
2016,28,0,133,58
2016,29,0,134,58
2016,30,1,135,59
2016,31,2,136,61
2016,32,0,137,61
2016,33,0,138,61
2016,34,0,139,61
2016,35,1,140,62
2016,36,1,141,63
2016,37,0,142,63
2016,38,3,143,66
2016,39,0,144,66
2016,40,0,145,66
2016,41,1,146,67
2016,42,0,147,67
2016,43,1,148,68
2016,44,1,149,69
2016,45,1,150,70
2016,46,1,151,71
2016,47,1,152,72
2016,48,1,153,73
2016,49,1,154,74
2016,50,0,155,74
2016,51,1,156,75
2016,52,0,157,75
2017,1,0,158,75
2017,2,0,159,75
2017,3,0,160,75
2017,4,0,161,75
2017,5,0,162,75
2017,6,0,163,75
2017,7,0,164,75
2017,8,0,165,75
2017,9,0,166,75
2017,10,0,167,75
2017,11,1,168,76
2017,12,0,169,76
2017,13,0,170,76
2017,14,0,171,76
2017,15,0,172,76
