Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,0,24,0
2014,25,2,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,1,28,3
2014,29,0,29,3
2014,30,0,30,3
2014,31,1,31,4
2014,32,0,32,4
2014,33,1,33,5
2014,34,1,34,6
2014,35,0,35,6
2014,36,0,36,6
2014,37,0,37,6
2014,38,0,38,6
2014,39,1,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,0,46,7
2014,47,0,47,7
2014,48,0,48,7
2014,49,1,49,8
2014,50,0,50,8
2014,51,0,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,0,57,8
2015,5,0,58,8
2015,6,0,59,8
2015,7,0,60,8
2015,8,0,61,8
2015,9,0,62,8
2015,10,0,63,8
2015,11,0,64,8
2015,12,0,65,8
2015,13,0,66,8
2015,14,0,67,8
2015,15,0,68,8
2015,16,0,69,8
2015,17,1,70,9
2015,18,0,71,9
2015,19,0,72,9
2015,20,0,73,9
2015,21,0,74,9
2015,22,0,75,9
2015,23,0,76,9
2015,24,0,77,9
2015,25,0,78,9
2015,26,0,79,9
2015,27,0,80,9
2015,28,0,81,9
2015,29,0,82,9
2015,30,0,83,9
2015,31,0,84,9
2015,32,0,85,9
2015,33,0,86,9
2015,34,1,87,10
2015,35,0,88,10
2015,36,0,89,10
2015,37,0,90,10
2015,38,0,91,10
2015,39,1,92,11
2015,40,0,93,11
2015,41,0,94,11
2015,42,0,95,11
2015,43,0,96,11
2015,44,0,97,11
2015,45,0,98,11
2015,46,0,99,11
2015,47,0,100,11
2015,48,0,101,11
2015,49,0,102,11
2015,50,0,103,11
2015,51,0,104,11
2015,52,0,105,11
2016,1,0,106,11
2016,2,0,107,11
2016,3,0,108,11
2016,4,0,109,11
2016,5,0,110,11
2016,6,0,111,11
2016,7,0,112,11
2016,8,0,113,11
2016,9,0,114,11
2016,10,0,115,11
2016,11,0,116,11
2016,12,1,117,12
2016,13,0,118,12
2016,14,0,119,12
2016,15,1,120,13
2016,16,0,121,13
2016,17,0,122,13
2016,18,0,123,13
2016,19,0,124,13
2016,20,0,125,13
2016,21,0,126,13
2016,22,0,127,13
2016,23,0,128,13
2016,24,0,129,13
2016,25,0,130,13
2016,26,0,131,13
2016,27,0,132,13
2016,28,0,133,13
2016,29,0,134,13
2016,30,1,135,14
2016,31,0,136,14
2016,32,0,137,14
2016,33,0,138,14
2016,34,0,139,14
2016,35,0,140,14
2016,36,0,141,14
2016,37,0,142,14
2016,38,0,143,14
2016,39,1,144,15
2016,40,0,145,15
2016,41,0,146,15
2016,42,0,147,15
2016,43,0,148,15
2016,44,0,149,15
2016,45,0,150,15
2016,46,0,151,15
2016,47,0,152,15
2016,48,0,153,15
2016,49,0,154,15
2016,50,0,155,15
2016,51,0,156,15
2016,52,0,157,15
2017,1,0,158,15
2017,2,0,159,15
2017,3,0,160,15
2017,4,0,161,15
2017,5,0,162,15
2017,6,0,163,15
2017,7,0,164,15
2017,8,0,165,15
2017,9,0,166,15
2017,10,1,167,16
2017,11,0,168,16
2017,12,0,169,16
2017,13,2,170,18
2017,14,0,171,18
2017,15,1,172,19
