Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,0,4,1
2014,5,1,5,2
2014,6,1,6,3
2014,7,0,7,3
2014,8,0,8,3
2014,9,0,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,2,23,5
2014,24,1,24,6
2014,25,2,25,8
2014,26,4,26,12
2014,27,0,27,12
2014,28,2,28,14
2014,29,0,29,14
2014,30,2,30,16
2014,31,2,31,18
2014,32,0,32,18
2014,33,0,33,18
2014,34,0,34,18
2014,35,0,35,18
2014,36,0,36,18
2014,37,0,37,18
2014,38,0,38,18
2014,39,0,39,18
2014,40,0,40,18
2014,41,0,41,18
2014,42,0,42,18
2014,43,0,43,18
2014,44,0,44,18
2014,45,0,45,18
2014,46,1,46,19
2014,47,0,47,19
2014,48,0,48,19
2014,49,0,49,19
2014,50,0,50,19
2014,51,0,51,19
2014,52,0,52,19
2014,53,0,53,19
2015,1,1,54,20
2015,2,0,55,20
2015,3,0,56,20
2015,4,0,57,20
2015,5,0,58,20
2015,6,0,59,20
2015,7,0,60,20
2015,8,0,61,20
2015,9,0,62,20
2015,10,0,63,20
2015,11,0,64,20
2015,12,0,65,20
2015,13,0,66,20
2015,14,0,67,20
2015,15,0,68,20
2015,16,0,69,20
2015,17,0,70,20
2015,18,0,71,20
2015,19,0,72,20
2015,20,0,73,20
2015,21,0,74,20
2015,22,0,75,20
2015,23,0,76,20
2015,24,0,77,20
2015,25,1,78,21
2015,26,0,79,21
2015,27,0,80,21
2015,28,0,81,21
2015,29,0,82,21
2015,30,0,83,21
2015,31,0,84,21
2015,32,0,85,21
2015,33,0,86,21
2015,34,0,87,21
2015,35,0,88,21
2015,36,0,89,21
2015,37,0,90,21
2015,38,0,91,21
2015,39,0,92,21
2015,40,1,93,22
2015,41,0,94,22
2015,42,0,95,22
2015,43,0,96,22
2015,44,0,97,22
2015,45,0,98,22
2015,46,0,99,22
2015,47,0,100,22
2015,48,0,101,22
2015,49,0,102,22
2015,50,0,103,22
2015,51,0,104,22
2015,52,0,105,22
2016,1,0,106,22
2016,2,0,107,22
2016,3,0,108,22
2016,4,0,109,22
2016,5,0,110,22
2016,6,0,111,22
2016,7,0,112,22
2016,8,0,113,22
2016,9,0,114,22
2016,10,0,115,22
2016,11,1,116,23
2016,12,0,117,23
2016,13,0,118,23
2016,14,0,119,23
2016,15,0,120,23
2016,16,0,121,23
2016,17,0,122,23
2016,18,0,123,23
2016,19,0,124,23
2016,20,0,125,23
2016,21,0,126,23
2016,22,0,127,23
2016,23,0,128,23
2016,24,0,129,23
2016,25,0,130,23
2016,26,0,131,23
2016,27,0,132,23
2016,28,0,133,23
2016,29,0,134,23
2016,30,0,135,23
2016,31,0,136,23
2016,32,0,137,23
2016,33,0,138,23
2016,34,2,139,25
2016,35,0,140,25
2016,36,0,141,25
2016,37,0,142,25
2016,38,5,143,30
2016,39,0,144,30
2016,40,0,145,30
2016,41,1,146,31
2016,42,0,147,31
2016,43,0,148,31
2016,44,0,149,31
2016,45,0,150,31
2016,46,0,151,31
2016,47,0,152,31
2016,48,2,153,33
2016,49,5,154,38
2016,50,3,155,41
2016,51,2,156,43
2016,52,0,157,43
2017,1,1,158,44
2017,2,2,159,46
2017,3,0,160,46
2017,4,1,161,47
2017,5,0,162,47
2017,6,0,163,47
2017,7,1,164,48
2017,8,1,165,49
2017,9,5,166,54
2017,10,1,167,55
2017,11,4,168,59
2017,12,0,169,59
2017,13,3,170,62
2017,14,0,171,62
2017,15,2,172,64
