Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,2,4,2
2014,5,0,5,2
2014,6,1,6,3
2014,7,0,7,3
2014,8,0,8,3
2014,9,0,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,1,13,4
2014,14,1,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,0,31,5
2014,32,1,32,6
2014,33,0,33,6
2014,34,0,34,6
2014,35,0,35,6
2014,36,1,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,1,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,0,49,8
2014,50,1,50,9
2014,51,0,51,9
2014,52,0,52,9
2014,53,0,53,9
2015,1,0,54,9
2015,2,0,55,9
2015,3,0,56,9
2015,4,1,57,10
2015,5,0,58,10
2015,6,0,59,10
2015,7,0,60,10
2015,8,1,61,11
2015,9,0,62,11
2015,10,0,63,11
2015,11,0,64,11
2015,12,0,65,11
2015,13,0,66,11
2015,14,0,67,11
2015,15,0,68,11
2015,16,0,69,11
2015,17,0,70,11
2015,18,0,71,11
2015,19,0,72,11
2015,20,0,73,11
2015,21,0,74,11
2015,22,0,75,11
2015,23,0,76,11
2015,24,0,77,11
2015,25,0,78,11
2015,26,0,79,11
2015,27,0,80,11
2015,28,0,81,11
2015,29,0,82,11
2015,30,0,83,11
2015,31,0,84,11
2015,32,0,85,11
2015,33,0,86,11
2015,34,0,87,11
2015,35,0,88,11
2015,36,0,89,11
2015,37,0,90,11
2015,38,0,91,11
2015,39,0,92,11
2015,40,0,93,11
2015,41,0,94,11
2015,42,0,95,11
2015,43,0,96,11
2015,44,0,97,11
2015,45,0,98,11
2015,46,0,99,11
2015,47,0,100,11
2015,48,0,101,11
2015,49,0,102,11
2015,50,0,103,11
2015,51,0,104,11
2015,52,0,105,11
2016,1,0,106,11
2016,2,0,107,11
2016,3,0,108,11
2016,4,0,109,11
2016,5,0,110,11
2016,6,0,111,11
2016,7,0,112,11
2016,8,0,113,11
2016,9,0,114,11
2016,10,0,115,11
2016,11,0,116,11
2016,12,0,117,11
2016,13,0,118,11
2016,14,0,119,11
2016,15,0,120,11
2016,16,0,121,11
2016,17,0,122,11
2016,18,0,123,11
2016,19,0,124,11
2016,20,0,125,11
2016,21,0,126,11
2016,22,0,127,11
2016,23,0,128,11
2016,24,0,129,11
2016,25,0,130,11
2016,26,0,131,11
2016,27,0,132,11
2016,28,0,133,11
2016,29,0,134,11
2016,30,0,135,11
2016,31,0,136,11
2016,32,0,137,11
2016,33,0,138,11
2016,34,0,139,11
2016,35,0,140,11
2016,36,0,141,11
2016,37,0,142,11
2016,38,0,143,11
2016,39,0,144,11
2016,40,0,145,11
2016,41,0,146,11
2016,42,0,147,11
2016,43,0,148,11
2016,44,0,149,11
2016,45,0,150,11
2016,46,0,151,11
2016,47,0,152,11
2016,48,0,153,11
2016,49,0,154,11
2016,50,0,155,11
2016,51,0,156,11
2016,52,0,157,11
2017,1,0,158,11
2017,2,0,159,11
2017,3,0,160,11
2017,4,0,161,11
2017,5,0,162,11
2017,6,0,163,11
2017,7,0,164,11
2017,8,1,165,12
2017,9,0,166,12
2017,10,0,167,12
2017,11,0,168,12
2017,12,0,169,12
2017,13,0,170,12
2017,14,2,171,14
2017,15,1,172,15
