Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,0,2,2
2014,3,0,3,2
2014,4,2,4,4
2014,5,0,5,4
2014,6,0,6,4
2014,7,0,7,4
2014,8,0,8,4
2014,9,0,9,4
2014,10,7,10,11
2014,11,2,11,13
2014,12,5,12,18
2014,13,3,13,21
2014,14,6,14,27
2014,15,3,15,30
2014,16,3,16,33
2014,17,3,17,36
2014,18,3,18,39
2014,19,0,19,39
2014,20,1,20,40
2014,21,0,21,40
2014,22,4,22,44
2014,23,0,23,44
2014,24,1,24,45
2014,25,0,25,45
2014,26,0,26,45
2014,27,0,27,45
2014,28,0,28,45
2014,29,2,29,47
2014,30,0,30,47
2014,31,13,31,60
2014,32,0,32,60
2014,33,1,33,61
2014,34,0,34,61
2014,35,0,35,61
2014,36,0,36,61
2014,37,0,37,61
2014,38,0,38,61
2014,39,0,39,61
2014,40,0,40,61
2014,41,0,41,61
2014,42,0,42,61
2014,43,0,43,61
2014,44,1,44,62
2014,45,0,45,62
2014,46,4,46,66
2014,47,0,47,66
2014,48,6,48,72
2014,49,4,49,76
2014,50,0,50,76
2014,51,0,51,76
2014,52,0,52,76
2014,53,2,53,78
2015,1,3,54,81
2015,2,0,55,81
2015,3,0,56,81
2015,4,2,57,83
2015,5,1,58,84
2015,6,0,59,84
2015,7,2,60,86
2015,8,5,61,91
2015,9,0,62,91
2015,10,8,63,99
2015,11,0,64,99
2015,12,0,65,99
2015,13,19,66,118
2015,14,0,67,118
2015,15,4,68,122
2015,16,1,69,123
2015,17,0,70,123
2015,18,8,71,131
2015,19,5,72,136
2015,20,0,73,136
2015,21,1,74,137
2015,22,0,75,137
2015,23,2,76,139
2015,24,2,77,141
2015,25,2,78,143
2015,26,3,79,146
2015,27,1,80,147
2015,28,3,81,150
2015,29,2,82,152
2015,30,3,83,155
2015,31,4,84,159
2015,32,0,85,159
2015,33,1,86,160
2015,34,1,87,161
2015,35,2,88,163
2015,36,5,89,168
2015,37,0,90,168
2015,38,4,91,172
2015,39,0,92,172
2015,40,13,93,185
2015,41,1,94,186
2015,42,0,95,186
2015,43,1,96,187
2015,44,4,97,191
2015,45,0,98,191
2015,46,0,99,191
2015,47,0,100,191
2015,48,13,101,204
2015,49,1,102,205
2015,50,0,103,205
2015,51,1,104,206
2015,52,0,105,206
2016,1,0,106,206
2016,2,0,107,206
2016,3,0,108,206
2016,4,0,109,206
2016,5,0,110,206
2016,6,0,111,206
2016,7,0,112,206
2016,8,0,113,206
2016,9,0,114,206
2016,10,0,115,206
2016,11,0,116,206
2016,12,0,117,206
2016,13,0,118,206
2016,14,0,119,206
2016,15,0,120,206
2016,16,0,121,206
2016,17,0,122,206
2016,18,0,123,206
2016,19,0,124,206
2016,20,0,125,206
2016,21,0,126,206
2016,22,0,127,206
2016,23,0,128,206
2016,24,0,129,206
2016,25,0,130,206
2016,26,0,131,206
2016,27,0,132,206
2016,28,0,133,206
2016,29,0,134,206
2016,30,0,135,206
2016,31,0,136,206
2016,32,0,137,206
2016,33,0,138,206
2016,34,0,139,206
2016,35,0,140,206
2016,36,0,141,206
2016,37,0,142,206
2016,38,0,143,206
2016,39,0,144,206
2016,40,0,145,206
2016,41,0,146,206
2016,42,0,147,206
2016,43,0,148,206
2016,44,0,149,206
2016,45,0,150,206
2016,46,0,151,206
2016,47,0,152,206
2016,48,2,153,208
2016,49,0,154,208
2016,50,0,155,208
2016,51,0,156,208
2016,52,0,157,208
2017,1,0,158,208
2017,2,0,159,208
2017,3,0,160,208
2017,4,0,161,208
2017,5,0,162,208
2017,6,0,163,208
2017,7,0,164,208
2017,8,0,165,208
2017,9,0,166,208
2017,10,0,167,208
2017,11,0,168,208
2017,12,0,169,208
2017,13,0,170,208
2017,14,0,171,208
2017,15,0,172,208
