Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,1,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,2,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,0,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,0,22,4
2014,23,5,23,9
2014,24,1,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,4,27,14
2014,28,0,28,14
2014,29,0,29,14
2014,30,0,30,14
2014,31,0,31,14
2014,32,0,32,14
2014,33,0,33,14
2014,34,1,34,15
2014,35,1,35,16
2014,36,2,36,18
2014,37,0,37,18
2014,38,0,38,18
2014,39,0,39,18
2014,40,0,40,18
2014,41,1,41,19
2014,42,10,42,29
2014,43,0,43,29
2014,44,2,44,31
2014,45,1,45,32
2014,46,0,46,32
2014,47,0,47,32
2014,48,0,48,32
2014,49,0,49,32
2014,50,0,50,32
2014,51,3,51,35
2014,52,0,52,35
2014,53,1,53,36
2015,1,0,54,36
2015,2,0,55,36
2015,3,0,56,36
2015,4,0,57,36
2015,5,0,58,36
2015,6,0,59,36
2015,7,0,60,36
2015,8,0,61,36
2015,9,0,62,36
2015,10,0,63,36
2015,11,0,64,36
2015,12,0,65,36
2015,13,0,66,36
2015,14,0,67,36
2015,15,1,68,37
2015,16,1,69,38
2015,17,2,70,40
2015,18,0,71,40
2015,19,0,72,40
2015,20,0,73,40
2015,21,3,74,43
2015,22,0,75,43
2015,23,0,76,43
2015,24,0,77,43
2015,25,0,78,43
2015,26,0,79,43
2015,27,0,80,43
2015,28,1,81,44
2015,29,1,82,45
2015,30,0,83,45
2015,31,8,84,53
2015,32,0,85,53
2015,33,0,86,53
2015,34,0,87,53
2015,35,0,88,53
2015,36,0,89,53
2015,37,0,90,53
2015,38,0,91,53
2015,39,0,92,53
2015,40,0,93,53
2015,41,0,94,53
2015,42,0,95,53
2015,43,0,96,53
2015,44,0,97,53
2015,45,1,98,54
2015,46,10,99,64
2015,47,0,100,64
2015,48,1,101,65
2015,49,0,102,65
2015,50,0,103,65
2015,51,0,104,65
2015,52,5,105,70
2016,1,0,106,70
2016,2,0,107,70
2016,3,0,108,70
2016,4,0,109,70
2016,5,0,110,70
2016,6,0,111,70
2016,7,0,112,70
2016,8,0,113,70
2016,9,0,114,70
2016,10,2,115,72
2016,11,0,116,72
2016,12,0,117,72
2016,13,2,118,74
2016,14,0,119,74
2016,15,0,120,74
2016,16,0,121,74
2016,17,0,122,74
2016,18,1,123,75
2016,19,0,124,75
2016,20,0,125,75
2016,21,0,126,75
2016,22,0,127,75
2016,23,0,128,75
2016,24,0,129,75
2016,25,0,130,75
2016,26,0,131,75
2016,27,0,132,75
2016,28,0,133,75
2016,29,0,134,75
2016,30,0,135,75
2016,31,0,136,75
2016,32,0,137,75
2016,33,0,138,75
2016,34,0,139,75
2016,35,0,140,75
2016,36,0,141,75
2016,37,0,142,75
2016,38,1,143,76
2016,39,0,144,76
2016,40,0,145,76
2016,41,8,146,84
2016,42,1,147,85
2016,43,0,148,85
2016,44,0,149,85
2016,45,0,150,85
2016,46,0,151,85
2016,47,0,152,85
2016,48,0,153,85
2016,49,0,154,85
2016,50,1,155,86
2016,51,0,156,86
2016,52,0,157,86
2017,1,0,158,86
2017,2,0,159,86
2017,3,0,160,86
2017,4,0,161,86
2017,5,0,162,86
2017,6,0,163,86
2017,7,0,164,86
2017,8,0,165,86
2017,9,0,166,86
2017,10,1,167,87
2017,11,0,168,87
2017,12,0,169,87
2017,13,0,170,87
2017,14,2,171,89
2017,15,0,172,89
