Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,2,9,2
2014,10,2,10,4
2014,11,0,11,4
2014,12,1,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,2,18,7
2014,19,2,19,9
2014,20,1,20,10
2014,21,0,21,10
2014,22,0,22,10
2014,23,1,23,11
2014,24,1,24,12
2014,25,0,25,12
2014,26,0,26,12
2014,27,1,27,13
2014,28,1,28,14
2014,29,1,29,15
2014,30,0,30,15
2014,31,0,31,15
2014,32,0,32,15
2014,33,0,33,15
2014,34,0,34,15
2014,35,0,35,15
2014,36,0,36,15
2014,37,0,37,15
2014,38,0,38,15
2014,39,0,39,15
2014,40,0,40,15
2014,41,0,41,15
2014,42,0,42,15
2014,43,0,43,15
2014,44,0,44,15
2014,45,0,45,15
2014,46,0,46,15
2014,47,0,47,15
2014,48,0,48,15
2014,49,1,49,16
2014,50,0,50,16
2014,51,0,51,16
2014,52,0,52,16
2014,53,0,53,16
2015,1,0,54,16
2015,2,0,55,16
2015,3,0,56,16
2015,4,0,57,16
2015,5,0,58,16
2015,6,0,59,16
2015,7,0,60,16
2015,8,1,61,17
2015,9,1,62,18
2015,10,0,63,18
2015,11,0,64,18
2015,12,0,65,18
2015,13,0,66,18
2015,14,0,67,18
2015,15,0,68,18
2015,16,0,69,18
2015,17,0,70,18
2015,18,1,71,19
2015,19,0,72,19
2015,20,0,73,19
2015,21,0,74,19
2015,22,0,75,19
2015,23,0,76,19
2015,24,0,77,19
2015,25,1,78,20
2015,26,1,79,21
2015,27,1,80,22
2015,28,0,81,22
2015,29,0,82,22
2015,30,0,83,22
2015,31,1,84,23
2015,32,1,85,24
2015,33,0,86,24
2015,34,0,87,24
2015,35,0,88,24
2015,36,1,89,25
2015,37,0,90,25
2015,38,0,91,25
2015,39,0,92,25
2015,40,0,93,25
2015,41,1,94,26
2015,42,0,95,26
2015,43,0,96,26
2015,44,1,97,27
2015,45,0,98,27
2015,46,1,99,28
2015,47,0,100,28
2015,48,0,101,28
2015,49,0,102,28
2015,50,1,103,29
2015,51,1,104,30
2015,52,0,105,30
2016,1,0,106,30
2016,2,0,107,30
2016,3,1,108,31
2016,4,0,109,31
2016,5,0,110,31
2016,6,0,111,31
2016,7,0,112,31
2016,8,0,113,31
2016,9,0,114,31
2016,10,0,115,31
2016,11,1,116,32
2016,12,0,117,32
2016,13,0,118,32
2016,14,0,119,32
2016,15,0,120,32
2016,16,0,121,32
2016,17,0,122,32
2016,18,0,123,32
2016,19,0,124,32
2016,20,0,125,32
2016,21,0,126,32
2016,22,0,127,32
2016,23,0,128,32
2016,24,0,129,32
2016,25,0,130,32
2016,26,0,131,32
2016,27,0,132,32
2016,28,0,133,32
2016,29,0,134,32
2016,30,0,135,32
2016,31,0,136,32
2016,32,0,137,32
2016,33,0,138,32
2016,34,0,139,32
2016,35,0,140,32
2016,36,0,141,32
2016,37,1,142,33
2016,38,0,143,33
2016,39,1,144,34
2016,40,1,145,35
2016,41,0,146,35
2016,42,0,147,35
2016,43,1,148,36
2016,44,0,149,36
2016,45,0,150,36
2016,46,0,151,36
2016,47,0,152,36
2016,48,0,153,36
2016,49,0,154,36
2016,50,1,155,37
2016,51,0,156,37
2016,52,0,157,37
2017,1,0,158,37
2017,2,0,159,37
2017,3,0,160,37
2017,4,0,161,37
2017,5,1,162,38
2017,6,0,163,38
2017,7,0,164,38
2017,8,1,165,39
2017,9,0,166,39
2017,10,0,167,39
2017,11,0,168,39
2017,12,0,169,39
2017,13,0,170,39
2017,14,0,171,39
2017,15,0,172,39
