Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,1,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,2,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,1,23,4
2014,24,0,24,4
2014,25,0,25,4
2014,26,0,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,0,29,4
2014,30,0,30,4
2014,31,0,31,4
2014,32,0,32,4
2014,33,0,33,4
2014,34,0,34,4
2014,35,1,35,5
2014,36,1,36,6
2014,37,1,37,7
2014,38,2,38,9
2014,39,1,39,10
2014,40,2,40,12
2014,41,0,41,12
2014,42,0,42,12
2014,43,0,43,12
2014,44,0,44,12
2014,45,0,45,12
2014,46,0,46,12
2014,47,0,47,12
2014,48,0,48,12
2014,49,0,49,12
2014,50,1,50,13
2014,51,1,51,14
2014,52,0,52,14
2014,53,0,53,14
2015,1,0,54,14
2015,2,1,55,15
2015,3,0,56,15
2015,4,0,57,15
2015,5,1,58,16
2015,6,1,59,17
2015,7,0,60,17
2015,8,0,61,17
2015,9,0,62,17
2015,10,1,63,18
2015,11,1,64,19
2015,12,0,65,19
2015,13,0,66,19
2015,14,0,67,19
2015,15,0,68,19
2015,16,0,69,19
2015,17,0,70,19
2015,18,0,71,19
2015,19,0,72,19
2015,20,0,73,19
2015,21,0,74,19
2015,22,0,75,19
2015,23,0,76,19
2015,24,0,77,19
2015,25,0,78,19
2015,26,0,79,19
2015,27,0,80,19
2015,28,0,81,19
2015,29,0,82,19
2015,30,0,83,19
2015,31,0,84,19
2015,32,1,85,20
2015,33,0,86,20
2015,34,0,87,20
2015,35,0,88,20
2015,36,0,89,20
2015,37,0,90,20
2015,38,0,91,20
2015,39,0,92,20
2015,40,0,93,20
2015,41,1,94,21
2015,42,0,95,21
2015,43,1,96,22
2015,44,0,97,22
2015,45,0,98,22
2015,46,0,99,22
2015,47,0,100,22
2015,48,1,101,23
2015,49,1,102,24
2015,50,0,103,24
2015,51,0,104,24
2015,52,0,105,24
2016,1,1,106,25
2016,2,0,107,25
2016,3,0,108,25
2016,4,0,109,25
2016,5,0,110,25
2016,6,0,111,25
2016,7,2,112,27
2016,8,0,113,27
2016,9,0,114,27
2016,10,0,115,27
2016,11,0,116,27
2016,12,0,117,27
2016,13,0,118,27
2016,14,0,119,27
2016,15,1,120,28
2016,16,1,121,29
2016,17,1,122,30
2016,18,0,123,30
2016,19,0,124,30
2016,20,2,125,32
2016,21,2,126,34
2016,22,1,127,35
2016,23,0,128,35
2016,24,0,129,35
2016,25,0,130,35
2016,26,0,131,35
2016,27,0,132,35
2016,28,0,133,35
2016,29,0,134,35
2016,30,0,135,35
2016,31,0,136,35
2016,32,0,137,35
2016,33,1,138,36
2016,34,0,139,36
2016,35,0,140,36
2016,36,0,141,36
2016,37,0,142,36
2016,38,0,143,36
2016,39,1,144,37
2016,40,0,145,37
2016,41,0,146,37
2016,42,0,147,37
2016,43,0,148,37
2016,44,0,149,37
2016,45,1,150,38
2016,46,0,151,38
2016,47,1,152,39
2016,48,1,153,40
2016,49,1,154,41
2016,50,2,155,43
2016,51,0,156,43
2016,52,0,157,43
2017,1,0,158,43
2017,2,1,159,44
2017,3,0,160,44
2017,4,0,161,44
2017,5,0,162,44
2017,6,0,163,44
2017,7,0,164,44
2017,8,0,165,44
2017,9,0,166,44
2017,10,0,167,44
2017,11,0,168,44
2017,12,0,169,44
2017,13,0,170,44
2017,14,0,171,44
2017,15,0,172,44
