Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,1,9,2
2014,10,0,10,2
2014,11,2,11,4
2014,12,0,12,4
2014,13,3,13,7
2014,14,0,14,7
2014,15,0,15,7
2014,16,0,16,7
2014,17,0,17,7
2014,18,0,18,7
2014,19,0,19,7
2014,20,0,20,7
2014,21,2,21,9
2014,22,2,22,11
2014,23,1,23,12
2014,24,0,24,12
2014,25,0,25,12
2014,26,0,26,12
2014,27,1,27,13
2014,28,0,28,13
2014,29,0,29,13
2014,30,0,30,13
2014,31,1,31,14
2014,32,0,32,14
2014,33,1,33,15
2014,34,0,34,15
2014,35,2,35,17
2014,36,0,36,17
2014,37,0,37,17
2014,38,3,38,20
2014,39,3,39,23
2014,40,2,40,25
2014,41,0,41,25
2014,42,1,42,26
2014,43,0,43,26
2014,44,0,44,26
2014,45,0,45,26
2014,46,2,46,28
2014,47,4,47,32
2014,48,2,48,34
2014,49,2,49,36
2014,50,4,50,40
2014,51,3,51,43
2014,52,0,52,43
2014,53,0,53,43
2015,1,0,54,43
2015,2,1,55,44
2015,3,0,56,44
2015,4,0,57,44
2015,5,0,58,44
2015,6,0,59,44
2015,7,0,60,44
2015,8,0,61,44
2015,9,1,62,45
2015,10,2,63,47
2015,11,0,64,47
2015,12,0,65,47
2015,13,2,66,49
2015,14,1,67,50
2015,15,2,68,52
2015,16,0,69,52
2015,17,1,70,53
2015,18,1,71,54
2015,19,0,72,54
2015,20,1,73,55
2015,21,0,74,55
2015,22,1,75,56
2015,23,0,76,56
2015,24,1,77,57
2015,25,0,78,57
2015,26,0,79,57
2015,27,1,80,58
2015,28,0,81,58
2015,29,1,82,59
2015,30,3,83,62
2015,31,1,84,63
2015,32,0,85,63
2015,33,1,86,64
2015,34,0,87,64
2015,35,1,88,65
2015,36,1,89,66
2015,37,0,90,66
2015,38,1,91,67
2015,39,0,92,67
2015,40,1,93,68
2015,41,0,94,68
2015,42,0,95,68
2015,43,2,96,70
2015,44,2,97,72
2015,45,2,98,74
2015,46,3,99,77
2015,47,2,100,79
2015,48,2,101,81
2015,49,0,102,81
2015,50,0,103,81
2015,51,0,104,81
2015,52,1,105,82
2016,1,0,106,82
2016,2,0,107,82
2016,3,0,108,82
2016,4,1,109,83
2016,5,1,110,84
2016,6,1,111,85
2016,7,1,112,86
2016,8,1,113,87
2016,9,0,114,87
2016,10,1,115,88
2016,11,1,116,89
2016,12,0,117,89
2016,13,1,118,90
2016,14,1,119,91
2016,15,2,120,93
2016,16,1,121,94
2016,17,0,122,94
2016,18,0,123,94
2016,19,0,124,94
2016,20,1,125,95
2016,21,0,126,95
2016,22,1,127,96
2016,23,2,128,98
2016,24,1,129,99
2016,25,0,130,99
2016,26,0,131,99
2016,27,3,132,102
2016,28,0,133,102
2016,29,0,134,102
2016,30,2,135,104
2016,31,1,136,105
2016,32,1,137,106
2016,33,2,138,108
2016,34,1,139,109
2016,35,1,140,110
2016,36,0,141,110
2016,37,0,142,110
2016,38,2,143,112
2016,39,0,144,112
2016,40,0,145,112
2016,41,0,146,112
2016,42,0,147,112
2016,43,2,148,114
2016,44,1,149,115
2016,45,0,150,115
2016,46,0,151,115
2016,47,2,152,117
2016,48,0,153,117
2016,49,3,154,120
2016,50,1,155,121
2016,51,4,156,125
2016,52,1,157,126
2017,1,0,158,126
2017,2,0,159,126
2017,3,0,160,126
2017,4,0,161,126
2017,5,0,162,126
2017,6,1,163,127
2017,7,2,164,129
2017,8,1,165,130
2017,9,0,166,130
2017,10,2,167,132
2017,11,1,168,133
2017,12,1,169,134
2017,13,0,170,134
2017,14,2,171,136
2017,15,1,172,137
