Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,1,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,1,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,1,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,2,20,5
2014,21,0,21,5
2014,22,1,22,6
2014,23,1,23,7
2014,24,0,24,7
2014,25,0,25,7
2014,26,2,26,9
2014,27,0,27,9
2014,28,1,28,10
2014,29,1,29,11
2014,30,0,30,11
2014,31,54,31,65
2014,32,57,32,122
2014,33,46,33,168
2014,34,0,34,168
2014,35,0,35,168
2014,36,1,36,169
2014,37,0,37,169
2014,38,0,38,169
2014,39,2,39,171
2014,40,0,40,171
2014,41,1,41,172
2014,42,0,42,172
2014,43,1,43,173
2014,44,0,44,173
2014,45,0,45,173
2014,46,0,46,173
2014,47,0,47,173
2014,48,0,48,173
2014,49,0,49,173
2014,50,0,50,173
2014,51,0,51,173
2014,52,0,52,173
2014,53,0,53,173
2015,1,0,54,173
2015,2,0,55,173
2015,3,0,56,173
2015,4,0,57,173
2015,5,1,58,174
2015,6,1,59,175
2015,7,2,60,177
2015,8,0,61,177
2015,9,0,62,177
2015,10,1,63,178
2015,11,0,64,178
2015,12,0,65,178
2015,13,0,66,178
2015,14,1,67,179
2015,15,0,68,179
2015,16,0,69,179
2015,17,1,70,180
2015,18,0,71,180
2015,19,0,72,180
2015,20,0,73,180
2015,21,0,74,180
2015,22,0,75,180
2015,23,1,76,181
2015,24,0,77,181
2015,25,0,78,181
2015,26,0,79,181
2015,27,0,80,181
2015,28,0,81,181
2015,29,0,82,181
2015,30,0,83,181
2015,31,0,84,181
2015,32,1,85,182
2015,33,0,86,182
2015,34,0,87,182
2015,35,0,88,182
2015,36,0,89,182
2015,37,0,90,182
2015,38,0,91,182
2015,39,0,92,182
2015,40,0,93,182
2015,41,1,94,183
2015,42,0,95,183
2015,43,0,96,183
2015,44,0,97,183
2015,45,0,98,183
2015,46,0,99,183
2015,47,0,100,183
2015,48,1,101,184
2015,49,0,102,184
2015,50,0,103,184
2015,51,1,104,185
2015,52,0,105,185
2016,1,0,106,185
2016,2,0,107,185
2016,3,0,108,185
2016,4,0,109,185
2016,5,0,110,185
2016,6,0,111,185
2016,7,0,112,185
2016,8,0,113,185
2016,9,0,114,185
2016,10,0,115,185
2016,11,0,116,185
2016,12,1,117,186
2016,13,0,118,186
2016,14,1,119,187
2016,15,0,120,187
2016,16,0,121,187
2016,17,0,122,187
2016,18,0,123,187
2016,19,0,124,187
2016,20,0,125,187
2016,21,0,126,187
2016,22,0,127,187
2016,23,0,128,187
2016,24,0,129,187
2016,25,0,130,187
2016,26,0,131,187
2016,27,0,132,187
2016,28,1,133,188
2016,29,0,134,188
2016,30,0,135,188
2016,31,0,136,188
2016,32,0,137,188
2016,33,0,138,188
2016,34,0,139,188
2016,35,0,140,188
2016,36,0,141,188
2016,37,0,142,188
2016,38,0,143,188
2016,39,0,144,188
2016,40,0,145,188
2016,41,0,146,188
2016,42,0,147,188
2016,43,0,148,188
2016,44,0,149,188
2016,45,0,150,188
2016,46,0,151,188
2016,47,0,152,188
2016,48,0,153,188
2016,49,0,154,188
2016,50,0,155,188
2016,51,0,156,188
2016,52,0,157,188
2017,1,0,158,188
2017,2,0,159,188
2017,3,0,160,188
2017,4,1,161,189
2017,5,0,162,189
2017,6,1,163,190
2017,7,0,164,190
2017,8,0,165,190
2017,9,0,166,190
2017,10,0,167,190
2017,11,0,168,190
2017,12,0,169,190
2017,13,0,170,190
2017,14,0,171,190
2017,15,0,172,190
