Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,2,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,1,15,3
2014,16,0,16,3
2014,17,0,17,3
2014,18,0,18,3
2014,19,0,19,3
2014,20,0,20,3
2014,21,1,21,4
2014,22,0,22,4
2014,23,0,23,4
2014,24,1,24,5
2014,25,1,25,6
2014,26,1,26,7
2014,27,0,27,7
2014,28,0,28,7
2014,29,0,29,7
2014,30,0,30,7
2014,31,0,31,7
2014,32,0,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,1,39,8
2014,40,0,40,8
2014,41,0,41,8
2014,42,1,42,9
2014,43,0,43,9
2014,44,0,44,9
2014,45,0,45,9
2014,46,0,46,9
2014,47,0,47,9
2014,48,0,48,9
2014,49,2,49,11
2014,50,0,50,11
2014,51,0,51,11
2014,52,0,52,11
2014,53,1,53,12
2015,1,0,54,12
2015,2,0,55,12
2015,3,0,56,12
2015,4,0,57,12
2015,5,0,58,12
2015,6,1,59,13
2015,7,0,60,13
2015,8,0,61,13
2015,9,0,62,13
2015,10,0,63,13
2015,11,0,64,13
2015,12,1,65,14
2015,13,0,66,14
2015,14,0,67,14
2015,15,4,68,18
2015,16,0,69,18
2015,17,1,70,19
2015,18,0,71,19
2015,19,0,72,19
2015,20,0,73,19
2015,21,2,74,21
2015,22,1,75,22
2015,23,1,76,23
2015,24,1,77,24
2015,25,1,78,25
2015,26,0,79,25
2015,27,0,80,25
2015,28,0,81,25
2015,29,0,82,25
2015,30,0,83,25
2015,31,1,84,26
2015,32,0,85,26
2015,33,0,86,26
2015,34,1,87,27
2015,35,0,88,27
2015,36,0,89,27
2015,37,0,90,27
2015,38,0,91,27
2015,39,0,92,27
2015,40,0,93,27
2015,41,2,94,29
2015,42,0,95,29
2015,43,0,96,29
2015,44,0,97,29
2015,45,2,98,31
2015,46,2,99,33
2015,47,0,100,33
2015,48,1,101,34
2015,49,0,102,34
2015,50,0,103,34
2015,51,0,104,34
2015,52,1,105,35
2016,1,0,106,35
2016,2,0,107,35
2016,3,0,108,35
2016,4,0,109,35
2016,5,0,110,35
2016,6,0,111,35
2016,7,1,112,36
2016,8,0,113,36
2016,9,1,114,37
2016,10,0,115,37
2016,11,0,116,37
2016,12,0,117,37
2016,13,0,118,37
2016,14,0,119,37
2016,15,0,120,37
2016,16,0,121,37
2016,17,0,122,37
2016,18,1,123,38
2016,19,0,124,38
2016,20,2,125,40
2016,21,0,126,40
2016,22,0,127,40
2016,23,0,128,40
2016,24,0,129,40
2016,25,0,130,40
2016,26,0,131,40
2016,27,0,132,40
2016,28,0,133,40
2016,29,0,134,40
2016,30,0,135,40
2016,31,0,136,40
2016,32,0,137,40
2016,33,0,138,40
2016,34,0,139,40
2016,35,0,140,40
2016,36,0,141,40
2016,37,0,142,40
2016,38,0,143,40
2016,39,0,144,40
2016,40,0,145,40
2016,41,0,146,40
2016,42,0,147,40
2016,43,0,148,40
2016,44,0,149,40
2016,45,0,150,40
2016,46,1,151,41
2016,47,0,152,41
2016,48,0,153,41
2016,49,0,154,41
2016,50,0,155,41
2016,51,0,156,41
2016,52,0,157,41
2017,1,0,158,41
2017,2,0,159,41
2017,3,0,160,41
2017,4,0,161,41
2017,5,0,162,41
2017,6,0,163,41
2017,7,0,164,41
2017,8,0,165,41
2017,9,0,166,41
2017,10,0,167,41
2017,11,0,168,41
2017,12,0,169,41
2017,13,0,170,41
2017,14,0,171,41
2017,15,0,172,41
