Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,2,5,2
2014,6,0,6,2
2014,7,4,7,6
2014,8,0,8,6
2014,9,5,9,11
2014,10,2,10,13
2014,11,0,11,13
2014,12,2,12,15
2014,13,2,13,17
2014,14,3,14,20
2014,15,2,15,22
2014,16,4,16,26
2014,17,1,17,27
2014,18,1,18,28
2014,19,1,19,29
2014,20,2,20,31
2014,21,6,21,37
2014,22,2,22,39
2014,23,0,23,39
2014,24,2,24,41
2014,25,1,25,42
2014,26,3,26,45
2014,27,4,27,49
2014,28,0,28,49
2014,29,1,29,50
2014,30,0,30,50
2014,31,1,31,51
2014,32,2,32,53
2014,33,4,33,57
2014,34,2,34,59
2014,35,2,35,61
2014,36,1,36,62
2014,37,2,37,64
2014,38,0,38,64
2014,39,1,39,65
2014,40,5,40,70
2014,41,1,41,71
2014,42,2,42,73
2014,43,1,43,74
2014,44,2,44,76
2014,45,1,45,77
2014,46,2,46,79
2014,47,1,47,80
2014,48,3,48,83
2014,49,2,49,85
2014,50,0,50,85
2014,51,3,51,88
2014,52,1,52,89
2014,53,2,53,91
2015,1,0,54,91
2015,2,2,55,93
2015,3,1,56,94
2015,4,3,57,97
2015,5,0,58,97
2015,6,1,59,98
2015,7,1,60,99
2015,8,1,61,100
2015,9,2,62,102
2015,10,1,63,103
2015,11,1,64,104
2015,12,1,65,105
2015,13,0,66,105
2015,14,0,67,105
2015,15,1,68,106
2015,16,2,69,108
2015,17,1,70,109
2015,18,2,71,111
2015,19,1,72,112
2015,20,2,73,114
2015,21,0,74,114
2015,22,0,75,114
2015,23,2,76,116
2015,24,1,77,117
2015,25,1,78,118
2015,26,3,79,121
2015,27,2,80,123
2015,28,1,81,124
2015,29,3,82,127
2015,30,2,83,129
2015,31,0,84,129
2015,32,4,85,133
2015,33,2,86,135
2015,34,1,87,136
2015,35,0,88,136
2015,36,0,89,136
2015,37,0,90,136
2015,38,2,91,138
2015,39,3,92,141
2015,40,2,93,143
2015,41,1,94,144
2015,42,4,95,148
2015,43,1,96,149
2015,44,1,97,150
2015,45,2,98,152
2015,46,1,99,153
2015,47,2,100,155
2015,48,5,101,160
2015,49,3,102,163
2015,50,0,103,163
2015,51,2,104,165
2015,52,1,105,166
2016,1,2,106,168
2016,2,0,107,168
2016,3,2,108,170
2016,4,3,109,173
2016,5,3,110,176
2016,6,0,111,176
2016,7,4,112,180
2016,8,4,113,184
2016,9,0,114,184
2016,10,7,115,191
2016,11,2,116,193
2016,12,1,117,194
2016,13,2,118,196
2016,14,3,119,199
2016,15,3,120,202
2016,16,3,121,205
2016,17,2,122,207
2016,18,3,123,210
2016,19,6,124,216
2016,20,3,125,219
2016,21,2,126,221
2016,22,0,127,221
2016,23,1,128,222
2016,24,2,129,224
2016,25,0,130,224
2016,26,4,131,228
2016,27,2,132,230
2016,28,3,133,233
2016,29,4,134,237
2016,30,3,135,240
2016,31,0,136,240
2016,32,1,137,241
2016,33,1,138,242
2016,34,3,139,245
2016,35,6,140,251
2016,36,0,141,251
2016,37,2,142,253
2016,38,2,143,255
2016,39,2,144,257
2016,40,1,145,258
2016,41,1,146,259
2016,42,5,147,264
2016,43,1,148,265
2016,44,2,149,267
2016,45,0,150,267
2016,46,0,151,267
2016,47,0,152,267
2016,48,2,153,269
2016,49,1,154,270
2016,50,0,155,270
2016,51,2,156,272
2016,52,0,157,272
2017,1,0,158,272
2017,2,3,159,275
2017,3,0,160,275
2017,4,2,161,277
2017,5,1,162,278
2017,6,1,163,279
2017,7,0,164,279
2017,8,3,165,282
2017,9,2,166,284
2017,10,0,167,284
2017,11,1,168,285
2017,12,7,169,292
2017,13,3,170,295
2017,14,4,171,299
2017,15,0,172,299
