Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,5,5,5
2014,6,0,6,5
2014,7,0,7,5
2014,8,0,8,5
2014,9,0,9,5
2014,10,2,10,7
2014,11,0,11,7
2014,12,0,12,7
2014,13,0,13,7
2014,14,0,14,7
2014,15,0,15,7
2014,16,0,16,7
2014,17,0,17,7
2014,18,0,18,7
2014,19,0,19,7
2014,20,0,20,7
2014,21,0,21,7
2014,22,0,22,7
2014,23,0,23,7
2014,24,0,24,7
2014,25,3,25,10
2014,26,0,26,10
2014,27,0,27,10
2014,28,5,28,15
2014,29,7,29,22
2014,30,2,30,24
2014,31,9,31,33
2014,32,0,32,33
2014,33,0,33,33
2014,34,0,34,33
2014,35,0,35,33
2014,36,0,36,33
2014,37,0,37,33
2014,38,0,38,33
2014,39,0,39,33
2014,40,0,40,33
2014,41,0,41,33
2014,42,0,42,33
2014,43,0,43,33
2014,44,0,44,33
2014,45,0,45,33
2014,46,0,46,33
2014,47,0,47,33
2014,48,20,48,53
2014,49,12,49,65
2014,50,6,50,71
2014,51,0,51,71
2014,52,0,52,71
2014,53,0,53,71
2015,1,0,54,71
2015,2,0,55,71
2015,3,0,56,71
2015,4,5,57,76
2015,5,0,58,76
2015,6,0,59,76
2015,7,0,60,76
2015,8,0,61,76
2015,9,26,62,102
2015,10,0,63,102
2015,11,0,64,102
2015,12,0,65,102
2015,13,4,66,106
2015,14,0,67,106
2015,15,2,68,108
2015,16,0,69,108
2015,17,0,70,108
2015,18,2,71,110
2015,19,0,72,110
2015,20,0,73,110
2015,21,0,74,110
2015,22,0,75,110
2015,23,0,76,110
2015,24,0,77,110
2015,25,0,78,110
2015,26,15,79,125
2015,27,0,80,125
2015,28,0,81,125
2015,29,0,82,125
2015,30,5,83,130
2015,31,0,84,130
2015,32,3,85,133
2015,33,0,86,133
2015,34,3,87,136
2015,35,4,88,140
2015,36,5,89,145
2015,37,0,90,145
2015,38,0,91,145
2015,39,0,92,145
2015,40,6,93,151
2015,41,0,94,151
2015,42,1,95,152
2015,43,0,96,152
2015,44,0,97,152
2015,45,0,98,152
2015,46,0,99,152
2015,47,2,100,154
2015,48,0,101,154
2015,49,0,102,154
2015,50,0,103,154
2015,51,0,104,154
2015,52,0,105,154
2016,1,0,106,154
2016,2,0,107,154
2016,3,0,108,154
2016,4,0,109,154
2016,5,0,110,154
2016,6,0,111,154
2016,7,0,112,154
2016,8,0,113,154
2016,9,0,114,154
2016,10,0,115,154
2016,11,0,116,154
2016,12,0,117,154
2016,13,0,118,154
2016,14,0,119,154
2016,15,0,120,154
2016,16,0,121,154
2016,17,0,122,154
2016,18,0,123,154
2016,19,0,124,154
2016,20,0,125,154
2016,21,0,126,154
2016,22,0,127,154
2016,23,0,128,154
2016,24,0,129,154
2016,25,0,130,154
2016,26,0,131,154
2016,27,0,132,154
2016,28,0,133,154
2016,29,0,134,154
2016,30,0,135,154
2016,31,0,136,154
2016,32,0,137,154
2016,33,0,138,154
2016,34,0,139,154
2016,35,0,140,154
2016,36,0,141,154
2016,37,0,142,154
2016,38,0,143,154
2016,39,0,144,154
2016,40,0,145,154
2016,41,0,146,154
2016,42,0,147,154
2016,43,0,148,154
2016,44,0,149,154
2016,45,0,150,154
2016,46,0,151,154
2016,47,0,152,154
2016,48,0,153,154
2016,49,0,154,154
2016,50,0,155,154
2016,51,0,156,154
2016,52,0,157,154
2017,1,0,158,154
2017,2,0,159,154
2017,3,0,160,154
2017,4,0,161,154
2017,5,0,162,154
2017,6,0,163,154
2017,7,0,164,154
2017,8,0,165,154
2017,9,0,166,154
2017,10,0,167,154
2017,11,0,168,154
2017,12,0,169,154
2017,13,0,170,154
2017,14,0,171,154
2017,15,0,172,154
