Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,2,6,3
2014,7,0,7,3
2014,8,1,8,4
2014,9,2,9,6
2014,10,0,10,6
2014,11,0,11,6
2014,12,0,12,6
2014,13,0,13,6
2014,14,0,14,6
2014,15,0,15,6
2014,16,0,16,6
2014,17,0,17,6
2014,18,0,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,0,21,6
2014,22,0,22,6
2014,23,0,23,6
2014,24,0,24,6
2014,25,0,25,6
2014,26,0,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,0,30,6
2014,31,0,31,6
2014,32,1,32,7
2014,33,0,33,7
2014,34,1,34,8
2014,35,0,35,8
2014,36,0,36,8
2014,37,0,37,8
2014,38,0,38,8
2014,39,2,39,10
2014,40,0,40,10
2014,41,0,41,10
2014,42,0,42,10
2014,43,0,43,10
2014,44,0,44,10
2014,45,0,45,10
2014,46,0,46,10
2014,47,0,47,10
2014,48,0,48,10
2014,49,8,49,18
2014,50,0,50,18
2014,51,0,51,18
2014,52,0,52,18
2014,53,0,53,18
2015,1,0,54,18
2015,2,0,55,18
2015,3,1,56,19
2015,4,0,57,19
2015,5,0,58,19
2015,6,0,59,19
2015,7,0,60,19
2015,8,0,61,19
2015,9,0,62,19
2015,10,1,63,20
2015,11,0,64,20
2015,12,0,65,20
2015,13,0,66,20
2015,14,3,67,23
2015,15,0,68,23
2015,16,0,69,23
2015,17,0,70,23
2015,18,0,71,23
2015,19,0,72,23
2015,20,0,73,23
2015,21,0,74,23
2015,22,0,75,23
2015,23,0,76,23
2015,24,0,77,23
2015,25,0,78,23
2015,26,0,79,23
2015,27,0,80,23
2015,28,0,81,23
2015,29,0,82,23
2015,30,1,83,24
2015,31,0,84,24
2015,32,0,85,24
2015,33,0,86,24
2015,34,0,87,24
2015,35,0,88,24
2015,36,1,89,25
2015,37,0,90,25
2015,38,0,91,25
2015,39,0,92,25
2015,40,0,93,25
2015,41,2,94,27
2015,42,0,95,27
2015,43,0,96,27
2015,44,1,97,28
2015,45,0,98,28
2015,46,0,99,28
2015,47,0,100,28
2015,48,0,101,28
2015,49,0,102,28
2015,50,0,103,28
2015,51,1,104,29
2015,52,0,105,29
2016,1,0,106,29
2016,2,0,107,29
2016,3,0,108,29
2016,4,0,109,29
2016,5,1,110,30
2016,6,0,111,30
2016,7,0,112,30
2016,8,0,113,30
2016,9,0,114,30
2016,10,1,115,31
2016,11,0,116,31
2016,12,0,117,31
2016,13,1,118,32
2016,14,0,119,32
2016,15,0,120,32
2016,16,0,121,32
2016,17,0,122,32
2016,18,1,123,33
2016,19,1,124,34
2016,20,0,125,34
2016,21,0,126,34
2016,22,0,127,34
2016,23,0,128,34
2016,24,3,129,37
2016,25,1,130,38
2016,26,2,131,40
2016,27,1,132,41
2016,28,0,133,41
2016,29,0,134,41
2016,30,2,135,43
2016,31,0,136,43
2016,32,1,137,44
2016,33,0,138,44
2016,34,0,139,44
2016,35,1,140,45
2016,36,0,141,45
2016,37,0,142,45
2016,38,0,143,45
2016,39,0,144,45
2016,40,0,145,45
2016,41,0,146,45
2016,42,0,147,45
2016,43,0,148,45
2016,44,0,149,45
2016,45,0,150,45
2016,46,0,151,45
2016,47,0,152,45
2016,48,0,153,45
2016,49,0,154,45
2016,50,2,155,47
2016,51,0,156,47
2016,52,0,157,47
2017,1,0,158,47
2017,2,0,159,47
2017,3,0,160,47
2017,4,0,161,47
2017,5,1,162,48
2017,6,0,163,48
2017,7,0,164,48
2017,8,0,165,48
2017,9,1,166,49
2017,10,0,167,49
2017,11,0,168,49
2017,12,0,169,49
2017,13,0,170,49
2017,14,0,171,49
2017,15,0,172,49
