Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,1,6,2
2014,7,0,7,2
2014,8,1,8,3
2014,9,1,9,4
2014,10,0,10,4
2014,11,0,11,4
2014,12,1,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,2,18,7
2014,19,1,19,8
2014,20,0,20,8
2014,21,0,21,8
2014,22,1,22,9
2014,23,1,23,10
2014,24,0,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,0,29,10
2014,30,0,30,10
2014,31,0,31,10
2014,32,1,32,11
2014,33,0,33,11
2014,34,0,34,11
2014,35,0,35,11
2014,36,0,36,11
2014,37,0,37,11
2014,38,0,38,11
2014,39,0,39,11
2014,40,0,40,11
2014,41,0,41,11
2014,42,0,42,11
2014,43,1,43,12
2014,44,1,44,13
2014,45,1,45,14
2014,46,0,46,14
2014,47,0,47,14
2014,48,1,48,15
2014,49,0,49,15
2014,50,0,50,15
2014,51,0,51,15
2014,52,0,52,15
2014,53,2,53,17
2015,1,0,54,17
2015,2,2,55,19
2015,3,0,56,19
2015,4,0,57,19
2015,5,0,58,19
2015,6,1,59,20
2015,7,1,60,21
2015,8,2,61,23
2015,9,0,62,23
2015,10,3,63,26
2015,11,3,64,29
2015,12,0,65,29
2015,13,0,66,29
2015,14,1,67,30
2015,15,2,68,32
2015,16,0,69,32
2015,17,1,70,33
2015,18,0,71,33
2015,19,0,72,33
2015,20,0,73,33
2015,21,1,74,34
2015,22,1,75,35
2015,23,4,76,39
2015,24,0,77,39
2015,25,0,78,39
2015,26,0,79,39
2015,27,1,80,40
2015,28,0,81,40
2015,29,0,82,40
2015,30,0,83,40
2015,31,1,84,41
2015,32,1,85,42
2015,33,0,86,42
2015,34,1,87,43
2015,35,2,88,45
2015,36,1,89,46
2015,37,0,90,46
2015,38,1,91,47
2015,39,1,92,48
2015,40,0,93,48
2015,41,0,94,48
2015,42,0,95,48
2015,43,1,96,49
2015,44,0,97,49
2015,45,0,98,49
2015,46,0,99,49
2015,47,1,100,50
2015,48,3,101,53
2015,49,0,102,53
2015,50,1,103,54
2015,51,1,104,55
2015,52,0,105,55
2016,1,0,106,55
2016,2,0,107,55
2016,3,1,108,56
2016,4,0,109,56
2016,5,0,110,56
2016,6,1,111,57
2016,7,2,112,59
2016,8,0,113,59
2016,9,0,114,59
2016,10,1,115,60
2016,11,0,116,60
2016,12,0,117,60
2016,13,0,118,60
2016,14,1,119,61
2016,15,3,120,64
2016,16,1,121,65
2016,17,1,122,66
2016,18,1,123,67
2016,19,2,124,69
2016,20,2,125,71
2016,21,0,126,71
2016,22,1,127,72
2016,23,1,128,73
2016,24,0,129,73
2016,25,1,130,74
2016,26,0,131,74
2016,27,0,132,74
2016,28,0,133,74
2016,29,0,134,74
2016,30,0,135,74
2016,31,0,136,74
2016,32,0,137,74
2016,33,0,138,74
2016,34,0,139,74
2016,35,0,140,74
2016,36,0,141,74
2016,37,0,142,74
2016,38,1,143,75
2016,39,0,144,75
2016,40,0,145,75
2016,41,0,146,75
2016,42,1,147,76
2016,43,0,148,76
2016,44,0,149,76
2016,45,0,150,76
2016,46,0,151,76
2016,47,0,152,76
2016,48,0,153,76
2016,49,2,154,78
2016,50,1,155,79
2016,51,1,156,80
2016,52,0,157,80
2017,1,4,158,84
2017,2,0,159,84
2017,3,1,160,85
2017,4,1,161,86
2017,5,0,162,86
2017,6,3,163,89
2017,7,1,164,90
2017,8,0,165,90
2017,9,1,166,91
2017,10,0,167,91
2017,11,0,168,91
2017,12,1,169,92
2017,13,1,170,93
2017,14,0,171,93
2017,15,0,172,93
