Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,1,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,0,39,1
2014,40,0,40,1
2014,41,0,41,1
2014,42,0,42,1
2014,43,0,43,1
2014,44,0,44,1
2014,45,0,45,1
2014,46,0,46,1
2014,47,0,47,1
2014,48,0,48,1
2014,49,0,49,1
2014,50,1,50,2
2014,51,1,51,3
2014,52,0,52,3
2014,53,10,53,13
2015,1,0,54,13
2015,2,0,55,13
2015,3,0,56,13
2015,4,0,57,13
2015,5,0,58,13
2015,6,0,59,13
2015,7,0,60,13
2015,8,0,61,13
2015,9,0,62,13
2015,10,7,63,20
2015,11,4,64,24
2015,12,0,65,24
2015,13,0,66,24
2015,14,10,67,34
2015,15,0,68,34
2015,16,5,69,39
2015,17,0,70,39
2015,18,0,71,39
2015,19,5,72,44
2015,20,0,73,44
2015,21,10,74,54
2015,22,0,75,54
2015,23,0,76,54
2015,24,2,77,56
2015,25,2,78,58
2015,26,1,79,59
2015,27,1,80,60
2015,28,6,81,66
2015,29,0,82,66
2015,30,1,83,67
2015,31,0,84,67
2015,32,0,85,67
2015,33,2,86,69
2015,34,5,87,74
2015,35,0,88,74
2015,36,5,89,79
2015,37,2,90,81
2015,38,4,91,85
2015,39,0,92,85
2015,40,0,93,85
2015,41,7,94,92
2015,42,3,95,95
2015,43,0,96,95
2015,44,0,97,95
2015,45,0,98,95
2015,46,5,99,100
2015,47,4,100,104
2015,48,0,101,104
2015,49,0,102,104
2015,50,0,103,104
2015,51,0,104,104
2015,52,0,105,104
2016,1,8,106,112
2016,2,0,107,112
2016,3,0,108,112
2016,4,0,109,112
2016,5,0,110,112
2016,6,0,111,112
2016,7,0,112,112
2016,8,5,113,117
2016,9,7,114,124
2016,10,0,115,124
2016,11,0,116,124
2016,12,0,117,124
2016,13,0,118,124
2016,14,0,119,124
2016,15,0,120,124
2016,16,0,121,124
2016,17,7,122,131
2016,18,0,123,131
2016,19,0,124,131
2016,20,0,125,131
2016,21,0,126,131
2016,22,0,127,131
2016,23,4,128,135
2016,24,0,129,135
2016,25,0,130,135
2016,26,0,131,135
2016,27,7,132,142
2016,28,6,133,148
2016,29,0,134,148
2016,30,1,135,149
2016,31,3,136,152
2016,32,0,137,152
2016,33,0,138,152
2016,34,0,139,152
2016,35,4,140,156
2016,36,0,141,156
2016,37,4,142,160
2016,38,0,143,160
2016,39,0,144,160
2016,40,0,145,160
2016,41,7,146,167
2016,42,4,147,171
2016,43,11,148,182
2016,44,6,149,188
2016,45,0,150,188
2016,46,8,151,196
2016,47,4,152,200
2016,48,10,153,210
2016,49,8,154,218
2016,50,5,155,223
2016,51,0,156,223
2016,52,0,157,223
2017,1,0,158,223
2017,2,0,159,223
2017,3,0,160,223
2017,4,13,161,236
2017,5,0,162,236
2017,6,0,163,236
2017,7,0,164,236
2017,8,0,165,236
2017,9,20,166,256
2017,10,0,167,256
2017,11,12,168,268
2017,12,0,169,268
2017,13,0,170,268
2017,14,6,171,274
2017,15,0,172,274
