Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,2,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,1,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,0,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,0,22,4
2014,23,0,23,4
2014,24,0,24,4
2014,25,0,25,4
2014,26,0,26,4
2014,27,3,27,7
2014,28,0,28,7
2014,29,0,29,7
2014,30,0,30,7
2014,31,0,31,7
2014,32,0,32,7
2014,33,0,33,7
2014,34,1,34,8
2014,35,0,35,8
2014,36,1,36,9
2014,37,0,37,9
2014,38,0,38,9
2014,39,1,39,10
2014,40,0,40,10
2014,41,0,41,10
2014,42,0,42,10
2014,43,0,43,10
2014,44,0,44,10
2014,45,0,45,10
2014,46,0,46,10
2014,47,0,47,10
2014,48,0,48,10
2014,49,0,49,10
2014,50,0,50,10
2014,51,1,51,11
2014,52,0,52,11
2014,53,1,53,12
2015,1,0,54,12
2015,2,0,55,12
2015,3,0,56,12
2015,4,0,57,12
2015,5,0,58,12
2015,6,0,59,12
2015,7,1,60,13
2015,8,1,61,14
2015,9,0,62,14
2015,10,0,63,14
2015,11,0,64,14
2015,12,0,65,14
2015,13,2,66,16
2015,14,0,67,16
2015,15,0,68,16
2015,16,1,69,17
2015,17,0,70,17
2015,18,0,71,17
2015,19,0,72,17
2015,20,0,73,17
2015,21,1,74,18
2015,22,1,75,19
2015,23,0,76,19
2015,24,0,77,19
2015,25,0,78,19
2015,26,0,79,19
2015,27,0,80,19
2015,28,0,81,19
2015,29,0,82,19
2015,30,0,83,19
2015,31,1,84,20
2015,32,0,85,20
2015,33,0,86,20
2015,34,0,87,20
2015,35,0,88,20
2015,36,0,89,20
2015,37,0,90,20
2015,38,0,91,20
2015,39,0,92,20
2015,40,0,93,20
2015,41,0,94,20
2015,42,0,95,20
2015,43,1,96,21
2015,44,0,97,21
2015,45,0,98,21
2015,46,0,99,21
2015,47,0,100,21
2015,48,0,101,21
2015,49,0,102,21
2015,50,0,103,21
2015,51,0,104,21
2015,52,0,105,21
2016,1,0,106,21
2016,2,0,107,21
2016,3,0,108,21
2016,4,0,109,21
2016,5,0,110,21
2016,6,0,111,21
2016,7,0,112,21
2016,8,0,113,21
2016,9,0,114,21
2016,10,0,115,21
2016,11,0,116,21
2016,12,1,117,22
2016,13,0,118,22
2016,14,0,119,22
2016,15,0,120,22
2016,16,1,121,23
2016,17,0,122,23
2016,18,0,123,23
2016,19,0,124,23
2016,20,1,125,24
2016,21,0,126,24
2016,22,0,127,24
2016,23,0,128,24
2016,24,0,129,24
2016,25,1,130,25
2016,26,0,131,25
2016,27,0,132,25
2016,28,0,133,25
2016,29,1,134,26
2016,30,0,135,26
2016,31,0,136,26
2016,32,0,137,26
2016,33,0,138,26
2016,34,0,139,26
2016,35,0,140,26
2016,36,0,141,26
2016,37,0,142,26
2016,38,0,143,26
2016,39,0,144,26
2016,40,1,145,27
2016,41,0,146,27
2016,42,1,147,28
2016,43,0,148,28
2016,44,0,149,28
2016,45,0,150,28
2016,46,0,151,28
2016,47,0,152,28
2016,48,0,153,28
2016,49,2,154,30
2016,50,0,155,30
2016,51,0,156,30
2016,52,1,157,31
2017,1,2,158,33
2017,2,0,159,33
2017,3,1,160,34
2017,4,0,161,34
2017,5,3,162,37
2017,6,0,163,37
2017,7,0,164,37
2017,8,1,165,38
2017,9,0,166,38
2017,10,0,167,38
2017,11,0,168,38
2017,12,0,169,38
2017,13,0,170,38
2017,14,0,171,38
2017,15,0,172,38
