Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,4,2,7
2014,3,3,3,10
2014,4,1,4,11
2014,5,0,5,11
2014,6,0,6,11
2014,7,8,7,19
2014,8,5,8,24
2014,9,4,9,28
2014,10,1,10,29
2014,11,0,11,29
2014,12,2,12,31
2014,13,1,13,32
2014,14,6,14,38
2014,15,3,15,41
2014,16,1,16,42
2014,17,0,17,42
2014,18,0,18,42
2014,19,0,19,42
2014,20,0,20,42
2014,21,0,21,42
2014,22,0,22,42
2014,23,2,23,44
2014,24,1,24,45
2014,25,1,25,46
2014,26,0,26,46
2014,27,0,27,46
2014,28,0,28,46
2014,29,0,29,46
2014,30,0,30,46
2014,31,2,31,48
2014,32,0,32,48
2014,33,0,33,48
2014,34,0,34,48
2014,35,0,35,48
2014,36,5,36,53
2014,37,4,37,57
2014,38,1,38,58
2014,39,0,39,58
2014,40,2,40,60
2014,41,2,41,62
2014,42,0,42,62
2014,43,1,43,63
2014,44,2,44,65
2014,45,3,45,68
2014,46,3,46,71
2014,47,0,47,71
2014,48,1,48,72
2014,49,0,49,72
2014,50,3,50,75
2014,51,3,51,78
2014,52,0,52,78
2014,53,11,53,89
2015,1,1,54,90
2015,2,0,55,90
2015,3,6,56,96
2015,4,0,57,96
2015,5,2,58,98
2015,6,6,59,104
2015,7,0,60,104
2015,8,6,61,110
2015,9,4,62,114
2015,10,2,63,116
2015,11,0,64,116
2015,12,0,65,116
2015,13,0,66,116
2015,14,3,67,119
2015,15,0,68,119
2015,16,2,69,121
2015,17,2,70,123
2015,18,2,71,125
2015,19,3,72,128
2015,20,1,73,129
2015,21,1,74,130
2015,22,2,75,132
2015,23,5,76,137
2015,24,0,77,137
2015,25,0,78,137
2015,26,0,79,137
2015,27,1,80,138
2015,28,0,81,138
2015,29,0,82,138
2015,30,1,83,139
2015,31,1,84,140
2015,32,0,85,140
2015,33,0,86,140
2015,34,1,87,141
2015,35,0,88,141
2015,36,0,89,141
2015,37,0,90,141
2015,38,1,91,142
2015,39,1,92,143
2015,40,1,93,144
2015,41,2,94,146
2015,42,0,95,146
2015,43,1,96,147
2015,44,1,97,148
2015,45,0,98,148
2015,46,0,99,148
2015,47,0,100,148
2015,48,0,101,148
2015,49,0,102,148
2015,50,0,103,148
2015,51,0,104,148
2015,52,0,105,148
2016,1,4,106,152
2016,2,0,107,152
2016,3,0,108,152
2016,4,1,109,153
2016,5,0,110,153
2016,6,2,111,155
2016,7,2,112,157
2016,8,3,113,160
2016,9,2,114,162
2016,10,3,115,165
2016,11,3,116,168
2016,12,0,117,168
2016,13,4,118,172
2016,14,0,119,172
2016,15,2,120,174
2016,16,2,121,176
2016,17,1,122,177
2016,18,1,123,178
2016,19,3,124,181
2016,20,1,125,182
2016,21,0,126,182
2016,22,2,127,184
2016,23,0,128,184
2016,24,3,129,187
2016,25,0,130,187
2016,26,0,131,187
2016,27,0,132,187
2016,28,0,133,187
2016,29,0,134,187
2016,30,0,135,187
2016,31,1,136,188
2016,32,1,137,189
2016,33,0,138,189
2016,34,0,139,189
2016,35,1,140,190
2016,36,2,141,192
2016,37,0,142,192
2016,38,3,143,195
2016,39,0,144,195
2016,40,0,145,195
2016,41,1,146,196
2016,42,0,147,196
2016,43,0,148,196
2016,44,0,149,196
2016,45,1,150,197
2016,46,0,151,197
2016,47,1,152,198
2016,48,0,153,198
2016,49,5,154,203
2016,50,1,155,204
2016,51,0,156,204
2016,52,0,157,204
2017,1,2,158,206
2017,2,1,159,207
2017,3,0,160,207
2017,4,1,161,208
2017,5,2,162,210
2017,6,0,163,210
2017,7,1,164,211
2017,8,3,165,214
2017,9,1,166,215
2017,10,0,167,215
2017,11,1,168,216
2017,12,2,169,218
2017,13,1,170,219
2017,14,0,171,219
2017,15,1,172,220
