Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,1,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,1,11,2
2014,12,0,12,2
2014,13,2,13,4
2014,14,3,14,7
2014,15,1,15,8
2014,16,0,16,8
2014,17,1,17,9
2014,18,2,18,11
2014,19,3,19,14
2014,20,1,20,15
2014,21,0,21,15
2014,22,5,22,20
2014,23,0,23,20
2014,24,0,24,20
2014,25,0,25,20
2014,26,0,26,20
2014,27,0,27,20
2014,28,0,28,20
2014,29,0,29,20
2014,30,0,30,20
2014,31,0,31,20
2014,32,0,32,20
2014,33,0,33,20
2014,34,0,34,20
2014,35,0,35,20
2014,36,3,36,23
2014,37,0,37,23
2014,38,1,38,24
2014,39,2,39,26
2014,40,1,40,27
2014,41,0,41,27
2014,42,0,42,27
2014,43,0,43,27
2014,44,0,44,27
2014,45,0,45,27
2014,46,0,46,27
2014,47,0,47,27
2014,48,0,48,27
2014,49,0,49,27
2014,50,0,50,27
2014,51,1,51,28
2014,52,1,52,29
2014,53,0,53,29
2015,1,0,54,29
2015,2,0,55,29
2015,3,0,56,29
2015,4,0,57,29
2015,5,1,58,30
2015,6,0,59,30
2015,7,0,60,30
2015,8,1,61,31
2015,9,0,62,31
2015,10,0,63,31
2015,11,2,64,33
2015,12,1,65,34
2015,13,0,66,34
2015,14,1,67,35
2015,15,0,68,35
2015,16,1,69,36
2015,17,2,70,38
2015,18,4,71,42
2015,19,0,72,42
2015,20,1,73,43
2015,21,1,74,44
2015,22,1,75,45
2015,23,3,76,48
2015,24,0,77,48
2015,25,0,78,48
2015,26,0,79,48
2015,27,0,80,48
2015,28,0,81,48
2015,29,0,82,48
2015,30,1,83,49
2015,31,0,84,49
2015,32,0,85,49
2015,33,0,86,49
2015,34,0,87,49
2015,35,0,88,49
2015,36,0,89,49
2015,37,1,90,50
2015,38,0,91,50
2015,39,0,92,50
2015,40,0,93,50
2015,41,0,94,50
2015,42,0,95,50
2015,43,0,96,50
2015,44,1,97,51
2015,45,0,98,51
2015,46,0,99,51
2015,47,2,100,53
2015,48,0,101,53
2015,49,1,102,54
2015,50,0,103,54
2015,51,1,104,55
2015,52,1,105,56
2016,1,0,106,56
2016,2,0,107,56
2016,3,0,108,56
2016,4,0,109,56
2016,5,0,110,56
2016,6,0,111,56
2016,7,0,112,56
2016,8,1,113,57
2016,9,0,114,57
2016,10,1,115,58
2016,11,0,116,58
2016,12,0,117,58
2016,13,0,118,58
2016,14,1,119,59
2016,15,0,120,59
2016,16,2,121,61
2016,17,2,122,63
2016,18,0,123,63
2016,19,1,124,64
2016,20,0,125,64
2016,21,0,126,64
2016,22,0,127,64
2016,23,0,128,64
2016,24,0,129,64
2016,25,0,130,64
2016,26,2,131,66
2016,27,0,132,66
2016,28,0,133,66
2016,29,0,134,66
2016,30,0,135,66
2016,31,0,136,66
2016,32,0,137,66
2016,33,0,138,66
2016,34,0,139,66
2016,35,0,140,66
2016,36,2,141,68
2016,37,2,142,70
2016,38,0,143,70
2016,39,0,144,70
2016,40,0,145,70
2016,41,0,146,70
2016,42,0,147,70
2016,43,0,148,70
2016,44,0,149,70
2016,45,0,150,70
2016,46,1,151,71
2016,47,0,152,71
2016,48,0,153,71
2016,49,1,154,72
2016,50,0,155,72
2016,51,0,156,72
2016,52,0,157,72
2017,1,0,158,72
2017,2,0,159,72
2017,3,0,160,72
2017,4,0,161,72
2017,5,0,162,72
2017,6,2,163,74
2017,7,0,164,74
2017,8,0,165,74
2017,9,1,166,75
2017,10,0,167,75
2017,11,0,168,75
2017,12,2,169,77
2017,13,0,170,77
2017,14,0,171,77
2017,15,0,172,77
