Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,1,2,2
2014,3,1,3,3
2014,4,1,4,4
2014,5,1,5,5
2014,6,2,6,7
2014,7,3,7,10
2014,8,1,8,11
2014,9,0,9,11
2014,10,3,10,14
2014,11,3,11,17
2014,12,1,12,18
2014,13,2,13,20
2014,14,1,14,21
2014,15,2,15,23
2014,16,2,16,25
2014,17,0,17,25
2014,18,2,18,27
2014,19,4,19,31
2014,20,1,20,32
2014,21,4,21,36
2014,22,1,22,37
2014,23,0,23,37
2014,24,1,24,38
2014,25,0,25,38
2014,26,1,26,39
2014,27,0,27,39
2014,28,0,28,39
2014,29,2,29,41
2014,30,1,30,42
2014,31,0,31,42
2014,32,0,32,42
2014,33,0,33,42
2014,34,0,34,42
2014,35,0,35,42
2014,36,0,36,42
2014,37,0,37,42
2014,38,1,38,43
2014,39,3,39,46
2014,40,4,40,50
2014,41,0,41,50
2014,42,0,42,50
2014,43,0,43,50
2014,44,2,44,52
2014,45,0,45,52
2014,46,0,46,52
2014,47,0,47,52
2014,48,0,48,52
2014,49,2,49,54
2014,50,1,50,55
2014,51,1,51,56
2014,52,0,52,56
2014,53,2,53,58
2015,1,3,54,61
2015,2,0,55,61
2015,3,2,56,63
2015,4,1,57,64
2015,5,2,58,66
2015,6,0,59,66
2015,7,2,60,68
2015,8,3,61,71
2015,9,3,62,74
2015,10,1,63,75
2015,11,0,64,75
2015,12,3,65,78
2015,13,3,66,81
2015,14,0,67,81
2015,15,11,68,92
2015,16,5,69,97
2015,17,2,70,99
2015,18,2,71,101
2015,19,1,72,102
2015,20,0,73,102
2015,21,0,74,102
2015,22,3,75,105
2015,23,2,76,107
2015,24,2,77,109
2015,25,0,78,109
2015,26,0,79,109
2015,27,0,80,109
2015,28,1,81,110
2015,29,2,82,112
2015,30,0,83,112
2015,31,0,84,112
2015,32,1,85,113
2015,33,0,86,113
2015,34,0,87,113
2015,35,0,88,113
2015,36,0,89,113
2015,37,0,90,113
2015,38,0,91,113
2015,39,0,92,113
2015,40,1,93,114
2015,41,0,94,114
2015,42,2,95,116
2015,43,3,96,119
2015,44,0,97,119
2015,45,3,98,122
2015,46,0,99,122
2015,47,6,100,128
2015,48,1,101,129
2015,49,1,102,130
2015,50,0,103,130
2015,51,1,104,131
2015,52,0,105,131
2016,1,4,106,135
2016,2,0,107,135
2016,3,1,108,136
2016,4,3,109,139
2016,5,0,110,139
2016,6,3,111,142
2016,7,3,112,145
2016,8,1,113,146
2016,9,0,114,146
2016,10,4,115,150
2016,11,3,116,153
2016,12,4,117,157
2016,13,6,118,163
2016,14,1,119,164
2016,15,1,120,165
2016,16,4,121,169
2016,17,3,122,172
2016,18,2,123,174
2016,19,3,124,177
2016,20,2,125,179
2016,21,1,126,180
2016,22,1,127,181
2016,23,1,128,182
2016,24,0,129,182
2016,25,0,130,182
2016,26,0,131,182
2016,27,3,132,185
2016,28,3,133,188
2016,29,0,134,188
2016,30,0,135,188
2016,31,2,136,190
2016,32,1,137,191
2016,33,0,138,191
2016,34,0,139,191
2016,35,0,140,191
2016,36,0,141,191
2016,37,0,142,191
2016,38,1,143,192
2016,39,0,144,192
2016,40,1,145,193
2016,41,3,146,196
2016,42,0,147,196
2016,43,5,148,201
2016,44,1,149,202
2016,45,2,150,204
2016,46,0,151,204
2016,47,4,152,208
2016,48,1,153,209
2016,49,0,154,209
2016,50,0,155,209
2016,51,2,156,211
2016,52,0,157,211
2017,1,5,158,216
2017,2,0,159,216
2017,3,0,160,216
2017,4,2,161,218
2017,5,1,162,219
2017,6,6,163,225
2017,7,4,164,229
2017,8,0,165,229
2017,9,0,166,229
2017,10,3,167,232
2017,11,1,168,233
2017,12,3,169,236
2017,13,6,170,242
2017,14,0,171,242
2017,15,1,172,243
