Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,3,2,3
2014,3,0,3,3
2014,4,1,4,4
2014,5,2,5,6
2014,6,0,6,6
2014,7,0,7,6
2014,8,3,8,9
2014,9,0,9,9
2014,10,1,10,10
2014,11,0,11,10
2014,12,0,12,10
2014,13,0,13,10
2014,14,0,14,10
2014,15,1,15,11
2014,16,5,16,16
2014,17,5,17,21
2014,18,0,18,21
2014,19,1,19,22
2014,20,0,20,22
2014,21,0,21,22
2014,22,1,22,23
2014,23,0,23,23
2014,24,0,24,23
2014,25,0,25,23
2014,26,1,26,24
2014,27,0,27,24
2014,28,0,28,24
2014,29,0,29,24
2014,30,1,30,25
2014,31,0,31,25
2014,32,0,32,25
2014,33,0,33,25
2014,34,0,34,25
2014,35,1,35,26
2014,36,0,36,26
2014,37,0,37,26
2014,38,0,38,26
2014,39,0,39,26
2014,40,0,40,26
2014,41,0,41,26
2014,42,0,42,26
2014,43,1,43,27
2014,44,0,44,27
2014,45,0,45,27
2014,46,0,46,27
2014,47,0,47,27
2014,48,0,48,27
2014,49,0,49,27
2014,50,0,50,27
2014,51,4,51,31
2014,52,0,52,31
2014,53,0,53,31
2015,1,1,54,32
2015,2,4,55,36
2015,3,2,56,38
2015,4,0,57,38
2015,5,3,58,41
2015,6,0,59,41
2015,7,0,60,41
2015,8,0,61,41
2015,9,0,62,41
2015,10,2,63,43
2015,11,0,64,43
2015,12,0,65,43
2015,13,0,66,43
2015,14,3,67,46
2015,15,1,68,47
2015,16,3,69,50
2015,17,1,70,51
2015,18,0,71,51
2015,19,0,72,51
2015,20,0,73,51
2015,21,3,74,54
2015,22,2,75,56
2015,23,1,76,57
2015,24,0,77,57
2015,25,0,78,57
2015,26,0,79,57
2015,27,2,80,59
2015,28,0,81,59
2015,29,2,82,61
2015,30,0,83,61
2015,31,0,84,61
2015,32,1,85,62
2015,33,0,86,62
2015,34,0,87,62
2015,35,0,88,62
2015,36,0,89,62
2015,37,0,90,62
2015,38,0,91,62
2015,39,0,92,62
2015,40,0,93,62
2015,41,0,94,62
2015,42,0,95,62
2015,43,0,96,62
2015,44,0,97,62
2015,45,0,98,62
2015,46,0,99,62
2015,47,0,100,62
2015,48,0,101,62
2015,49,0,102,62
2015,50,0,103,62
2015,51,0,104,62
2015,52,0,105,62
2016,1,0,106,62
2016,2,0,107,62
2016,3,0,108,62
2016,4,0,109,62
2016,5,0,110,62
2016,6,0,111,62
2016,7,0,112,62
2016,8,0,113,62
2016,9,0,114,62
2016,10,0,115,62
2016,11,0,116,62
2016,12,0,117,62
2016,13,0,118,62
2016,14,0,119,62
2016,15,3,120,65
2016,16,4,121,69
2016,17,2,122,71
2016,18,0,123,71
2016,19,0,124,71
2016,20,0,125,71
2016,21,0,126,71
2016,22,0,127,71
2016,23,0,128,71
2016,24,0,129,71
2016,25,0,130,71
2016,26,0,131,71
2016,27,0,132,71
2016,28,0,133,71
2016,29,0,134,71
2016,30,0,135,71
2016,31,0,136,71
2016,32,0,137,71
2016,33,0,138,71
2016,34,0,139,71
2016,35,0,140,71
2016,36,0,141,71
2016,37,0,142,71
2016,38,0,143,71
2016,39,0,144,71
2016,40,0,145,71
2016,41,0,146,71
2016,42,1,147,72
2016,43,0,148,72
2016,44,0,149,72
2016,45,0,150,72
2016,46,0,151,72
2016,47,0,152,72
2016,48,1,153,73
2016,49,0,154,73
2016,50,0,155,73
2016,51,0,156,73
2016,52,0,157,73
2017,1,0,158,73
2017,2,1,159,74
2017,3,0,160,74
2017,4,0,161,74
2017,5,3,162,77
2017,6,1,163,78
2017,7,0,164,78
2017,8,3,165,81
2017,9,2,166,83
2017,10,2,167,85
2017,11,2,168,87
2017,12,0,169,87
2017,13,0,170,87
2017,14,6,171,93
2017,15,0,172,93
