Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,3,2,4
2014,3,0,3,4
2014,4,0,4,4
2014,5,1,5,5
2014,6,2,6,7
2014,7,0,7,7
2014,8,1,8,8
2014,9,5,9,13
2014,10,3,10,16
2014,11,4,11,20
2014,12,5,12,25
2014,13,3,13,28
2014,14,2,14,30
2014,15,0,15,30
2014,16,1,16,31
2014,17,5,17,36
2014,18,3,18,39
2014,19,1,19,40
2014,20,2,20,42
2014,21,0,21,42
2014,22,0,22,42
2014,23,1,23,43
2014,24,1,24,44
2014,25,0,25,44
2014,26,4,26,48
2014,27,3,27,51
2014,28,1,28,52
2014,29,2,29,54
2014,30,0,30,54
2014,31,1,31,55
2014,32,0,32,55
2014,33,0,33,55
2014,34,1,34,56
2014,35,0,35,56
2014,36,0,36,56
2014,37,2,37,58
2014,38,0,38,58
2014,39,5,39,63
2014,40,3,40,66
2014,41,2,41,68
2014,42,2,42,70
2014,43,2,43,72
2014,44,0,44,72
2014,45,0,45,72
2014,46,2,46,74
2014,47,1,47,75
2014,48,2,48,77
2014,49,6,49,83
2014,50,5,50,88
2014,51,1,51,89
2014,52,1,52,90
2014,53,1,53,91
2015,1,3,54,94
2015,2,1,55,95
2015,3,2,56,97
2015,4,2,57,99
2015,5,2,58,101
2015,6,1,59,102
2015,7,0,60,102
2015,8,0,61,102
2015,9,2,62,104
2015,10,2,63,106
2015,11,3,64,109
2015,12,4,65,113
2015,13,1,66,114
2015,14,1,67,115
2015,15,1,68,116
2015,16,0,69,116
2015,17,0,70,116
2015,18,1,71,117
2015,19,3,72,120
2015,20,0,73,120
2015,21,1,74,121
2015,22,1,75,122
2015,23,1,76,123
2015,24,1,77,124
2015,25,1,78,125
2015,26,0,79,125
2015,27,2,80,127
2015,28,0,81,127
2015,29,0,82,127
2015,30,1,83,128
2015,31,1,84,129
2015,32,1,85,130
2015,33,1,86,131
2015,34,1,87,132
2015,35,0,88,132
2015,36,2,89,134
2015,37,0,90,134
2015,38,4,91,138
2015,39,2,92,140
2015,40,2,93,142
2015,41,1,94,143
2015,42,2,95,145
2015,43,4,96,149
2015,44,4,97,153
2015,45,0,98,153
2015,46,1,99,154
2015,47,1,100,155
2015,48,1,101,156
2015,49,0,102,156
2015,50,0,103,156
2015,51,2,104,158
2015,52,2,105,160
2016,1,3,106,163
2016,2,3,107,166
2016,3,1,108,167
2016,4,3,109,170
2016,5,3,110,173
2016,6,1,111,174
2016,7,1,112,175
2016,8,1,113,176
2016,9,0,114,176
2016,10,1,115,177
2016,11,2,116,179
2016,12,0,117,179
2016,13,0,118,179
2016,14,1,119,180
2016,15,3,120,183
2016,16,1,121,184
2016,17,0,122,184
2016,18,1,123,185
2016,19,2,124,187
2016,20,0,125,187
2016,21,0,126,187
2016,22,1,127,188
2016,23,2,128,190
2016,24,1,129,191
2016,25,0,130,191
2016,26,1,131,192
2016,27,0,132,192
2016,28,5,133,197
2016,29,1,134,198
2016,30,0,135,198
2016,31,0,136,198
2016,32,2,137,200
2016,33,3,138,203
2016,34,0,139,203
2016,35,1,140,204
2016,36,2,141,206
2016,37,1,142,207
2016,38,1,143,208
2016,39,0,144,208
2016,40,2,145,210
2016,41,2,146,212
2016,42,1,147,213
2016,43,2,148,215
2016,44,2,149,217
2016,45,3,150,220
2016,46,0,151,220
2016,47,2,152,222
2016,48,0,153,222
2016,49,2,154,224
2016,50,3,155,227
2016,51,0,156,227
2016,52,3,157,230
