Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,1,4,2
2014,5,0,5,2
2014,6,3,6,5
2014,7,0,7,5
2014,8,1,8,6
2014,9,0,9,6
2014,10,0,10,6
2014,11,0,11,6
2014,12,0,12,6
2014,13,0,13,6
2014,14,0,14,6
2014,15,0,15,6
2014,16,1,16,7
2014,17,0,17,7
2014,18,0,18,7
2014,19,1,19,8
2014,20,2,20,10
2014,21,0,21,10
2014,22,2,22,12
2014,23,0,23,12
2014,24,0,24,12
2014,25,0,25,12
2014,26,0,26,12
2014,27,0,27,12
2014,28,0,28,12
2014,29,1,29,13
2014,30,0,30,13
2014,31,0,31,13
2014,32,0,32,13
2014,33,0,33,13
2014,34,0,34,13
2014,35,0,35,13
2014,36,0,36,13
2014,37,2,37,15
2014,38,3,38,18
2014,39,0,39,18
2014,40,0,40,18
2014,41,0,41,18
2014,42,0,42,18
2014,43,0,43,18
2014,44,1,44,19
2014,45,0,45,19
2014,46,0,46,19
2014,47,0,47,19
2014,48,0,48,19
2014,49,0,49,19
2014,50,0,50,19
2014,51,0,51,19
2014,52,0,52,19
2014,53,0,53,19
2015,1,1,54,20
2015,2,1,55,21
2015,3,0,56,21
2015,4,0,57,21
2015,5,1,58,22
2015,6,0,59,22
2015,7,0,60,22
2015,8,2,61,24
2015,9,1,62,25
2015,10,0,63,25
2015,11,0,64,25
2015,12,0,65,25
2015,13,1,66,26
2015,14,0,67,26
2015,15,0,68,26
2015,16,1,69,27
2015,17,0,70,27
2015,18,0,71,27
2015,19,1,72,28
2015,20,0,73,28
2015,21,0,74,28
2015,22,0,75,28
2015,23,2,76,30
2015,24,0,77,30
2015,25,0,78,30
2015,26,0,79,30
2015,27,2,80,32
2015,28,0,81,32
2015,29,1,82,33
2015,30,0,83,33
2015,31,0,84,33
2015,32,0,85,33
2015,33,0,86,33
2015,34,0,87,33
2015,35,0,88,33
2015,36,0,89,33
2015,37,1,90,34
2015,38,1,91,35
2015,39,0,92,35
2015,40,0,93,35
2015,41,0,94,35
2015,42,1,95,36
2015,43,2,96,38
2015,44,0,97,38
2015,45,0,98,38
2015,46,1,99,39
2015,47,0,100,39
2015,48,0,101,39
2015,49,2,102,41
2015,50,0,103,41
2015,51,2,104,43
2015,52,0,105,43
2016,1,0,106,43
2016,2,0,107,43
2016,3,0,108,43
2016,4,0,109,43
2016,5,4,110,47
2016,6,1,111,48
2016,7,0,112,48
2016,8,1,113,49
2016,9,5,114,54
2016,10,1,115,55
2016,11,1,116,56
2016,12,0,117,56
2016,13,0,118,56
2016,14,1,119,57
2016,15,1,120,58
2016,16,0,121,58
2016,17,1,122,59
2016,18,1,123,60
2016,19,1,124,61
2016,20,1,125,62
2016,21,0,126,62
2016,22,1,127,63
2016,23,0,128,63
2016,24,1,129,64
2016,25,1,130,65
2016,26,1,131,66
2016,27,0,132,66
2016,28,0,133,66
2016,29,0,134,66
2016,30,0,135,66
2016,31,0,136,66
2016,32,0,137,66
2016,33,0,138,66
2016,34,1,139,67
2016,35,1,140,68
2016,36,0,141,68
2016,37,0,142,68
2016,38,0,143,68
2016,39,0,144,68
2016,40,1,145,69
2016,41,1,146,70
2016,42,1,147,71
2016,43,0,148,71
2016,44,0,149,71
2016,45,0,150,71
2016,46,2,151,73
2016,47,1,152,74
2016,48,3,153,77
2016,49,1,154,78
2016,50,0,155,78
2016,51,0,156,78
2016,52,0,157,78
