Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,2,3,3
2014,4,0,4,3
2014,5,1,5,4
2014,6,4,6,8
2014,7,0,7,8
2014,8,0,8,8
2014,9,0,9,8
2014,10,1,10,9
2014,11,0,11,9
2014,12,0,12,9
2014,13,1,13,10
2014,14,0,14,10
2014,15,0,15,10
2014,16,1,16,11
2014,17,1,17,12
2014,18,1,18,13
2014,19,1,19,14
2014,20,0,20,14
2014,21,0,21,14
2014,22,0,22,14
2014,23,0,23,14
2014,24,0,24,14
2014,25,0,25,14
2014,26,1,26,15
2014,27,0,27,15
2014,28,0,28,15
2014,29,0,29,15
2014,30,0,30,15
2014,31,2,31,17
2014,32,0,32,17
2014,33,0,33,17
2014,34,0,34,17
2014,35,1,35,18
2014,36,0,36,18
2014,37,0,37,18
2014,38,0,38,18
2014,39,1,39,19
2014,40,0,40,19
2014,41,1,41,20
2014,42,0,42,20
2014,43,0,43,20
2014,44,0,44,20
2014,45,0,45,20
2014,46,0,46,20
2014,47,2,47,22
2014,48,0,48,22
2014,49,1,49,23
2014,50,1,50,24
2014,51,3,51,27
2014,52,0,52,27
2014,53,2,53,29
2015,1,0,54,29
2015,2,1,55,30
2015,3,0,56,30
2015,4,0,57,30
2015,5,1,58,31
2015,6,0,59,31
2015,7,0,60,31
2015,8,0,61,31
2015,9,0,62,31
2015,10,0,63,31
2015,11,0,64,31
2015,12,2,65,33
2015,13,0,66,33
2015,14,1,67,34
2015,15,1,68,35
2015,16,2,69,37
2015,17,0,70,37
2015,18,1,71,38
2015,19,1,72,39
2015,20,0,73,39
2015,21,0,74,39
2015,22,0,75,39
2015,23,1,76,40
2015,24,0,77,40
2015,25,0,78,40
2015,26,0,79,40
2015,27,1,80,41
2015,28,0,81,41
2015,29,2,82,43
2015,30,0,83,43
2015,31,0,84,43
2015,32,0,85,43
2015,33,0,86,43
2015,34,0,87,43
2015,35,0,88,43
2015,36,1,89,44
2015,37,1,90,45
2015,38,0,91,45
2015,39,0,92,45
2015,40,0,93,45
2015,41,1,94,46
2015,42,0,95,46
2015,43,1,96,47
2015,44,1,97,48
2015,45,0,98,48
2015,46,1,99,49
2015,47,0,100,49
2015,48,1,101,50
2015,49,0,102,50
2015,50,0,103,50
2015,51,0,104,50
2015,52,0,105,50
2016,1,1,106,51
2016,2,0,107,51
2016,3,0,108,51
2016,4,0,109,51
2016,5,0,110,51
2016,6,1,111,52
2016,7,1,112,53
2016,8,3,113,56
2016,9,1,114,57
2016,10,0,115,57
2016,11,0,116,57
2016,12,2,117,59
2016,13,0,118,59
2016,14,1,119,60
2016,15,0,120,60
2016,16,1,121,61
2016,17,2,122,63
2016,18,0,123,63
2016,19,0,124,63
2016,20,0,125,63
2016,21,0,126,63
2016,22,0,127,63
2016,23,0,128,63
2016,24,0,129,63
2016,25,1,130,64
2016,26,0,131,64
2016,27,0,132,64
2016,28,0,133,64
2016,29,0,134,64
2016,30,1,135,65
2016,31,1,136,66
2016,32,0,137,66
2016,33,1,138,67
2016,34,0,139,67
2016,35,1,140,68
2016,36,0,141,68
2016,37,0,142,68
2016,38,0,143,68
2016,39,0,144,68
2016,40,0,145,68
2016,41,0,146,68
2016,42,0,147,68
2016,43,1,148,69
2016,44,0,149,69
2016,45,0,150,69
2016,46,1,151,70
2016,47,0,152,70
2016,48,0,153,70
2016,49,0,154,70
2016,50,1,155,71
2016,51,0,156,71
2016,52,0,157,71
