Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,1,6,2
2014,7,2,7,4
2014,8,0,8,4
2014,9,0,9,4
2014,10,0,10,4
2014,11,0,11,4
2014,12,0,12,4
2014,13,0,13,4
2014,14,0,14,4
2014,15,0,15,4
2014,16,0,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,0,22,4
2014,23,0,23,4
2014,24,0,24,4
2014,25,0,25,4
2014,26,0,26,4
2014,27,0,27,4
2014,28,0,28,4
2014,29,0,29,4
2014,30,0,30,4
2014,31,0,31,4
2014,32,0,32,4
2014,33,0,33,4
2014,34,0,34,4
2014,35,0,35,4
2014,36,0,36,4
2014,37,0,37,4
2014,38,0,38,4
2014,39,0,39,4
2014,40,0,40,4
2014,41,0,41,4
2014,42,0,42,4
2014,43,0,43,4
2014,44,0,44,4
2014,45,1,45,5
2014,46,0,46,5
2014,47,0,47,5
2014,48,0,48,5
2014,49,0,49,5
2014,50,0,50,5
2014,51,0,51,5
2014,52,3,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,1,57,9
2015,5,1,58,10
2015,6,1,59,11
2015,7,0,60,11
2015,8,0,61,11
2015,9,0,62,11
2015,10,0,63,11
2015,11,0,64,11
2015,12,0,65,11
2015,13,0,66,11
2015,14,0,67,11
2015,15,0,68,11
2015,16,0,69,11
2015,17,0,70,11
2015,18,1,71,12
2015,19,0,72,12
2015,20,0,73,12
2015,21,0,74,12
2015,22,0,75,12
2015,23,0,76,12
2015,24,0,77,12
2015,25,0,78,12
2015,26,0,79,12
2015,27,0,80,12
2015,28,0,81,12
2015,29,0,82,12
2015,30,0,83,12
2015,31,0,84,12
2015,32,1,85,13
2015,33,0,86,13
2015,34,0,87,13
2015,35,0,88,13
2015,36,0,89,13
2015,37,1,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,0,99,14
2015,47,0,100,14
2015,48,0,101,14
2015,49,0,102,14
2015,50,0,103,14
2015,51,0,104,14
2015,52,0,105,14
2016,1,0,106,14
2016,2,0,107,14
2016,3,0,108,14
2016,4,0,109,14
2016,5,1,110,15
2016,6,0,111,15
2016,7,0,112,15
2016,8,0,113,15
2016,9,2,114,17
2016,10,0,115,17
2016,11,1,116,18
2016,12,0,117,18
2016,13,1,118,19
2016,14,0,119,19
2016,15,0,120,19
2016,16,0,121,19
2016,17,2,122,21
2016,18,0,123,21
2016,19,0,124,21
2016,20,0,125,21
2016,21,0,126,21
2016,22,0,127,21
2016,23,2,128,23
2016,24,0,129,23
2016,25,0,130,23
2016,26,0,131,23
2016,27,1,132,24
2016,28,0,133,24
2016,29,0,134,24
2016,30,0,135,24
2016,31,0,136,24
2016,32,0,137,24
2016,33,0,138,24
2016,34,0,139,24
2016,35,0,140,24
2016,36,0,141,24
2016,37,0,142,24
2016,38,1,143,25
2016,39,0,144,25
2016,40,0,145,25
2016,41,0,146,25
2016,42,0,147,25
2016,43,1,148,26
2016,44,0,149,26
2016,45,1,150,27
2016,46,2,151,29
2016,47,0,152,29
2016,48,0,153,29
2016,49,0,154,29
2016,50,0,155,29
2016,51,0,156,29
2016,52,0,157,29
