Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,1,6,1
2014,7,0,7,1
2014,8,1,8,2
2014,9,0,9,2
2014,10,2,10,4
2014,11,1,11,5
2014,12,1,12,6
2014,13,1,13,7
2014,14,1,14,8
2014,15,0,15,8
2014,16,3,16,11
2014,17,1,17,12
2014,18,0,18,12
2014,19,0,19,12
2014,20,1,20,13
2014,21,2,21,15
2014,22,1,22,16
2014,23,0,23,16
2014,24,1,24,17
2014,25,2,25,19
2014,26,0,26,19
2014,27,1,27,20
2014,28,0,28,20
2014,29,2,29,22
2014,30,1,30,23
2014,31,0,31,23
2014,32,0,32,23
2014,33,0,33,23
2014,34,1,34,24
2014,35,1,35,25
2014,36,0,36,25
2014,37,0,37,25
2014,38,0,38,25
2014,39,1,39,26
2014,40,1,40,27
2014,41,5,41,32
2014,42,0,42,32
2014,43,2,43,34
2014,44,1,44,35
2014,45,1,45,36
2014,46,3,46,39
2014,47,1,47,40
2014,48,0,48,40
2014,49,0,49,40
2014,50,2,50,42
2014,51,0,51,42
2014,52,1,52,43
2014,53,0,53,43
2015,1,1,54,44
2015,2,1,55,45
2015,3,0,56,45
2015,4,0,57,45
2015,5,0,58,45
2015,6,1,59,46
2015,7,0,60,46
2015,8,1,61,47
2015,9,1,62,48
2015,10,3,63,51
2015,11,0,64,51
2015,12,1,65,52
2015,13,3,66,55
2015,14,1,67,56
2015,15,1,68,57
2015,16,2,69,59
2015,17,1,70,60
2015,18,0,71,60
2015,19,1,72,61
2015,20,2,73,63
2015,21,1,74,64
2015,22,0,75,64
2015,23,0,76,64
2015,24,1,77,65
2015,25,0,78,65
2015,26,1,79,66
2015,27,0,80,66
2015,28,0,81,66
2015,29,0,82,66
2015,30,1,83,67
2015,31,0,84,67
2015,32,0,85,67
2015,33,0,86,67
2015,34,0,87,67
2015,35,0,88,67
2015,36,3,89,70
2015,37,0,90,70
2015,38,2,91,72
2015,39,0,92,72
2015,40,1,93,73
2015,41,2,94,75
2015,42,2,95,77
2015,43,1,96,78
2015,44,1,97,79
2015,45,1,98,80
2015,46,0,99,80
2015,47,1,100,81
2015,48,0,101,81
2015,49,1,102,82
2015,50,1,103,83
2015,51,1,104,84
2015,52,0,105,84
2016,1,0,106,84
2016,2,0,107,84
2016,3,2,108,86
2016,4,3,109,89
2016,5,2,110,91
2016,6,0,111,91
2016,7,2,112,93
2016,8,0,113,93
2016,9,0,114,93
2016,10,4,115,97
2016,11,0,116,97
2016,12,3,117,100
2016,13,1,118,101
2016,14,1,119,102
2016,15,0,120,102
2016,16,0,121,102
2016,17,1,122,103
2016,18,2,123,105
2016,19,0,124,105
2016,20,1,125,106
2016,21,1,126,107
2016,22,0,127,107
2016,23,1,128,108
2016,24,1,129,109
2016,25,0,130,109
2016,26,1,131,110
2016,27,0,132,110
2016,28,2,133,112
2016,29,2,134,114
2016,30,1,135,115
2016,31,0,136,115
2016,32,0,137,115
2016,33,0,138,115
2016,34,0,139,115
2016,35,0,140,115
2016,36,0,141,115
2016,37,1,142,116
2016,38,0,143,116
2016,39,3,144,119
2016,40,0,145,119
2016,41,0,146,119
2016,42,1,147,120
2016,43,0,148,120
2016,44,0,149,120
2016,45,1,150,121
2016,46,1,151,122
2016,47,0,152,122
2016,48,0,153,122
2016,49,4,154,126
2016,50,0,155,126
2016,51,3,156,129
2016,52,2,157,131
