Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,3,3,3
2014,4,0,4,3
2014,5,0,5,3
2014,6,0,6,3
2014,7,1,7,4
2014,8,2,8,6
2014,9,1,9,7
2014,10,1,10,8
2014,11,0,11,8
2014,12,1,12,9
2014,13,2,13,11
2014,14,2,14,13
2014,15,2,15,15
2014,16,1,16,16
2014,17,2,17,18
2014,18,1,18,19
2014,19,0,19,19
2014,20,1,20,20
2014,21,2,21,22
2014,22,0,22,22
2014,23,0,23,22
2014,24,0,24,22
2014,25,1,25,23
2014,26,0,26,23
2014,27,0,27,23
2014,28,0,28,23
2014,29,1,29,24
2014,30,0,30,24
2014,31,0,31,24
2014,32,1,32,25
2014,33,0,33,25
2014,34,0,34,25
2014,35,0,35,25
2014,36,2,36,27
2014,37,0,37,27
2014,38,0,38,27
2014,39,0,39,27
2014,40,0,40,27
2014,41,1,41,28
2014,42,0,42,28
2014,43,2,43,30
2014,44,0,44,30
2014,45,1,45,31
2014,46,4,46,35
2014,47,2,47,37
2014,48,1,48,38
2014,49,1,49,39
2014,50,0,50,39
2014,51,1,51,40
2014,52,0,52,40
2014,53,2,53,42
2015,1,2,54,44
2015,2,1,55,45
2015,3,0,56,45
2015,4,0,57,45
2015,5,2,58,47
2015,6,0,59,47
2015,7,1,60,48
2015,8,0,61,48
2015,9,0,62,48
2015,10,3,63,51
2015,11,1,64,52
2015,12,0,65,52
2015,13,2,66,54
2015,14,2,67,56
2015,15,0,68,56
2015,16,4,69,60
2015,17,2,70,62
2015,18,1,71,63
2015,19,1,72,64
2015,20,1,73,65
2015,21,3,74,68
2015,22,1,75,69
2015,23,0,76,69
2015,24,0,77,69
2015,25,2,78,71
2015,26,0,79,71
2015,27,0,80,71
2015,28,0,81,71
2015,29,1,82,72
2015,30,0,83,72
2015,31,0,84,72
2015,32,0,85,72
2015,33,0,86,72
2015,34,0,87,72
2015,35,0,88,72
2015,36,2,89,74
2015,37,0,90,74
2015,38,2,91,76
2015,39,4,92,80
2015,40,2,93,82
2015,41,1,94,83
2015,42,2,95,85
2015,43,3,96,88
2015,44,1,97,89
2015,45,1,98,90
2015,46,2,99,92
2015,47,1,100,93
2015,48,3,101,96
2015,49,3,102,99
2015,50,0,103,99
2015,51,0,104,99
2015,52,0,105,99
2016,1,3,106,102
2016,2,0,107,102
2016,3,4,108,106
2016,4,4,109,110
2016,5,3,110,113
2016,6,2,111,115
2016,7,0,112,115
2016,8,5,113,120
2016,9,0,114,120
2016,10,2,115,122
2016,11,1,116,123
2016,12,1,117,124
2016,13,0,118,124
2016,14,1,119,125
2016,15,1,120,126
2016,16,0,121,126
2016,17,4,122,130
2016,18,0,123,130
2016,19,0,124,130
2016,20,0,125,130
2016,21,3,126,133
2016,22,2,127,135
2016,23,1,128,136
2016,24,1,129,137
2016,25,1,130,138
2016,26,1,131,139
2016,27,0,132,139
2016,28,0,133,139
2016,29,2,134,141
2016,30,0,135,141
2016,31,1,136,142
2016,32,1,137,143
2016,33,1,138,144
2016,34,0,139,144
2016,35,0,140,144
2016,36,1,141,145
2016,37,1,142,146
2016,38,0,143,146
2016,39,2,144,148
2016,40,1,145,149
2016,41,0,146,149
2016,42,0,147,149
2016,43,0,148,149
2016,44,1,149,150
2016,45,1,150,151
2016,46,2,151,153
2016,47,1,152,154
2016,48,0,153,154
2016,49,1,154,155
2016,50,2,155,157
2016,51,0,156,157
2016,52,0,157,157
