Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,2,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,1,14,4
2014,15,1,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,1,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,0,21,6
2014,22,0,22,6
2014,23,0,23,6
2014,24,0,24,6
2014,25,1,25,7
2014,26,0,26,7
2014,27,0,27,7
2014,28,0,28,7
2014,29,0,29,7
2014,30,0,30,7
2014,31,0,31,7
2014,32,0,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,1,37,8
2014,38,0,38,8
2014,39,0,39,8
2014,40,0,40,8
2014,41,0,41,8
2014,42,1,42,9
2014,43,0,43,9
2014,44,0,44,9
2014,45,0,45,9
2014,46,0,46,9
2014,47,1,47,10
2014,48,0,48,10
2014,49,0,49,10
2014,50,0,50,10
2014,51,0,51,10
2014,52,0,52,10
2014,53,0,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,0,56,10
2015,4,1,57,11
2015,5,0,58,11
2015,6,1,59,12
2015,7,0,60,12
2015,8,0,61,12
2015,9,0,62,12
2015,10,0,63,12
2015,11,0,64,12
2015,12,0,65,12
2015,13,0,66,12
2015,14,1,67,13
2015,15,0,68,13
2015,16,0,69,13
2015,17,0,70,13
2015,18,0,71,13
2015,19,0,72,13
2015,20,0,73,13
2015,21,1,74,14
2015,22,0,75,14
2015,23,0,76,14
2015,24,0,77,14
2015,25,0,78,14
2015,26,0,79,14
2015,27,0,80,14
2015,28,0,81,14
2015,29,0,82,14
2015,30,0,83,14
2015,31,0,84,14
2015,32,0,85,14
2015,33,0,86,14
2015,34,0,87,14
2015,35,0,88,14
2015,36,0,89,14
2015,37,0,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,1,97,15
2015,45,0,98,15
2015,46,1,99,16
2015,47,1,100,17
2015,48,0,101,17
2015,49,0,102,17
2015,50,0,103,17
2015,51,1,104,18
2015,52,2,105,20
2016,1,0,106,20
2016,2,0,107,20
2016,3,0,108,20
2016,4,0,109,20
2016,5,0,110,20
2016,6,0,111,20
2016,7,0,112,20
2016,8,0,113,20
2016,9,1,114,21
2016,10,0,115,21
2016,11,0,116,21
2016,12,0,117,21
2016,13,0,118,21
2016,14,0,119,21
2016,15,0,120,21
2016,16,0,121,21
2016,17,0,122,21
2016,18,0,123,21
2016,19,0,124,21
2016,20,0,125,21
2016,21,0,126,21
2016,22,0,127,21
2016,23,0,128,21
2016,24,0,129,21
2016,25,0,130,21
2016,26,0,131,21
2016,27,0,132,21
2016,28,1,133,22
2016,29,0,134,22
2016,30,0,135,22
2016,31,0,136,22
2016,32,0,137,22
2016,33,0,138,22
2016,34,0,139,22
2016,35,0,140,22
2016,36,0,141,22
2016,37,0,142,22
2016,38,0,143,22
2016,39,0,144,22
2016,40,0,145,22
2016,41,0,146,22
2016,42,1,147,23
2016,43,0,148,23
2016,44,0,149,23
2016,45,0,150,23
2016,46,0,151,23
2016,47,0,152,23
2016,48,0,153,23
2016,49,1,154,24
2016,50,0,155,24
2016,51,1,156,25
2016,52,0,157,25
