Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,2,4,2
2014,5,1,5,3
2014,6,2,6,5
2014,7,2,7,7
2014,8,2,8,9
2014,9,0,9,9
2014,10,2,10,11
2014,11,8,11,19
2014,12,4,12,23
2014,13,3,13,26
2014,14,2,14,28
2014,15,0,15,28
2014,16,0,16,28
2014,17,2,17,30
2014,18,3,18,33
2014,19,2,19,35
2014,20,2,20,37
2014,21,1,21,38
2014,22,2,22,40
2014,23,2,23,42
2014,24,0,24,42
2014,25,2,25,44
2014,26,1,26,45
2014,27,1,27,46
2014,28,0,28,46
2014,29,0,29,46
2014,30,1,30,47
2014,31,1,31,48
2014,32,1,32,49
2014,33,0,33,49
2014,34,0,34,49
2014,35,2,35,51
2014,36,1,36,52
2014,37,1,37,53
2014,38,1,38,54
2014,39,0,39,54
2014,40,2,40,56
2014,41,0,41,56
2014,42,0,42,56
2014,43,1,43,57
2014,44,1,44,58
2014,45,2,45,60
2014,46,2,46,62
2014,47,1,47,63
2014,48,3,48,66
2014,49,4,49,70
2014,50,2,50,72
2014,51,1,51,73
2014,52,0,52,73
2014,53,2,53,75
2015,1,0,54,75
2015,2,2,55,77
2015,3,1,56,78
2015,4,4,57,82
2015,5,1,58,83
2015,6,3,59,86
2015,7,2,60,88
2015,8,2,61,90
2015,9,7,62,97
2015,10,1,63,98
2015,11,1,64,99
2015,12,2,65,101
2015,13,0,66,101
2015,14,2,67,103
2015,15,0,68,103
2015,16,0,69,103
2015,17,1,70,104
2015,18,3,71,107
2015,19,1,72,108
2015,20,5,73,113
2015,21,5,74,118
2015,22,2,75,120
2015,23,1,76,121
2015,24,0,77,121
2015,25,2,78,123
2015,26,2,79,125
2015,27,1,80,126
2015,28,1,81,127
2015,29,3,82,130
2015,30,2,83,132
2015,31,3,84,135
2015,32,0,85,135
2015,33,0,86,135
2015,34,1,87,136
2015,35,2,88,138
2015,36,2,89,140
2015,37,2,90,142
2015,38,2,91,144
2015,39,2,92,146
2015,40,1,93,147
2015,41,2,94,149
2015,42,0,95,149
2015,43,1,96,150
2015,44,4,97,154
2015,45,0,98,154
2015,46,4,99,158
2015,47,5,100,163
2015,48,5,101,168
2015,49,2,102,170
2015,50,2,103,172
2015,51,4,104,176
2015,52,0,105,176
2016,1,0,106,176
2016,2,0,107,176
2016,3,0,108,176
2016,4,0,109,176
2016,5,2,110,178
2016,6,3,111,181
2016,7,0,112,181
2016,8,5,113,186
2016,9,4,114,190
2016,10,3,115,193
2016,11,3,116,196
2016,12,4,117,200
2016,13,2,118,202
2016,14,4,119,206
2016,15,2,120,208
2016,16,1,121,209
2016,17,0,122,209
2016,18,1,123,210
2016,19,3,124,213
2016,20,1,125,214
2016,21,1,126,215
2016,22,4,127,219
2016,23,0,128,219
2016,24,1,129,220
2016,25,2,130,222
2016,26,3,131,225
2016,27,1,132,226
2016,28,3,133,229
2016,29,2,134,231
2016,30,1,135,232
2016,31,1,136,233
2016,32,0,137,233
2016,33,0,138,233
2016,34,0,139,233
2016,35,0,140,233
2016,36,0,141,233
2016,37,3,142,236
2016,38,1,143,237
2016,39,2,144,239
2016,40,0,145,239
2016,41,1,146,240
2016,42,2,147,242
2016,43,5,148,247
2016,44,1,149,248
2016,45,3,150,251
2016,46,2,151,253
2016,47,4,152,257
2016,48,3,153,260
2016,49,1,154,261
2016,50,1,155,262
2016,51,3,156,265
2016,52,1,157,266
