Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,1,9,1
2014,10,1,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,0,17,2
2014,18,0,18,2
2014,19,2,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,0,22,4
2014,23,1,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,1,27,6
2014,28,1,28,7
2014,29,1,29,8
2014,30,2,30,10
2014,31,0,31,10
2014,32,0,32,10
2014,33,0,33,10
2014,34,1,34,11
2014,35,0,35,11
2014,36,0,36,11
2014,37,0,37,11
2014,38,0,38,11
2014,39,1,39,12
2014,40,0,40,12
2014,41,0,41,12
2014,42,0,42,12
2014,43,0,43,12
2014,44,0,44,12
2014,45,0,45,12
2014,46,0,46,12
2014,47,0,47,12
2014,48,0,48,12
2014,49,0,49,12
2014,50,1,50,13
2014,51,0,51,13
2014,52,0,52,13
2014,53,0,53,13
2015,1,1,54,14
2015,2,0,55,14
2015,3,0,56,14
2015,4,0,57,14
2015,5,2,58,16
2015,6,0,59,16
2015,7,0,60,16
2015,8,0,61,16
2015,9,1,62,17
2015,10,0,63,17
2015,11,0,64,17
2015,12,0,65,17
2015,13,0,66,17
2015,14,0,67,17
2015,15,0,68,17
2015,16,0,69,17
2015,17,3,70,20
2015,18,4,71,24
2015,19,0,72,24
2015,20,0,73,24
2015,21,0,74,24
2015,22,0,75,24
2015,23,0,76,24
2015,24,0,77,24
2015,25,0,78,24
2015,26,0,79,24
2015,27,0,80,24
2015,28,0,81,24
2015,29,3,82,27
2015,30,0,83,27
2015,31,0,84,27
2015,32,1,85,28
2015,33,0,86,28
2015,34,1,87,29
2015,35,0,88,29
2015,36,0,89,29
2015,37,0,90,29
2015,38,1,91,30
2015,39,1,92,31
2015,40,0,93,31
2015,41,1,94,32
2015,42,0,95,32
2015,43,1,96,33
2015,44,0,97,33
2015,45,0,98,33
2015,46,0,99,33
2015,47,1,100,34
2015,48,0,101,34
2015,49,1,102,35
2015,50,1,103,36
2015,51,0,104,36
2015,52,0,105,36
2016,1,0,106,36
2016,2,0,107,36
2016,3,0,108,36
2016,4,0,109,36
2016,5,0,110,36
2016,6,1,111,37
2016,7,0,112,37
2016,8,2,113,39
2016,9,1,114,40
2016,10,1,115,41
2016,11,0,116,41
2016,12,2,117,43
2016,13,2,118,45
2016,14,0,119,45
2016,15,2,120,47
2016,16,0,121,47
2016,17,1,122,48
2016,18,2,123,50
2016,19,0,124,50
2016,20,0,125,50
2016,21,0,126,50
2016,22,1,127,51
2016,23,1,128,52
2016,24,0,129,52
2016,25,0,130,52
2016,26,0,131,52
2016,27,0,132,52
2016,28,0,133,52
2016,29,0,134,52
2016,30,0,135,52
2016,31,1,136,53
2016,32,1,137,54
2016,33,0,138,54
2016,34,0,139,54
2016,35,0,140,54
2016,36,0,141,54
2016,37,0,142,54
2016,38,1,143,55
2016,39,0,144,55
2016,40,0,145,55
2016,41,1,146,56
2016,42,0,147,56
2016,43,2,148,58
2016,44,1,149,59
2016,45,3,150,62
2016,46,2,151,64
2016,47,0,152,64
2016,48,2,153,66
2016,49,0,154,66
2016,50,1,155,67
2016,51,3,156,70
2016,52,1,157,71
2017,1,0,158,71
2017,2,2,159,73
2017,3,0,160,73
2017,4,1,161,74
2017,5,0,162,74
2017,6,1,163,75
2017,7,0,164,75
2017,8,0,165,75
2017,9,0,166,75
2017,10,0,167,75
2017,11,0,168,75
2017,12,0,169,75
2017,13,0,170,75
2017,14,0,171,75
2017,15,0,172,75
