Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,4,2,4
2014,3,3,3,7
2014,4,1,4,8
2014,5,3,5,11
2014,6,2,6,13
2014,7,2,7,15
2014,8,0,8,15
2014,9,2,9,17
2014,10,4,10,21
2014,11,5,11,26
2014,12,0,12,26
2014,13,1,13,27
2014,14,0,14,27
2014,15,0,15,27
2014,16,0,16,27
2014,17,0,17,27
2014,18,0,18,27
2014,19,0,19,27
2014,20,0,20,27
2014,21,0,21,27
2014,22,0,22,27
2014,23,1,23,28
2014,24,0,24,28
2014,25,1,25,29
2014,26,1,26,30
2014,27,1,27,31
2014,28,0,28,31
2014,29,1,29,32
2014,30,0,30,32
2014,31,0,31,32
2014,32,0,32,32
2014,33,0,33,32
2014,34,0,34,32
2014,35,0,35,32
2014,36,0,36,32
2014,37,0,37,32
2014,38,1,38,33
2014,39,1,39,34
2014,40,1,40,35
2014,41,0,41,35
2014,42,0,42,35
2014,43,0,43,35
2014,44,0,44,35
2014,45,1,45,36
2014,46,0,46,36
2014,47,0,47,36
2014,48,0,48,36
2014,49,1,49,37
2014,50,0,50,37
2014,51,0,51,37
2014,52,0,52,37
2014,53,0,53,37
2015,1,0,54,37
2015,2,0,55,37
2015,3,0,56,37
2015,4,0,57,37
2015,5,0,58,37
2015,6,0,59,37
2015,7,0,60,37
2015,8,0,61,37
2015,9,0,62,37
2015,10,0,63,37
2015,11,0,64,37
2015,12,0,65,37
2015,13,0,66,37
2015,14,0,67,37
2015,15,0,68,37
2015,16,0,69,37
2015,17,0,70,37
2015,18,0,71,37
2015,19,0,72,37
2015,20,0,73,37
2015,21,0,74,37
2015,22,0,75,37
2015,23,0,76,37
2015,24,0,77,37
2015,25,0,78,37
2015,26,0,79,37
2015,27,0,80,37
2015,28,0,81,37
2015,29,0,82,37
2015,30,0,83,37
2015,31,0,84,37
2015,32,0,85,37
2015,33,0,86,37
2015,34,0,87,37
2015,35,0,88,37
2015,36,0,89,37
2015,37,1,90,38
2015,38,0,91,38
2015,39,0,92,38
2015,40,0,93,38
2015,41,0,94,38
2015,42,0,95,38
2015,43,1,96,39
2015,44,0,97,39
2015,45,0,98,39
2015,46,0,99,39
2015,47,0,100,39
2015,48,0,101,39
2015,49,0,102,39
2015,50,0,103,39
2015,51,1,104,40
2015,52,0,105,40
2016,1,0,106,40
2016,2,0,107,40
2016,3,0,108,40
2016,4,0,109,40
2016,5,0,110,40
2016,6,1,111,41
2016,7,0,112,41
2016,8,0,113,41
2016,9,0,114,41
2016,10,1,115,42
2016,11,0,116,42
2016,12,0,117,42
2016,13,0,118,42
2016,14,1,119,43
2016,15,0,120,43
2016,16,0,121,43
2016,17,0,122,43
2016,18,0,123,43
2016,19,0,124,43
2016,20,0,125,43
2016,21,0,126,43
2016,22,0,127,43
2016,23,0,128,43
2016,24,0,129,43
2016,25,0,130,43
2016,26,0,131,43
2016,27,0,132,43
2016,28,0,133,43
2016,29,0,134,43
2016,30,0,135,43
2016,31,0,136,43
2016,32,1,137,44
2016,33,0,138,44
2016,34,0,139,44
2016,35,2,140,46
2016,36,0,141,46
2016,37,0,142,46
2016,38,1,143,47
2016,39,0,144,47
2016,40,0,145,47
2016,41,0,146,47
2016,42,0,147,47
2016,43,0,148,47
2016,44,0,149,47
2016,45,0,150,47
2016,46,0,151,47
2016,47,0,152,47
2016,48,0,153,47
2016,49,1,154,48
2016,50,0,155,48
2016,51,0,156,48
2016,52,0,157,48
2017,1,0,158,48
2017,2,0,159,48
2017,3,0,160,48
2017,4,0,161,48
2017,5,0,162,48
2017,6,1,163,49
2017,7,0,164,49
2017,8,0,165,49
2017,9,0,166,49
2017,10,0,167,49
2017,11,0,168,49
2017,12,1,169,50
2017,13,0,170,50
2017,14,0,171,50
2017,15,0,172,50
