Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,2,2,3
2014,3,11,3,14
2014,4,4,4,18
2014,5,6,5,24
2014,6,4,6,28
2014,7,3,7,31
2014,8,4,8,35
2014,9,1,9,36
2014,10,5,10,41
2014,11,4,11,45
2014,12,9,12,54
2014,13,7,13,61
2014,14,4,14,65
2014,15,0,15,65
2014,16,7,16,72
2014,17,6,17,78
2014,18,6,18,84
2014,19,5,19,89
2014,20,4,20,93
2014,21,3,21,96
2014,22,7,22,103
2014,23,4,23,107
2014,24,6,24,113
2014,25,5,25,118
2014,26,5,26,123
2014,27,6,27,129
2014,28,8,28,137
2014,29,7,29,144
2014,30,6,30,150
2014,31,5,31,155
2014,32,10,32,165
2014,33,11,33,176
2014,34,8,34,184
2014,35,6,35,190
2014,36,4,36,194
2014,37,6,37,200
2014,38,8,38,208
2014,39,9,39,217
2014,40,8,40,225
2014,41,7,41,232
2014,42,6,42,238
2014,43,9,43,247
2014,44,3,44,250
2014,45,7,45,257
2014,46,2,46,259
2014,47,5,47,264
2014,48,3,48,267
2014,49,6,49,273
2014,50,10,50,283
2014,51,5,51,288
2014,52,1,52,289
2014,53,5,53,294
2015,1,3,54,297
2015,2,6,55,303
2015,3,4,56,307
2015,4,5,57,312
2015,5,7,58,319
2015,6,7,59,326
2015,7,6,60,332
2015,8,9,61,341
2015,9,3,62,344
2015,10,6,63,350
2015,11,3,64,353
2015,12,7,65,360
2015,13,9,66,369
2015,14,7,67,376
2015,15,4,68,380
2015,16,4,69,384
2015,17,6,70,390
2015,18,6,71,396
2015,19,8,72,404
2015,20,4,73,408
2015,21,7,74,415
2015,22,5,75,420
2015,23,4,76,424
2015,24,4,77,428
2015,25,1,78,429
2015,26,2,79,431
2015,27,5,80,436
2015,28,7,81,443
2015,29,3,82,446
2015,30,5,83,451
2015,31,4,84,455
2015,32,13,85,468
2015,33,12,86,480
2015,34,8,87,488
2015,35,7,88,495
2015,36,6,89,501
2015,37,7,90,508
2015,38,4,91,512
2015,39,10,92,522
2015,40,9,93,531
2015,41,9,94,540
2015,42,9,95,549
2015,43,7,96,556
2015,44,6,97,562
2015,45,6,98,568
2015,46,3,99,571
2015,47,4,100,575
2015,48,4,101,579
2015,49,3,102,582
2015,50,8,103,590
2015,51,4,104,594
2015,52,8,105,602
2016,1,4,106,606
2016,2,9,107,615
2016,3,10,108,625
2016,4,1,109,626
2016,5,5,110,631
2016,6,1,111,632
2016,7,5,112,637
2016,8,4,113,641
2016,9,5,114,646
2016,10,3,115,649
2016,11,6,116,655
2016,12,9,117,664
2016,13,4,118,668
2016,14,4,119,672
2016,15,3,120,675
2016,16,4,121,679
2016,17,4,122,683
2016,18,4,123,687
2016,19,4,124,691
2016,20,2,125,693
2016,21,0,126,693
2016,22,2,127,695
2016,23,4,128,699
2016,24,8,129,707
2016,25,8,130,715
2016,26,6,131,721
2016,27,12,132,733
2016,28,3,133,736
2016,29,8,134,744
2016,30,4,135,748
2016,31,0,136,748
2016,32,5,137,753
2016,33,10,138,763
2016,34,5,139,768
2016,35,8,140,776
2016,36,8,141,784
2016,37,8,142,792
2016,38,14,143,806
2016,39,3,144,809
2016,40,5,145,814
2016,41,10,146,824
2016,42,13,147,837
2016,43,6,148,843
2016,44,12,149,855
2016,45,10,150,865
2016,46,0,151,865
2016,47,5,152,870
2016,48,14,153,884
2016,49,12,154,896
2016,50,13,155,909
2016,51,6,156,915
2016,52,6,157,921
2017,1,5,158,926
2017,2,7,159,933
2017,3,7,160,940
2017,4,6,161,946
2017,5,9,162,955
2017,6,5,163,960
2017,7,11,164,971
2017,8,4,165,975
2017,9,4,166,979
2017,10,5,167,984
2017,11,5,168,989
2017,12,2,169,991
2017,13,4,170,995
2017,14,6,171,1001
2017,15,0,172,1001
