Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,1,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,1,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,1,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,0,29,3
2014,30,0,30,3
2014,31,1,31,4
2014,32,0,32,4
2014,33,0,33,4
2014,34,1,34,5
2014,35,0,35,5
2014,36,1,36,6
2014,37,0,37,6
2014,38,0,38,6
2014,39,1,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,1,44,8
2014,45,0,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,2,49,10
2014,50,0,50,10
2014,51,0,51,10
2014,52,0,52,10
2014,53,0,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,0,56,10
2015,4,0,57,10
2015,5,0,58,10
2015,6,0,59,10
2015,7,0,60,10
2015,8,0,61,10
2015,9,0,62,10
2015,10,0,63,10
2015,11,0,64,10
2015,12,0,65,10
2015,13,0,66,10
2015,14,3,67,13
2015,15,0,68,13
2015,16,0,69,13
2015,17,1,70,14
2015,18,0,71,14
2015,19,1,72,15
2015,20,0,73,15
2015,21,0,74,15
2015,22,0,75,15
2015,23,1,76,16
2015,24,0,77,16
2015,25,0,78,16
2015,26,0,79,16
2015,27,0,80,16
2015,28,0,81,16
2015,29,1,82,17
2015,30,0,83,17
2015,31,2,84,19
2015,32,0,85,19
2015,33,0,86,19
2015,34,0,87,19
2015,35,1,88,20
2015,36,0,89,20
2015,37,0,90,20
2015,38,0,91,20
2015,39,0,92,20
2015,40,0,93,20
2015,41,0,94,20
2015,42,0,95,20
2015,43,0,96,20
2015,44,0,97,20
2015,45,0,98,20
2015,46,0,99,20
2015,47,0,100,20
2015,48,0,101,20
2015,49,0,102,20
2015,50,0,103,20
2015,51,0,104,20
2015,52,0,105,20
2016,1,0,106,20
2016,2,0,107,20
2016,3,0,108,20
2016,4,0,109,20
2016,5,0,110,20
2016,6,1,111,21
2016,7,0,112,21
2016,8,0,113,21
2016,9,0,114,21
2016,10,1,115,22
2016,11,1,116,23
2016,12,0,117,23
2016,13,1,118,24
2016,14,0,119,24
2016,15,0,120,24
2016,16,0,121,24
2016,17,0,122,24
2016,18,0,123,24
2016,19,0,124,24
2016,20,1,125,25
2016,21,0,126,25
2016,22,0,127,25
2016,23,0,128,25
2016,24,0,129,25
2016,25,0,130,25
2016,26,0,131,25
2016,27,0,132,25
2016,28,0,133,25
2016,29,1,134,26
2016,30,0,135,26
2016,31,1,136,27
2016,32,0,137,27
2016,33,1,138,28
2016,34,1,139,29
2016,35,1,140,30
2016,36,0,141,30
2016,37,2,142,32
2016,38,3,143,35
2016,39,0,144,35
2016,40,0,145,35
2016,41,0,146,35
2016,42,0,147,35
2016,43,0,148,35
2016,44,0,149,35
2016,45,1,150,36
2016,46,0,151,36
2016,47,0,152,36
2016,48,0,153,36
2016,49,2,154,38
2016,50,0,155,38
2016,51,1,156,39
2016,52,0,157,39
2017,1,0,158,39
2017,2,0,159,39
2017,3,0,160,39
2017,4,0,161,39
2017,5,0,162,39
2017,6,0,163,39
2017,7,1,164,40
2017,8,0,165,40
2017,9,0,166,40
2017,10,0,167,40
2017,11,0,168,40
2017,12,0,169,40
2017,13,0,170,40
2017,14,0,171,40
2017,15,0,172,40
