Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,1,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,2,37,3
2014,38,0,38,3
2014,39,0,39,3
2014,40,0,40,3
2014,41,0,41,3
2014,42,0,42,3
2014,43,0,43,3
2014,44,0,44,3
2014,45,0,45,3
2014,46,0,46,3
2014,47,0,47,3
2014,48,0,48,3
2014,49,0,49,3
2014,50,2,50,5
2014,51,0,51,5
2014,52,0,52,5
2014,53,0,53,5
2015,1,0,54,5
2015,2,0,55,5
2015,3,0,56,5
2015,4,0,57,5
2015,5,1,58,6
2015,6,0,59,6
2015,7,0,60,6
2015,8,1,61,7
2015,9,0,62,7
2015,10,0,63,7
2015,11,0,64,7
2015,12,0,65,7
2015,13,0,66,7
2015,14,0,67,7
2015,15,0,68,7
2015,16,1,69,8
2015,17,0,70,8
2015,18,0,71,8
2015,19,0,72,8
2015,20,0,73,8
2015,21,0,74,8
2015,22,1,75,9
2015,23,0,76,9
2015,24,0,77,9
2015,25,0,78,9
2015,26,0,79,9
2015,27,2,80,11
2015,28,0,81,11
2015,29,0,82,11
2015,30,0,83,11
2015,31,0,84,11
2015,32,0,85,11
2015,33,1,86,12
2015,34,0,87,12
2015,35,0,88,12
2015,36,0,89,12
2015,37,0,90,12
2015,38,0,91,12
2015,39,1,92,13
2015,40,0,93,13
2015,41,0,94,13
2015,42,0,95,13
2015,43,0,96,13
2015,44,0,97,13
2015,45,0,98,13
2015,46,0,99,13
2015,47,0,100,13
2015,48,0,101,13
2015,49,0,102,13
2015,50,1,103,14
2015,51,0,104,14
2015,52,0,105,14
2016,1,0,106,14
2016,2,0,107,14
2016,3,0,108,14
2016,4,1,109,15
2016,5,1,110,16
2016,6,0,111,16
2016,7,0,112,16
2016,8,1,113,17
2016,9,0,114,17
2016,10,0,115,17
2016,11,0,116,17
2016,12,0,117,17
2016,13,0,118,17
2016,14,0,119,17
2016,15,0,120,17
2016,16,0,121,17
2016,17,0,122,17
2016,18,0,123,17
2016,19,1,124,18
2016,20,0,125,18
2016,21,0,126,18
2016,22,0,127,18
2016,23,0,128,18
2016,24,0,129,18
2016,25,0,130,18
2016,26,0,131,18
2016,27,0,132,18
2016,28,0,133,18
2016,29,0,134,18
2016,30,0,135,18
2016,31,0,136,18
2016,32,0,137,18
2016,33,0,138,18
2016,34,0,139,18
2016,35,0,140,18
2016,36,0,141,18
2016,37,0,142,18
2016,38,0,143,18
2016,39,0,144,18
2016,40,0,145,18
2016,41,0,146,18
2016,42,0,147,18
2016,43,0,148,18
2016,44,0,149,18
2016,45,0,150,18
2016,46,0,151,18
2016,47,0,152,18
2016,48,0,153,18
2016,49,0,154,18
2016,50,0,155,18
2016,51,0,156,18
2016,52,0,157,18
2017,1,0,158,18
2017,2,0,159,18
2017,3,0,160,18
2017,4,0,161,18
2017,5,1,162,19
2017,6,0,163,19
2017,7,0,164,19
2017,8,0,165,19
2017,9,0,166,19
2017,10,0,167,19
2017,11,0,168,19
2017,12,0,169,19
2017,13,0,170,19
2017,14,0,171,19
2017,15,0,172,19
