Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,2,3,2
2014,4,2,4,4
2014,5,2,5,6
2014,6,1,6,7
2014,7,1,7,8
2014,8,2,8,10
2014,9,4,9,14
2014,10,6,10,20
2014,11,6,11,26
2014,12,5,12,31
2014,13,11,13,42
2014,14,5,14,47
2014,15,4,15,51
2014,16,3,16,54
2014,17,3,17,57
2014,18,4,18,61
2014,19,7,19,68
2014,20,5,20,73
2014,21,4,21,77
2014,22,4,22,81
2014,23,5,23,86
2014,24,7,24,93
2014,25,9,25,102
2014,26,16,26,118
2014,27,17,27,135
2014,28,4,28,139
2014,29,14,29,153
2014,30,12,30,165
2014,31,21,31,186
2014,32,11,32,197
2014,33,17,33,214
2014,34,24,34,238
2014,35,11,35,249
2014,36,11,36,260
2014,37,12,37,272
2014,38,11,38,283
2014,39,10,39,293
2014,40,10,40,303
2014,41,14,41,317
2014,42,8,42,325
2014,43,5,43,330
2014,44,7,44,337
2014,45,4,45,341
2014,46,4,46,345
2014,47,5,47,350
2014,48,6,48,356
2014,49,0,49,356
2014,50,8,50,364
2014,51,6,51,370
2014,52,5,52,375
2014,53,0,53,375
2015,1,1,54,376
2015,2,4,55,380
2015,3,6,56,386
2015,4,3,57,389
2015,5,6,58,395
2015,6,5,59,400
2015,7,7,60,407
2015,8,9,61,416
2015,9,2,62,418
2015,10,4,63,422
2015,11,7,64,429
2015,12,6,65,435
2015,13,6,66,441
2015,14,3,67,444
2015,15,8,68,452
2015,16,5,69,457
2015,17,11,70,468
2015,18,3,71,471
2015,19,5,72,476
2015,20,6,73,482
2015,21,1,74,483
2015,22,2,75,485
2015,23,5,76,490
2015,24,3,77,493
2015,25,14,78,507
2015,26,18,79,525
2015,27,10,80,535
2015,28,10,81,545
2015,29,18,82,563
2015,30,16,83,579
2015,31,17,84,596
2015,32,8,85,604
2015,33,10,86,614
2015,34,13,87,627
2015,35,2,88,629
2015,36,12,89,641
2015,37,5,90,646
2015,38,13,91,659
2015,39,11,92,670
2015,40,14,93,684
2015,41,9,94,693
2015,42,16,95,709
2015,43,11,96,720
2015,44,7,97,727
2015,45,8,98,735
2015,46,4,99,739
2015,47,3,100,742
2015,48,3,101,745
2015,49,3,102,748
2015,50,5,103,753
2015,51,2,104,755
2015,52,2,105,757
2016,1,7,106,764
2016,2,1,107,765
2016,3,2,108,767
2016,4,5,109,772
2016,5,5,110,777
2016,6,2,111,779
2016,7,3,112,782
2016,8,5,113,787
2016,9,2,114,789
2016,10,4,115,793
2016,11,9,116,802
2016,12,8,117,810
2016,13,6,118,816
2016,14,6,119,822
2016,15,5,120,827
2016,16,7,121,834
2016,17,4,122,838
2016,18,2,123,840
2016,19,2,124,842
2016,20,2,125,844
2016,21,0,126,844
2016,22,0,127,844
2016,23,7,128,851
2016,24,1,129,852
2016,25,4,130,856
2016,26,3,131,859
2016,27,0,132,859
2016,28,9,133,868
2016,29,5,134,873
2016,30,7,135,880
2016,31,9,136,889
2016,32,7,137,896
2016,33,14,138,910
2016,34,5,139,915
2016,35,0,140,915
2016,36,12,141,927
2016,37,13,142,940
2016,38,13,143,953
2016,39,9,144,962
2016,40,5,145,967
2016,41,12,146,979
2016,42,22,147,1001
2016,43,15,148,1016
2016,44,25,149,1041
2016,45,13,150,1054
2016,46,25,151,1079
2016,47,17,152,1096
2016,48,16,153,1112
2016,49,15,154,1127
2016,50,7,155,1134
2016,51,8,156,1142
2016,52,6,157,1148
2017,1,2,158,1150
2017,2,0,159,1150
2017,3,0,160,1150
2017,4,0,161,1150
2017,5,0,162,1150
2017,6,8,163,1158
2017,7,3,164,1161
2017,8,7,165,1168
2017,9,1,166,1169
2017,10,0,167,1169
2017,11,0,168,1169
2017,12,0,169,1169
2017,13,4,170,1173
2017,14,1,171,1174
2017,15,4,172,1178
