Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,2,18,2
2014,19,0,19,2
2014,20,0,20,2
2014,21,0,21,2
2014,22,0,22,2
2014,23,0,23,2
2014,24,0,24,2
2014,25,0,25,2
2014,26,0,26,2
2014,27,0,27,2
2014,28,0,28,2
2014,29,0,29,2
2014,30,0,30,2
2014,31,1,31,3
2014,32,0,32,3
2014,33,1,33,4
2014,34,1,34,5
2014,35,0,35,5
2014,36,0,36,5
2014,37,0,37,5
2014,38,0,38,5
2014,39,0,39,5
2014,40,0,40,5
2014,41,0,41,5
2014,42,0,42,5
2014,43,0,43,5
2014,44,0,44,5
2014,45,1,45,6
2014,46,1,46,7
2014,47,0,47,7
2014,48,0,48,7
2014,49,0,49,7
2014,50,0,50,7
2014,51,2,51,9
2014,52,0,52,9
2014,53,0,53,9
2015,1,0,54,9
2015,2,0,55,9
2015,3,0,56,9
2015,4,0,57,9
2015,5,1,58,10
2015,6,0,59,10
2015,7,0,60,10
2015,8,1,61,11
2015,9,0,62,11
2015,10,0,63,11
2015,11,0,64,11
2015,12,0,65,11
2015,13,0,66,11
2015,14,0,67,11
2015,15,0,68,11
2015,16,0,69,11
2015,17,1,70,12
2015,18,1,71,13
2015,19,0,72,13
2015,20,1,73,14
2015,21,0,74,14
2015,22,0,75,14
2015,23,1,76,15
2015,24,1,77,16
2015,25,1,78,17
2015,26,0,79,17
2015,27,0,80,17
2015,28,1,81,18
2015,29,0,82,18
2015,30,0,83,18
2015,31,1,84,19
2015,32,1,85,20
2015,33,2,86,22
2015,34,2,87,24
2015,35,0,88,24
2015,36,1,89,25
2015,37,1,90,26
2015,38,1,91,27
2015,39,1,92,28
2015,40,1,93,29
2015,41,0,94,29
2015,42,1,95,30
2015,43,0,96,30
2015,44,0,97,30
2015,45,1,98,31
2015,46,1,99,32
2015,47,1,100,33
2015,48,0,101,33
2015,49,1,102,34
2015,50,0,103,34
2015,51,0,104,34
2015,52,0,105,34
2016,1,0,106,34
2016,2,0,107,34
2016,3,0,108,34
2016,4,0,109,34
2016,5,0,110,34
2016,6,1,111,35
2016,7,0,112,35
2016,8,0,113,35
2016,9,0,114,35
2016,10,0,115,35
2016,11,0,116,35
2016,12,0,117,35
2016,13,0,118,35
2016,14,1,119,36
2016,15,0,120,36
2016,16,0,121,36
2016,17,0,122,36
2016,18,0,123,36
2016,19,0,124,36
2016,20,0,125,36
2016,21,0,126,36
2016,22,1,127,37
2016,23,0,128,37
2016,24,0,129,37
2016,25,0,130,37
2016,26,0,131,37
2016,27,0,132,37
2016,28,0,133,37
2016,29,0,134,37
2016,30,0,135,37
2016,31,1,136,38
2016,32,1,137,39
2016,33,0,138,39
2016,34,0,139,39
2016,35,0,140,39
2016,36,1,141,40
2016,37,0,142,40
2016,38,0,143,40
2016,39,0,144,40
2016,40,1,145,41
2016,41,1,146,42
2016,42,0,147,42
2016,43,0,148,42
2016,44,1,149,43
2016,45,0,150,43
2016,46,0,151,43
2016,47,0,152,43
2016,48,0,153,43
2016,49,0,154,43
2016,50,0,155,43
2016,51,0,156,43
2016,52,0,157,43
2017,1,0,158,43
2017,2,0,159,43
2017,3,1,160,44
2017,4,1,161,45
2017,5,0,162,45
2017,6,0,163,45
2017,7,0,164,45
2017,8,0,165,45
2017,9,0,166,45
2017,10,0,167,45
2017,11,0,168,45
2017,12,0,169,45
2017,13,1,170,46
2017,14,0,171,46
2017,15,1,172,47
