Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,1,13,2
2014,14,0,14,2
2014,15,0,15,2
2014,16,0,16,2
2014,17,1,17,3
2014,18,0,18,3
2014,19,1,19,4
2014,20,1,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,1,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,0,30,6
2014,31,1,31,7
2014,32,0,32,7
2014,33,0,33,7
2014,34,1,34,8
2014,35,0,35,8
2014,36,0,36,8
2014,37,0,37,8
2014,38,0,38,8
2014,39,0,39,8
2014,40,0,40,8
2014,41,0,41,8
2014,42,0,42,8
2014,43,1,43,9
2014,44,0,44,9
2014,45,0,45,9
2014,46,0,46,9
2014,47,0,47,9
2014,48,0,48,9
2014,49,0,49,9
2014,50,0,50,9
2014,51,0,51,9
2014,52,0,52,9
2014,53,1,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,0,56,10
2015,4,0,57,10
2015,5,0,58,10
2015,6,0,59,10
2015,7,0,60,10
2015,8,0,61,10
2015,9,0,62,10
2015,10,0,63,10
2015,11,0,64,10
2015,12,1,65,11
2015,13,0,66,11
2015,14,0,67,11
2015,15,0,68,11
2015,16,0,69,11
2015,17,0,70,11
2015,18,1,71,12
2015,19,1,72,13
2015,20,0,73,13
2015,21,3,74,16
2015,22,0,75,16
2015,23,0,76,16
2015,24,0,77,16
2015,25,0,78,16
2015,26,0,79,16
2015,27,1,80,17
2015,28,0,81,17
2015,29,0,82,17
2015,30,0,83,17
2015,31,0,84,17
2015,32,0,85,17
2015,33,0,86,17
2015,34,0,87,17
2015,35,0,88,17
2015,36,1,89,18
2015,37,0,90,18
2015,38,0,91,18
2015,39,0,92,18
2015,40,0,93,18
2015,41,0,94,18
2015,42,0,95,18
2015,43,0,96,18
2015,44,0,97,18
2015,45,0,98,18
2015,46,0,99,18
2015,47,0,100,18
2015,48,0,101,18
2015,49,0,102,18
2015,50,1,103,19
2015,51,1,104,20
2015,52,0,105,20
2016,1,0,106,20
2016,2,0,107,20
2016,3,0,108,20
2016,4,0,109,20
2016,5,1,110,21
2016,6,0,111,21
2016,7,0,112,21
2016,8,0,113,21
2016,9,0,114,21
2016,10,1,115,22
2016,11,0,116,22
2016,12,1,117,23
2016,13,0,118,23
2016,14,0,119,23
2016,15,1,120,24
2016,16,0,121,24
2016,17,0,122,24
2016,18,0,123,24
2016,19,0,124,24
2016,20,0,125,24
2016,21,0,126,24
2016,22,0,127,24
2016,23,1,128,25
2016,24,0,129,25
2016,25,0,130,25
2016,26,0,131,25
2016,27,0,132,25
2016,28,0,133,25
2016,29,1,134,26
2016,30,2,135,28
2016,31,1,136,29
2016,32,0,137,29
2016,33,0,138,29
2016,34,0,139,29
2016,35,1,140,30
2016,36,1,141,31
2016,37,1,142,32
2016,38,0,143,32
2016,39,0,144,32
2016,40,0,145,32
2016,41,0,146,32
2016,42,0,147,32
2016,43,0,148,32
2016,44,0,149,32
2016,45,0,150,32
2016,46,0,151,32
2016,47,0,152,32
2016,48,0,153,32
2016,49,0,154,32
2016,50,0,155,32
2016,51,0,156,32
2016,52,0,157,32
