Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,0,23,0
2014,24,5,24,5
2014,25,0,25,5
2014,26,2,26,7
2014,27,1,27,8
2014,28,0,28,8
2014,29,0,29,8
2014,30,1,30,9
2014,31,2,31,11
2014,32,0,32,11
2014,33,1,33,12
2014,34,4,34,16
2014,35,1,35,17
2014,36,0,36,17
2014,37,0,37,17
2014,38,0,38,17
2014,39,0,39,17
2014,40,0,40,17
2014,41,0,41,17
2014,42,0,42,17
2014,43,1,43,18
2014,44,0,44,18
2014,45,0,45,18
2014,46,0,46,18
2014,47,0,47,18
2014,48,0,48,18
2014,49,0,49,18
2014,50,0,50,18
2014,51,0,51,18
2014,52,0,52,18
2014,53,0,53,18
2015,1,0,54,18
2015,2,0,55,18
2015,3,0,56,18
2015,4,0,57,18
2015,5,0,58,18
2015,6,0,59,18
2015,7,0,60,18
2015,8,0,61,18
2015,9,1,62,19
2015,10,0,63,19
2015,11,0,64,19
2015,12,0,65,19
2015,13,0,66,19
2015,14,1,67,20
2015,15,0,68,20
2015,16,0,69,20
2015,17,0,70,20
2015,18,0,71,20
2015,19,1,72,21
2015,20,1,73,22
2015,21,0,74,22
2015,22,2,75,24
2015,23,0,76,24
2015,24,0,77,24
2015,25,1,78,25
2015,26,0,79,25
2015,27,0,80,25
2015,28,4,81,29
2015,29,3,82,32
2015,30,0,83,32
2015,31,2,84,34
2015,32,0,85,34
2015,33,0,86,34
2015,34,0,87,34
2015,35,2,88,36
2015,36,0,89,36
2015,37,0,90,36
2015,38,0,91,36
2015,39,0,92,36
2015,40,0,93,36
2015,41,0,94,36
2015,42,1,95,37
2015,43,2,96,39
2015,44,0,97,39
2015,45,1,98,40
2015,46,0,99,40
2015,47,0,100,40
2015,48,0,101,40
2015,49,0,102,40
2015,50,0,103,40
2015,51,0,104,40
2015,52,0,105,40
2016,1,0,106,40
2016,2,0,107,40
2016,3,0,108,40
2016,4,0,109,40
2016,5,1,110,41
2016,6,0,111,41
2016,7,0,112,41
2016,8,0,113,41
2016,9,0,114,41
2016,10,0,115,41
2016,11,0,116,41
2016,12,0,117,41
2016,13,0,118,41
2016,14,0,119,41
2016,15,0,120,41
2016,16,0,121,41
2016,17,0,122,41
2016,18,1,123,42
2016,19,0,124,42
2016,20,0,125,42
2016,21,0,126,42
2016,22,1,127,43
2016,23,0,128,43
2016,24,2,129,45
2016,25,0,130,45
2016,26,0,131,45
2016,27,0,132,45
2016,28,0,133,45
2016,29,0,134,45
2016,30,0,135,45
2016,31,0,136,45
2016,32,0,137,45
2016,33,0,138,45
2016,34,0,139,45
2016,35,0,140,45
2016,36,0,141,45
2016,37,0,142,45
2016,38,0,143,45
2016,39,0,144,45
2016,40,0,145,45
2016,41,0,146,45
2016,42,0,147,45
2016,43,0,148,45
2016,44,0,149,45
2016,45,0,150,45
2016,46,0,151,45
2016,47,0,152,45
2016,48,0,153,45
2016,49,0,154,45
2016,50,0,155,45
2016,51,0,156,45
2016,52,0,157,45
