Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,1,4,2
2014,5,0,5,2
2014,6,2,6,4
2014,7,4,7,8
2014,8,0,8,8
2014,9,4,9,12
2014,10,1,10,13
2014,11,1,11,14
2014,12,2,12,16
2014,13,2,13,18
2014,14,0,14,18
2014,15,1,15,19
2014,16,2,16,21
2014,17,4,17,25
2014,18,2,18,27
2014,19,3,19,30
2014,20,3,20,33
2014,21,2,21,35
2014,22,1,22,36
2014,23,5,23,41
2014,24,13,24,54
2014,25,10,25,64
2014,26,24,26,88
2014,27,8,27,96
2014,28,21,28,117
2014,29,21,29,138
2014,30,25,30,163
2014,31,12,31,175
2014,32,19,32,194
2014,33,16,33,210
2014,34,13,34,223
2014,35,11,35,234
2014,36,17,36,251
2014,37,17,37,268
2014,38,21,38,289
2014,39,20,39,309
2014,40,17,40,326
2014,41,12,41,338
2014,42,1,42,339
2014,43,10,43,349
2014,44,12,44,361
2014,45,5,45,366
2014,46,3,46,369
2014,47,3,47,372
2014,48,2,48,374
2014,49,0,49,374
2014,50,50,50,424
2014,51,10,51,434
2014,52,1,52,435
2014,53,1,53,436
2015,1,0,54,436
2015,2,3,55,439
2015,3,0,56,439
2015,4,0,57,439
2015,5,45,58,484
2015,6,1,59,485
2015,7,4,60,489
2015,8,1,61,490
2015,9,0,62,490
2015,10,2,63,492
2015,11,1,64,493
2015,12,5,65,498
2015,13,0,66,498
2015,14,1,67,499
2015,15,4,68,503
2015,16,8,69,511
2015,17,11,70,522
2015,18,7,71,529
2015,19,12,72,541
2015,20,5,73,546
2015,21,15,74,561
2015,22,18,75,579
2015,23,16,76,595
2015,24,24,77,619
2015,25,35,78,654
2015,26,23,79,677
2015,27,37,80,714
2015,28,35,81,749
2015,29,50,82,799
2015,30,47,83,846
2015,31,20,84,866
2015,32,25,85,891
2015,33,28,86,919
2015,34,25,87,944
2015,35,24,88,968
2015,36,20,89,988
2015,37,18,90,1006
2015,38,12,91,1018
2015,39,10,92,1028
2015,40,8,93,1036
2015,41,19,94,1055
2015,42,11,95,1066
2015,43,9,96,1075
2015,44,8,97,1083
2015,45,11,98,1094
2015,46,6,99,1100
2015,47,3,100,1103
2015,48,7,101,1110
2015,49,5,102,1115
2015,50,11,103,1126
2015,51,11,104,1137
2015,52,16,105,1153
2016,1,1,106,1154
2016,2,1,107,1155
2016,3,2,108,1157
2016,4,2,109,1159
2016,5,5,110,1164
2016,6,4,111,1168
2016,7,2,112,1170
2016,8,5,113,1175
2016,9,8,114,1183
2016,10,6,115,1189
2016,11,7,116,1196
2016,12,4,117,1200
2016,13,9,118,1209
2016,14,2,119,1211
2016,15,3,120,1214
2016,16,6,121,1220
2016,17,5,122,1225
2016,18,6,123,1231
2016,19,13,124,1244
2016,20,9,125,1253
2016,21,3,126,1256
2016,22,0,127,1256
2016,23,0,128,1256
2016,24,12,129,1268
2016,25,13,130,1281
2016,26,15,131,1296
2016,27,29,132,1325
2016,28,38,133,1363
2016,29,25,134,1388
2016,30,41,135,1429
2016,31,16,136,1445
2016,32,37,137,1482
2016,33,19,138,1501
2016,34,12,139,1513
2016,35,2,140,1515
2016,36,9,141,1524
2016,37,10,142,1534
2016,38,15,143,1549
2016,39,11,144,1560
2016,40,2,145,1562
2016,41,4,146,1566
2016,42,15,147,1581
2016,43,10,148,1591
2016,44,14,149,1605
2016,45,6,150,1611
2016,46,12,151,1623
2016,47,1,152,1624
2016,48,13,153,1637
2016,49,6,154,1643
2016,50,3,155,1646
2016,51,6,156,1652
2016,52,1,157,1653
