Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,1,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,3,25,4
2014,26,2,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,0,30,6
2014,31,0,31,6
2014,32,1,32,7
2014,33,0,33,7
2014,34,0,34,7
2014,35,0,35,7
2014,36,0,36,7
2014,37,0,37,7
2014,38,0,38,7
2014,39,0,39,7
2014,40,0,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,2,46,9
2014,47,1,47,10
2014,48,0,48,10
2014,49,0,49,10
2014,50,0,50,10
2014,51,0,51,10
2014,52,0,52,10
2014,53,0,53,10
2015,1,0,54,10
2015,2,0,55,10
2015,3,1,56,11
2015,4,0,57,11
2015,5,0,58,11
2015,6,0,59,11
2015,7,0,60,11
2015,8,0,61,11
2015,9,0,62,11
2015,10,1,63,12
2015,11,0,64,12
2015,12,0,65,12
2015,13,0,66,12
2015,14,0,67,12
2015,15,0,68,12
2015,16,1,69,13
2015,17,1,70,14
2015,18,0,71,14
2015,19,1,72,15
2015,20,1,73,16
2015,21,0,74,16
2015,22,2,75,18
2015,23,1,76,19
2015,24,1,77,20
2015,25,0,78,20
2015,26,2,79,22
2015,27,3,80,25
2015,28,0,81,25
2015,29,0,82,25
2015,30,0,83,25
2015,31,1,84,26
2015,32,0,85,26
2015,33,0,86,26
2015,34,0,87,26
2015,35,2,88,28
2015,36,0,89,28
2015,37,0,90,28
2015,38,0,91,28
2015,39,0,92,28
2015,40,0,93,28
2015,41,1,94,29
2015,42,0,95,29
2015,43,0,96,29
2015,44,0,97,29
2015,45,0,98,29
2015,46,0,99,29
2015,47,0,100,29
2015,48,1,101,30
2015,49,0,102,30
2015,50,0,103,30
2015,51,0,104,30
2015,52,0,105,30
2016,1,0,106,30
2016,2,0,107,30
2016,3,0,108,30
2016,4,0,109,30
2016,5,0,110,30
2016,6,0,111,30
2016,7,0,112,30
2016,8,0,113,30
2016,9,0,114,30
2016,10,0,115,30
2016,11,0,116,30
2016,12,0,117,30
2016,13,0,118,30
2016,14,0,119,30
2016,15,0,120,30
2016,16,0,121,30
2016,17,0,122,30
2016,18,0,123,30
2016,19,1,124,31
2016,20,0,125,31
2016,21,0,126,31
2016,22,0,127,31
2016,23,0,128,31
2016,24,4,129,35
2016,25,4,130,39
2016,26,6,131,45
2016,27,0,132,45
2016,28,2,133,47
2016,29,0,134,47
2016,30,1,135,48
2016,31,0,136,48
2016,32,0,137,48
2016,33,0,138,48
2016,34,0,139,48
2016,35,0,140,48
2016,36,0,141,48
2016,37,1,142,49
2016,38,5,143,54
2016,39,1,144,55
2016,40,2,145,57
2016,41,0,146,57
2016,42,1,147,58
2016,43,1,148,59
2016,44,0,149,59
2016,45,0,150,59
2016,46,0,151,59
2016,47,0,152,59
2016,48,0,153,59
2016,49,0,154,59
2016,50,0,155,59
2016,51,0,156,59
2016,52,1,157,60
