Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,2,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,0,13,2
2014,14,1,14,3
2014,15,1,15,4
2014,16,0,16,4
2014,17,1,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,1,23,6
2014,24,0,24,6
2014,25,0,25,6
2014,26,6,26,12
2014,27,1,27,13
2014,28,3,28,16
2014,29,0,29,16
2014,30,5,30,21
2014,31,1,31,22
2014,32,4,32,26
2014,33,2,33,28
2014,34,3,34,31
2014,35,3,35,34
2014,36,0,36,34
2014,37,2,37,36
2014,38,4,38,40
2014,39,1,39,41
2014,40,2,40,43
2014,41,1,41,44
2014,42,1,42,45
2014,43,0,43,45
2014,44,1,44,46
2014,45,1,45,47
2014,46,0,46,47
2014,47,2,47,49
2014,48,0,48,49
2014,49,1,49,50
2014,50,0,50,50
2014,51,1,51,51
2014,52,0,52,51
2014,53,0,53,51
2015,1,0,54,51
2015,2,1,55,52
2015,3,0,56,52
2015,4,0,57,52
2015,5,0,58,52
2015,6,1,59,53
2015,7,0,60,53
2015,8,0,61,53
2015,9,0,62,53
2015,10,0,63,53
2015,11,0,64,53
2015,12,1,65,54
2015,13,0,66,54
2015,14,0,67,54
2015,15,0,68,54
2015,16,0,69,54
2015,17,0,70,54
2015,18,0,71,54
2015,19,0,72,54
2015,20,0,73,54
2015,21,2,74,56
2015,22,1,75,57
2015,23,3,76,60
2015,24,4,77,64
2015,25,3,78,67
2015,26,8,79,75
2015,27,6,80,81
2015,28,8,81,89
2015,29,5,82,94
2015,30,3,83,97
2015,31,4,84,101
2015,32,1,85,102
2015,33,0,86,102
2015,34,4,87,106
2015,35,4,88,110
2015,36,1,89,111
2015,37,2,90,113
2015,38,3,91,116
2015,39,4,92,120
2015,40,0,93,120
2015,41,0,94,120
2015,42,0,95,120
2015,43,1,96,121
2015,44,1,97,122
2015,45,0,98,122
2015,46,0,99,122
2015,47,0,100,122
2015,48,0,101,122
2015,49,1,102,123
2015,50,1,103,124
2015,51,0,104,124
2015,52,0,105,124
2016,1,0,106,124
2016,2,0,107,124
2016,3,1,108,125
2016,4,1,109,126
2016,5,0,110,126
2016,6,0,111,126
2016,7,0,112,126
2016,8,1,113,127
2016,9,0,114,127
2016,10,1,115,128
2016,11,1,116,129
2016,12,0,117,129
2016,13,0,118,129
2016,14,1,119,130
2016,15,0,120,130
2016,16,1,121,131
2016,17,1,122,132
2016,18,1,123,133
2016,19,1,124,134
2016,20,2,125,136
2016,21,0,126,136
2016,22,1,127,137
2016,23,4,128,141
2016,24,2,129,143
2016,25,5,130,148
2016,26,5,131,153
2016,27,9,132,162
2016,28,7,133,169
2016,29,1,134,170
2016,30,11,135,181
2016,31,9,136,190
2016,32,1,137,191
2016,33,4,138,195
2016,34,0,139,195
2016,35,6,140,201
2016,36,0,141,201
2016,37,3,142,204
2016,38,4,143,208
2016,39,2,144,210
2016,40,1,145,211
2016,41,1,146,212
2016,42,1,147,213
2016,43,2,148,215
2016,44,3,149,218
2016,45,0,150,218
2016,46,1,151,219
2016,47,0,152,219
2016,48,1,153,220
2016,49,0,154,220
2016,50,0,155,220
2016,51,0,156,220
2016,52,0,157,220
