Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,1,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,1,19,2
2014,20,1,20,3
2014,21,0,21,3
2014,22,1,22,4
2014,23,0,23,4
2014,24,0,24,4
2014,25,1,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,1,28,6
2014,29,0,29,6
2014,30,1,30,7
2014,31,0,31,7
2014,32,1,32,8
2014,33,2,33,10
2014,34,0,34,10
2014,35,1,35,11
2014,36,0,36,11
2014,37,1,37,12
2014,38,0,38,12
2014,39,1,39,13
2014,40,0,40,13
2014,41,1,41,14
2014,42,0,42,14
2014,43,0,43,14
2014,44,0,44,14
2014,45,1,45,15
2014,46,0,46,15
2014,47,0,47,15
2014,48,0,48,15
2014,49,0,49,15
2014,50,0,50,15
2014,51,0,51,15
2014,52,0,52,15
2014,53,0,53,15
2015,1,0,54,15
2015,2,0,55,15
2015,3,1,56,16
2015,4,0,57,16
2015,5,2,58,18
2015,6,0,59,18
2015,7,0,60,18
2015,8,0,61,18
2015,9,0,62,18
2015,10,1,63,19
2015,11,0,64,19
2015,12,0,65,19
2015,13,0,66,19
2015,14,1,67,20
2015,15,0,68,20
2015,16,0,69,20
2015,17,0,70,20
2015,18,0,71,20
2015,19,0,72,20
2015,20,0,73,20
2015,21,0,74,20
2015,22,1,75,21
2015,23,0,76,21
2015,24,1,77,22
2015,25,0,78,22
2015,26,2,79,24
2015,27,0,80,24
2015,28,0,81,24
2015,29,0,82,24
2015,30,0,83,24
2015,31,0,84,24
2015,32,1,85,25
2015,33,0,86,25
2015,34,0,87,25
2015,35,0,88,25
2015,36,0,89,25
2015,37,0,90,25
2015,38,0,91,25
2015,39,0,92,25
2015,40,1,93,26
2015,41,0,94,26
2015,42,0,95,26
2015,43,0,96,26
2015,44,0,97,26
2015,45,0,98,26
2015,46,0,99,26
2015,47,1,100,27
2015,48,1,101,28
2015,49,0,102,28
2015,50,1,103,29
2015,51,0,104,29
2015,52,0,105,29
2016,1,0,106,29
2016,2,0,107,29
2016,3,0,108,29
2016,4,0,109,29
2016,5,1,110,30
2016,6,0,111,30
2016,7,0,112,30
2016,8,0,113,30
2016,9,0,114,30
2016,10,0,115,30
2016,11,0,116,30
2016,12,1,117,31
2016,13,2,118,33
2016,14,0,119,33
2016,15,0,120,33
2016,16,1,121,34
2016,17,0,122,34
2016,18,0,123,34
2016,19,0,124,34
2016,20,1,125,35
2016,21,0,126,35
2016,22,0,127,35
2016,23,2,128,37
2016,24,1,129,38
2016,25,1,130,39
2016,26,0,131,39
2016,27,0,132,39
2016,28,1,133,40
2016,29,1,134,41
2016,30,0,135,41
2016,31,0,136,41
2016,32,0,137,41
2016,33,0,138,41
2016,34,1,139,42
2016,35,1,140,43
2016,36,1,141,44
2016,37,0,142,44
2016,38,0,143,44
2016,39,0,144,44
2016,40,1,145,45
2016,41,1,146,46
2016,42,0,147,46
2016,43,0,148,46
2016,44,0,149,46
2016,45,0,150,46
2016,46,0,151,46
2016,47,0,152,46
2016,48,0,153,46
2016,49,1,154,47
2016,50,0,155,47
2016,51,0,156,47
2016,52,0,157,47
