Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,7,1,7
2014,2,10,2,17
2014,3,7,3,24
2014,4,5,4,29
2014,5,12,5,41
2014,6,8,6,49
2014,7,10,7,59
2014,8,7,8,66
2014,9,8,9,74
2014,10,20,10,94
2014,11,9,11,103
2014,12,11,12,114
2014,13,13,13,127
2014,14,32,14,159
2014,15,0,15,159
2014,16,32,16,191
2014,17,0,17,191
2014,18,46,18,237
2014,19,107,19,344
2014,20,125,20,469
2014,21,121,21,590
2014,22,120,22,710
2014,23,128,23,838
2014,24,158,24,996
2014,25,180,25,1176
2014,26,238,26,1414
2014,27,185,27,1599
2014,28,251,28,1850
2014,29,190,29,2040
2014,30,175,30,2215
2014,31,201,31,2416
2014,32,146,32,2562
2014,33,116,33,2678
2014,34,123,34,2801
2014,35,108,35,2909
2014,36,66,36,2975
2014,37,74,37,3049
2014,38,76,38,3125
2014,39,56,39,3181
2014,40,58,40,3239
2014,41,55,41,3294
2014,42,44,42,3338
2014,43,55,43,3393
2014,44,52,44,3445
2014,45,43,45,3488
2014,46,37,46,3525
2014,47,42,47,3567
2014,48,33,48,3600
2014,49,40,49,3640
2014,50,46,50,3686
2014,51,34,51,3720
2014,52,27,52,3747
2014,53,3,53,3750
2015,1,10,54,3760
2015,2,10,55,3770
2015,3,12,56,3782
2015,4,11,57,3793
2015,5,17,58,3810
2015,6,18,59,3828
2015,7,12,60,3840
2015,8,14,61,3854
2015,9,9,62,3863
2015,10,12,63,3875
2015,11,10,64,3885
2015,12,5,65,3890
2015,13,12,66,3902
2015,14,20,67,3922
2015,15,25,68,3947
2015,16,20,69,3967
2015,17,739,70,4706
2015,18,736,71,5442
2015,19,731,72,6173
2015,20,17,73,6190
2015,21,18,74,6208
2015,22,37,75,6245
2015,23,68,76,6313
2015,24,121,77,6434
2015,25,143,78,6577
2015,26,115,79,6692
2015,27,179,80,6871
2015,28,186,81,7057
2015,29,201,82,7258
2015,30,154,83,7412
2015,31,130,84,7542
2015,32,153,85,7695
2015,33,83,86,7778
2015,34,70,87,7848
2015,35,69,88,7917
2015,36,48,89,7965
2015,37,56,90,8021
2015,38,46,91,8067
2015,39,47,92,8114
2015,40,50,93,8164
2015,41,42,94,8206
2015,42,68,95,8274
2015,43,30,96,8304
2015,44,65,97,8369
2015,45,41,98,8410
2015,46,50,99,8460
2015,47,16,100,8476
2015,48,43,101,8519
2015,49,45,102,8564
2015,50,42,103,8606
2015,51,23,104,8629
2015,52,11,105,8640
2016,1,34,106,8674
2016,2,31,107,8705
2016,3,30,108,8735
2016,4,19,109,8754
2016,5,21,110,8775
2016,6,26,111,8801
2016,7,21,112,8822
2016,8,20,113,8842
2016,9,16,114,8858
2016,10,22,115,8880
2016,11,15,116,8895
2016,12,14,117,8909
2016,13,24,118,8933
2016,14,31,119,8964
2016,15,20,120,8984
2016,16,20,121,9004
2016,17,15,122,9019
2016,18,296,123,9315
2016,19,338,124,9653
2016,20,268,125,9921
2016,21,57,126,9978
2016,22,54,127,10032
2016,23,95,128,10127
2016,24,132,129,10259
2016,25,150,130,10409
2016,26,202,131,10611
2016,27,126,132,10737
2016,28,188,133,10925
2016,29,201,134,11126
2016,30,191,135,11317
2016,31,112,136,11429
2016,32,109,137,11538
2016,33,90,138,11628
2016,34,90,139,11718
2016,35,68,140,11786
2016,36,45,141,11831
2016,37,51,142,11882
2016,38,59,143,11941
2016,39,53,144,11994
2016,40,39,145,12033
2016,41,25,146,12058
2016,42,39,147,12097
2016,43,51,148,12148
2016,44,52,149,12200
2016,45,40,150,12240
2016,46,39,151,12279
2016,47,30,152,12309
2016,48,57,153,12366
2016,49,32,154,12398
2016,50,35,155,12433
2016,51,30,156,12463
2016,52,21,157,12484
