Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,2,19,2
2014,20,1,20,3
2014,21,0,21,3
2014,22,1,22,4
2014,23,3,23,7
2014,24,0,24,7
2014,25,6,25,13
2014,26,13,26,26
2014,27,4,27,30
2014,28,11,28,41
2014,29,4,29,45
2014,30,13,30,58
2014,31,5,31,63
2014,32,3,32,66
2014,33,10,33,76
2014,34,4,34,80
2014,35,5,35,85
2014,36,1,36,86
2014,37,4,37,90
2014,38,2,38,92
2014,39,0,39,92
2014,40,0,40,92
2014,41,0,41,92
2014,42,0,42,92
2014,43,0,43,92
2014,44,6,44,98
2014,45,0,45,98
2014,46,3,46,101
2014,47,0,47,101
2014,48,1,48,102
2014,49,3,49,105
2014,50,2,50,107
2014,51,1,51,108
2014,52,0,52,108
2014,53,1,53,109
2015,1,0,54,109
2015,2,1,55,110
2015,3,0,56,110
2015,4,0,57,110
2015,5,0,58,110
2015,6,0,59,110
2015,7,0,60,110
2015,8,0,61,110
2015,9,0,62,110
2015,10,0,63,110
2015,11,0,64,110
2015,12,0,65,110
2015,13,0,66,110
2015,14,1,67,111
2015,15,0,68,111
2015,16,0,69,111
2015,17,3,70,114
2015,18,2,71,116
2015,19,4,72,120
2015,20,0,73,120
2015,21,0,74,120
2015,22,2,75,122
2015,23,9,76,131
2015,24,7,77,138
2015,25,4,78,142
2015,26,9,79,151
2015,27,2,80,153
2015,28,3,81,156
2015,29,1,82,157
2015,30,4,83,161
2015,31,1,84,162
2015,32,22,85,184
2015,33,2,86,186
2015,34,1,87,187
2015,35,1,88,188
2015,36,0,89,188
2015,37,2,90,190
2015,38,0,91,190
2015,39,1,92,191
2015,40,27,93,218
2015,41,4,94,222
2015,42,1,95,223
2015,43,3,96,226
2015,44,1,97,227
2015,45,1,98,228
2015,46,1,99,229
2015,47,0,100,229
2015,48,4,101,233
2015,49,1,102,234
2015,50,0,103,234
2015,51,2,104,236
2015,52,1,105,237
2016,1,0,106,237
2016,2,1,107,238
2016,3,1,108,239
2016,4,1,109,240
2016,5,0,110,240
2016,6,1,111,241
2016,7,1,112,242
2016,8,0,113,242
2016,9,0,114,242
2016,10,0,115,242
2016,11,0,116,242
2016,12,0,117,242
2016,13,0,118,242
2016,14,0,119,242
2016,15,0,120,242
2016,16,1,121,243
2016,17,0,122,243
2016,18,0,123,243
2016,19,0,124,243
2016,20,1,125,244
2016,21,0,126,244
2016,22,0,127,244
2016,23,0,128,244
2016,24,0,129,244
2016,25,0,130,244
2016,26,3,131,247
2016,27,0,132,247
2016,28,27,133,274
2016,29,1,134,275
2016,30,0,135,275
2016,31,0,136,275
2016,32,1,137,276
2016,33,0,138,276
2016,34,0,139,276
2016,35,0,140,276
2016,36,0,141,276
2016,37,0,142,276
2016,38,0,143,276
2016,39,0,144,276
2016,40,0,145,276
2016,41,0,146,276
2016,42,0,147,276
2016,43,0,148,276
2016,44,0,149,276
2016,45,0,150,276
2016,46,0,151,276
2016,47,0,152,276
2016,48,0,153,276
2016,49,1,154,277
2016,50,0,155,277
2016,51,0,156,277
2016,52,0,157,277
