Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,5,2,5
2014,3,0,3,5
2014,4,1,4,6
2014,5,3,5,9
2014,6,0,6,9
2014,7,1,7,10
2014,8,0,8,10
2014,9,0,9,10
2014,10,0,10,10
2014,11,3,11,13
2014,12,0,12,13
2014,13,0,13,13
2014,14,0,14,13
2014,15,0,15,13
2014,16,0,16,13
2014,17,0,17,13
2014,18,0,18,13
2014,19,0,19,13
2014,20,0,20,13
2014,21,0,21,13
2014,22,0,22,13
2014,23,0,23,13
2014,24,0,24,13
2014,25,0,25,13
2014,26,0,26,13
2014,27,0,27,13
2014,28,0,28,13
2014,29,3,29,16
2014,30,0,30,16
2014,31,0,31,16
2014,32,0,32,16
2014,33,2,33,18
2014,34,0,34,18
2014,35,0,35,18
2014,36,0,36,18
2014,37,1,37,19
2014,38,0,38,19
2014,39,0,39,19
2014,40,0,40,19
2014,41,0,41,19
2014,42,0,42,19
2014,43,0,43,19
2014,44,0,44,19
2014,45,0,45,19
2014,46,0,46,19
2014,47,0,47,19
2014,48,0,48,19
2014,49,0,49,19
2014,50,0,50,19
2014,51,0,51,19
2014,52,0,52,19
2014,53,0,53,19
2015,1,0,54,19
2015,2,0,55,19
2015,3,0,56,19
2015,4,0,57,19
2015,5,0,58,19
2015,6,0,59,19
2015,7,0,60,19
2015,8,0,61,19
2015,9,0,62,19
2015,10,0,63,19
2015,11,0,64,19
2015,12,0,65,19
2015,13,0,66,19
2015,14,0,67,19
2015,15,0,68,19
2015,16,0,69,19
2015,17,0,70,19
2015,18,0,71,19
2015,19,0,72,19
2015,20,0,73,19
2015,21,0,74,19
2015,22,0,75,19
2015,23,0,76,19
2015,24,0,77,19
2015,25,0,78,19
2015,26,0,79,19
2015,27,0,80,19
2015,28,0,81,19
2015,29,0,82,19
2015,30,0,83,19
2015,31,0,84,19
2015,32,0,85,19
2015,33,0,86,19
2015,34,0,87,19
2015,35,0,88,19
2015,36,0,89,19
2015,37,0,90,19
2015,38,0,91,19
2015,39,0,92,19
2015,40,0,93,19
2015,41,1,94,20
2015,42,0,95,20
2015,43,0,96,20
2015,44,0,97,20
2015,45,0,98,20
2015,46,0,99,20
2015,47,0,100,20
2015,48,0,101,20
2015,49,0,102,20
2015,50,0,103,20
2015,51,0,104,20
2015,52,0,105,20
2016,1,0,106,20
2016,2,0,107,20
2016,3,0,108,20
2016,4,0,109,20
2016,5,0,110,20
2016,6,0,111,20
2016,7,0,112,20
2016,8,0,113,20
2016,9,0,114,20
2016,10,0,115,20
2016,11,0,116,20
2016,12,1,117,21
2016,13,0,118,21
2016,14,0,119,21
2016,15,0,120,21
2016,16,0,121,21
2016,17,0,122,21
2016,18,0,123,21
2016,19,0,124,21
2016,20,0,125,21
2016,21,0,126,21
2016,22,0,127,21
2016,23,0,128,21
2016,24,1,129,22
2016,25,0,130,22
2016,26,0,131,22
2016,27,0,132,22
2016,28,0,133,22
2016,29,0,134,22
2016,30,0,135,22
2016,31,0,136,22
2016,32,0,137,22
2016,33,0,138,22
2016,34,0,139,22
2016,35,1,140,23
2016,36,0,141,23
2016,37,0,142,23
2016,38,0,143,23
2016,39,0,144,23
2016,40,0,145,23
2016,41,0,146,23
2016,42,0,147,23
2016,43,0,148,23
2016,44,0,149,23
2016,45,0,150,23
2016,46,0,151,23
2016,47,0,152,23
2016,48,0,153,23
2016,49,0,154,23
2016,50,1,155,24
2016,51,0,156,24
2016,52,0,157,24
2017,1,0,158,24
2017,2,0,159,24
2017,3,0,160,24
2017,4,0,161,24
2017,5,0,162,24
2017,6,0,163,24
2017,7,0,164,24
2017,8,0,165,24
2017,9,0,166,24
2017,10,0,167,24
2017,11,0,168,24
2017,12,0,169,24
2017,13,0,170,24
2017,14,0,171,24
2017,15,0,172,24
