Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,1,2,2
2014,3,1,3,3
2014,4,1,4,4
2014,5,0,5,4
2014,6,0,6,4
2014,7,2,7,6
2014,8,0,8,6
2014,9,0,9,6
2014,10,0,10,6
2014,11,1,11,7
2014,12,0,12,7
2014,13,0,13,7
2014,14,0,14,7
2014,15,1,15,8
2014,16,1,16,9
2014,17,0,17,9
2014,18,0,18,9
2014,19,0,19,9
2014,20,1,20,10
2014,21,3,21,13
2014,22,2,22,15
2014,23,0,23,15
2014,24,0,24,15
2014,25,2,25,17
2014,26,1,26,18
2014,27,0,27,18
2014,28,0,28,18
2014,29,3,29,21
2014,30,0,30,21
2014,31,0,31,21
2014,32,1,32,22
2014,33,1,33,23
2014,34,2,34,25
2014,35,0,35,25
2014,36,0,36,25
2014,37,2,37,27
2014,38,0,38,27
2014,39,0,39,27
2014,40,0,40,27
2014,41,1,41,28
2014,42,1,42,29
2014,43,1,43,30
2014,44,0,44,30
2014,45,1,45,31
2014,46,1,46,32
2014,47,1,47,33
2014,48,0,48,33
2014,49,0,49,33
2014,50,0,50,33
2014,51,1,51,34
2014,52,0,52,34
2014,53,1,53,35
2015,1,1,54,36
2015,2,0,55,36
2015,3,2,56,38
2015,4,0,57,38
2015,5,0,58,38
2015,6,0,59,38
2015,7,0,60,38
2015,8,0,61,38
2015,9,0,62,38
2015,10,1,63,39
2015,11,1,64,40
2015,12,0,65,40
2015,13,1,66,41
2015,14,0,67,41
2015,15,2,68,43
2015,16,0,69,43
2015,17,1,70,44
2015,18,0,71,44
2015,19,0,72,44
2015,20,0,73,44
2015,21,1,74,45
2015,22,1,75,46
2015,23,0,76,46
2015,24,0,77,46
2015,25,3,78,49
2015,26,2,79,51
2015,27,2,80,53
2015,28,2,81,55
2015,29,0,82,55
2015,30,1,83,56
2015,31,2,84,58
2015,32,0,85,58
2015,33,1,86,59
2015,34,2,87,61
2015,35,1,88,62
2015,36,1,89,63
2015,37,0,90,63
2015,38,0,91,63
2015,39,0,92,63
2015,40,2,93,65
2015,41,1,94,66
2015,42,0,95,66
2015,43,1,96,67
2015,44,0,97,67
2015,45,3,98,70
2015,46,0,99,70
2015,47,0,100,70
2015,48,0,101,70
2015,49,0,102,70
2015,50,0,103,70
2015,51,0,104,70
2015,52,1,105,71
2016,1,1,106,72
2016,2,0,107,72
2016,3,0,108,72
2016,4,0,109,72
2016,5,2,110,74
2016,6,1,111,75
2016,7,1,112,76
2016,8,1,113,77
2016,9,0,114,77
2016,10,0,115,77
2016,11,0,116,77
2016,12,0,117,77
2016,13,1,118,78
2016,14,0,119,78
2016,15,0,120,78
2016,16,1,121,79
2016,17,1,122,80
2016,18,1,123,81
2016,19,2,124,83
2016,20,0,125,83
2016,21,0,126,83
2016,22,1,127,84
2016,23,4,128,88
2016,24,0,129,88
2016,25,0,130,88
2016,26,0,131,88
2016,27,2,132,90
2016,28,1,133,91
2016,29,0,134,91
2016,30,2,135,93
2016,31,0,136,93
2016,32,0,137,93
2016,33,2,138,95
2016,34,3,139,98
2016,35,0,140,98
2016,36,0,141,98
2016,37,13,142,111
2016,38,0,143,111
2016,39,1,144,112
2016,40,0,145,112
2016,41,3,146,115
2016,42,1,147,116
2016,43,3,148,119
2016,44,1,149,120
2016,45,2,150,122
2016,46,0,151,122
2016,47,0,152,122
2016,48,3,153,125
2016,49,2,154,127
2016,50,1,155,128
2016,51,0,156,128
2016,52,0,157,128
2017,1,1,158,129
2017,2,1,159,130
2017,3,2,160,132
2017,4,0,161,132
2017,5,1,162,133
2017,6,0,163,133
2017,7,1,164,134
2017,8,0,165,134
2017,9,0,166,134
2017,10,1,167,135
2017,11,0,168,135
2017,12,2,169,137
2017,13,0,170,137
2017,14,2,171,139
2017,15,1,172,140
