Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,2,3,2
2014,4,1,4,3
2014,5,0,5,3
2014,6,0,6,3
2014,7,0,7,3
2014,8,0,8,3
2014,9,0,9,3
2014,10,0,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,1,13,4
2014,14,1,14,5
2014,15,0,15,5
2014,16,0,16,5
2014,17,0,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,0,23,5
2014,24,2,24,7
2014,25,0,25,7
2014,26,1,26,8
2014,27,2,27,10
2014,28,0,28,10
2014,29,1,29,11
2014,30,1,30,12
2014,31,0,31,12
2014,32,0,32,12
2014,33,0,33,12
2014,34,1,34,13
2014,35,2,35,15
2014,36,1,36,16
2014,37,1,37,17
2014,38,1,38,18
2014,39,0,39,18
2014,40,1,40,19
2014,41,0,41,19
2014,42,0,42,19
2014,43,1,43,20
2014,44,0,44,20
2014,45,0,45,20
2014,46,1,46,21
2014,47,0,47,21
2014,48,0,48,21
2014,49,1,49,22
2014,50,0,50,22
2014,51,0,51,22
2014,52,0,52,22
2014,53,0,53,22
2015,1,1,54,23
2015,2,0,55,23
2015,3,0,56,23
2015,4,0,57,23
2015,5,0,58,23
2015,6,0,59,23
2015,7,0,60,23
2015,8,1,61,24
2015,9,0,62,24
2015,10,0,63,24
2015,11,0,64,24
2015,12,0,65,24
2015,13,0,66,24
2015,14,0,67,24
2015,15,0,68,24
2015,16,1,69,25
2015,17,0,70,25
2015,18,0,71,25
2015,19,0,72,25
2015,20,0,73,25
2015,21,0,74,25
2015,22,0,75,25
2015,23,0,76,25
2015,24,0,77,25
2015,25,0,78,25
2015,26,0,79,25
2015,27,2,80,27
2015,28,0,81,27
2015,29,0,82,27
2015,30,0,83,27
2015,31,0,84,27
2015,32,1,85,28
2015,33,1,86,29
2015,34,0,87,29
2015,35,0,88,29
2015,36,0,89,29
2015,37,0,90,29
2015,38,0,91,29
2015,39,0,92,29
2015,40,0,93,29
2015,41,0,94,29
2015,42,0,95,29
2015,43,0,96,29
2015,44,0,97,29
2015,45,1,98,30
2015,46,0,99,30
2015,47,0,100,30
2015,48,0,101,30
2015,49,0,102,30
2015,50,0,103,30
2015,51,0,104,30
2015,52,0,105,30
2016,1,0,106,30
2016,2,0,107,30
2016,3,0,108,30
2016,4,0,109,30
2016,5,1,110,31
2016,6,0,111,31
2016,7,0,112,31
2016,8,0,113,31
2016,9,0,114,31
2016,10,0,115,31
2016,11,0,116,31
2016,12,0,117,31
2016,13,0,118,31
2016,14,0,119,31
2016,15,0,120,31
2016,16,0,121,31
2016,17,0,122,31
2016,18,0,123,31
2016,19,0,124,31
2016,20,2,125,33
2016,21,0,126,33
2016,22,1,127,34
2016,23,0,128,34
2016,24,0,129,34
2016,25,1,130,35
2016,26,0,131,35
2016,27,0,132,35
2016,28,1,133,36
2016,29,0,134,36
2016,30,0,135,36
2016,31,1,136,37
2016,32,0,137,37
2016,33,1,138,38
2016,34,0,139,38
2016,35,1,140,39
2016,36,0,141,39
2016,37,0,142,39
2016,38,1,143,40
2016,39,0,144,40
2016,40,0,145,40
2016,41,1,146,41
2016,42,1,147,42
2016,43,1,148,43
2016,44,1,149,44
2016,45,0,150,44
2016,46,1,151,45
2016,47,0,152,45
2016,48,0,153,45
2016,49,2,154,47
2016,50,1,155,48
2016,51,0,156,48
2016,52,0,157,48
2017,1,1,158,49
2017,2,0,159,49
2017,3,1,160,50
2017,4,0,161,50
2017,5,1,162,51
2017,6,0,163,51
2017,7,0,164,51
2017,8,0,165,51
2017,9,1,166,52
2017,10,0,167,52
2017,11,0,168,52
2017,12,0,169,52
2017,13,0,170,52
2017,14,0,171,52
2017,15,0,172,52
