Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,1,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,8,29,9
2014,30,1,30,10
2014,31,1,31,11
2014,32,0,32,11
2014,33,0,33,11
2014,34,0,34,11
2014,35,2,35,13
2014,36,4,36,17
2014,37,0,37,17
2014,38,0,38,17
2014,39,3,39,20
2014,40,5,40,25
2014,41,3,41,28
2014,42,2,42,30
2014,43,2,43,32
2014,44,2,44,34
2014,45,1,45,35
2014,46,0,46,35
2014,47,1,47,36
2014,48,0,48,36
2014,49,1,49,37
2014,50,0,50,37
2014,51,4,51,41
2014,52,0,52,41
2014,53,1,53,42
2015,1,0,54,42
2015,2,1,55,43
2015,3,0,56,43
2015,4,0,57,43
2015,5,0,58,43
2015,6,0,59,43
2015,7,0,60,43
2015,8,0,61,43
2015,9,1,62,44
2015,10,0,63,44
2015,11,0,64,44
2015,12,0,65,44
2015,13,0,66,44
2015,14,0,67,44
2015,15,0,68,44
2015,16,0,69,44
2015,17,2,70,46
2015,18,0,71,46
2015,19,1,72,47
2015,20,0,73,47
2015,21,2,74,49
2015,22,0,75,49
2015,23,0,76,49
2015,24,0,77,49
2015,25,0,78,49
2015,26,0,79,49
2015,27,5,80,54
2015,28,0,81,54
2015,29,1,82,55
2015,30,1,83,56
2015,31,3,84,59
2015,32,4,85,63
2015,33,1,86,64
2015,34,1,87,65
2015,35,4,88,69
2015,36,2,89,71
2015,37,1,90,72
2015,38,2,91,74
2015,39,1,92,75
2015,40,2,93,77
2015,41,1,94,78
2015,42,1,95,79
2015,43,1,96,80
2015,44,1,97,81
2015,45,0,98,81
2015,46,0,99,81
2015,47,1,100,82
2015,48,5,101,87
2015,49,0,102,87
2015,50,0,103,87
2015,51,0,104,87
2015,52,2,105,89
2016,1,1,106,90
2016,2,0,107,90
2016,3,0,108,90
2016,4,2,109,92
2016,5,1,110,93
2016,6,0,111,93
2016,7,0,112,93
2016,8,1,113,94
2016,9,0,114,94
2016,10,0,115,94
2016,11,0,116,94
2016,12,0,117,94
2016,13,0,118,94
2016,14,0,119,94
2016,15,0,120,94
2016,16,0,121,94
2016,17,0,122,94
2016,18,0,123,94
2016,19,0,124,94
2016,20,0,125,94
2016,21,0,126,94
2016,22,0,127,94
2016,23,3,128,97
2016,24,2,129,99
2016,25,1,130,100
2016,26,1,131,101
2016,27,0,132,101
2016,28,2,133,103
2016,29,2,134,105
2016,30,0,135,105
2016,31,0,136,105
2016,32,2,137,107
2016,33,0,138,107
2016,34,3,139,110
2016,35,1,140,111
2016,36,0,141,111
2016,37,1,142,112
2016,38,1,143,113
2016,39,4,144,117
2016,40,3,145,120
2016,41,0,146,120
2016,42,1,147,121
2016,43,2,148,123
2016,44,2,149,125
2016,45,1,150,126
2016,46,0,151,126
2016,47,0,152,126
2016,48,1,153,127
2016,49,3,154,130
2016,50,1,155,131
2016,51,0,156,131
2016,52,1,157,132
2017,1,0,158,132
2017,2,1,159,133
2017,3,0,160,133
2017,4,3,161,136
2017,5,0,162,136
2017,6,0,163,136
2017,7,0,164,136
2017,8,0,165,136
2017,9,0,166,136
2017,10,0,167,136
2017,11,1,168,137
2017,12,1,169,138
2017,13,0,170,138
2017,14,1,171,139
2017,15,0,172,139
