Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,3,8,3
2014,9,0,9,3
2014,10,0,10,3
2014,11,1,11,4
2014,12,2,12,6
2014,13,1,13,7
2014,14,1,14,8
2014,15,0,15,8
2014,16,0,16,8
2014,17,0,17,8
2014,18,1,18,9
2014,19,0,19,9
2014,20,1,20,10
2014,21,0,21,10
2014,22,2,22,12
2014,23,0,23,12
2014,24,0,24,12
2014,25,0,25,12
2014,26,1,26,13
2014,27,1,27,14
2014,28,1,28,15
2014,29,0,29,15
2014,30,0,30,15
2014,31,1,31,16
2014,32,0,32,16
2014,33,3,33,19
2014,34,0,34,19
2014,35,1,35,20
2014,36,2,36,22
2014,37,3,37,25
2014,38,2,38,27
2014,39,2,39,29
2014,40,2,40,31
2014,41,0,41,31
2014,42,1,42,32
2014,43,1,43,33
2014,44,0,44,33
2014,45,0,45,33
2014,46,0,46,33
2014,47,1,47,34
2014,48,2,48,36
2014,49,0,49,36
2014,50,0,50,36
2014,51,2,51,38
2014,52,0,52,38
2014,53,0,53,38
2015,1,0,54,38
2015,2,0,55,38
2015,3,0,56,38
2015,4,0,57,38
2015,5,0,58,38
2015,6,0,59,38
2015,7,0,60,38
2015,8,0,61,38
2015,9,0,62,38
2015,10,1,63,39
2015,11,0,64,39
2015,12,0,65,39
2015,13,0,66,39
2015,14,0,67,39
2015,15,0,68,39
2015,16,0,69,39
2015,17,0,70,39
2015,18,1,71,40
2015,19,0,72,40
2015,20,0,73,40
2015,21,1,74,41
2015,22,0,75,41
2015,23,0,76,41
2015,24,0,77,41
2015,25,0,78,41
2015,26,0,79,41
2015,27,1,80,42
2015,28,1,81,43
2015,29,0,82,43
2015,30,0,83,43
2015,31,3,84,46
2015,32,0,85,46
2015,33,2,86,48
2015,34,0,87,48
2015,35,1,88,49
2015,36,0,89,49
2015,37,0,90,49
2015,38,1,91,50
2015,39,1,92,51
2015,40,0,93,51
2015,41,0,94,51
2015,42,0,95,51
2015,43,2,96,53
2015,44,1,97,54
2015,45,1,98,55
2015,46,0,99,55
2015,47,0,100,55
2015,48,1,101,56
2015,49,1,102,57
2015,50,1,103,58
2015,51,1,104,59
2015,52,0,105,59
2016,1,0,106,59
2016,2,0,107,59
2016,3,0,108,59
2016,4,0,109,59
2016,5,0,110,59
2016,6,1,111,60
2016,7,0,112,60
2016,8,2,113,62
2016,9,0,114,62
2016,10,0,115,62
2016,11,1,116,63
2016,12,1,117,64
2016,13,1,118,65
2016,14,1,119,66
2016,15,2,120,68
2016,16,3,121,71
2016,17,3,122,74
2016,18,0,123,74
2016,19,0,124,74
2016,20,1,125,75
2016,21,0,126,75
2016,22,1,127,76
2016,23,0,128,76
2016,24,0,129,76
2016,25,0,130,76
2016,26,3,131,79
2016,27,0,132,79
2016,28,0,133,79
2016,29,1,134,80
2016,30,0,135,80
2016,31,3,136,83
2016,32,0,137,83
2016,33,4,138,87
2016,34,3,139,90
2016,35,0,140,90
2016,36,1,141,91
2016,37,1,142,92
2016,38,1,143,93
2016,39,1,144,94
2016,40,2,145,96
2016,41,0,146,96
2016,42,0,147,96
2016,43,1,148,97
2016,44,2,149,99
2016,45,1,150,100
2016,46,1,151,101
2016,47,0,152,101
2016,48,0,153,101
2016,49,1,154,102
2016,50,1,155,103
2016,51,0,156,103
2016,52,0,157,103
2017,1,0,158,103
2017,2,0,159,103
2017,3,0,160,103
2017,4,0,161,103
2017,5,0,162,103
2017,6,0,163,103
2017,7,0,164,103
2017,8,0,165,103
2017,9,0,166,103
2017,10,2,167,105
2017,11,0,168,105
2017,12,1,169,106
2017,13,1,170,107
2017,14,0,171,107
2017,15,0,172,107
