Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,0,2,2
2014,3,0,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,2,8,4
2014,9,2,9,6
2014,10,2,10,8
2014,11,0,11,8
2014,12,0,12,8
2014,13,0,13,8
2014,14,0,14,8
2014,15,1,15,9
2014,16,0,16,9
2014,17,0,17,9
2014,18,0,18,9
2014,19,0,19,9
2014,20,0,20,9
2014,21,0,21,9
2014,22,0,22,9
2014,23,0,23,9
2014,24,0,24,9
2014,25,0,25,9
2014,26,0,26,9
2014,27,0,27,9
2014,28,0,28,9
2014,29,0,29,9
2014,30,0,30,9
2014,31,0,31,9
2014,32,0,32,9
2014,33,0,33,9
2014,34,0,34,9
2014,35,0,35,9
2014,36,0,36,9
2014,37,0,37,9
2014,38,0,38,9
2014,39,0,39,9
2014,40,0,40,9
2014,41,0,41,9
2014,42,0,42,9
2014,43,0,43,9
2014,44,0,44,9
2014,45,0,45,9
2014,46,0,46,9
2014,47,0,47,9
2014,48,0,48,9
2014,49,0,49,9
2014,50,1,50,10
2014,51,1,51,11
2014,52,0,52,11
2014,53,0,53,11
2015,1,0,54,11
2015,2,0,55,11
2015,3,1,56,12
2015,4,0,57,12
2015,5,1,58,13
2015,6,0,59,13
2015,7,0,60,13
2015,8,0,61,13
2015,9,0,62,13
2015,10,0,63,13
2015,11,0,64,13
2015,12,0,65,13
2015,13,0,66,13
2015,14,0,67,13
2015,15,0,68,13
2015,16,0,69,13
2015,17,0,70,13
2015,18,1,71,14
2015,19,0,72,14
2015,20,0,73,14
2015,21,0,74,14
2015,22,0,75,14
2015,23,0,76,14
2015,24,0,77,14
2015,25,0,78,14
2015,26,0,79,14
2015,27,0,80,14
2015,28,0,81,14
2015,29,0,82,14
2015,30,0,83,14
2015,31,0,84,14
2015,32,0,85,14
2015,33,0,86,14
2015,34,0,87,14
2015,35,0,88,14
2015,36,0,89,14
2015,37,0,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,0,99,14
2015,47,0,100,14
2015,48,0,101,14
2015,49,0,102,14
2015,50,0,103,14
2015,51,0,104,14
2015,52,0,105,14
2016,1,0,106,14
2016,2,0,107,14
2016,3,0,108,14
2016,4,0,109,14
2016,5,0,110,14
2016,6,0,111,14
2016,7,0,112,14
2016,8,0,113,14
2016,9,0,114,14
2016,10,0,115,14
2016,11,0,116,14
2016,12,0,117,14
2016,13,0,118,14
2016,14,0,119,14
2016,15,0,120,14
2016,16,0,121,14
2016,17,0,122,14
2016,18,0,123,14
2016,19,0,124,14
2016,20,0,125,14
2016,21,0,126,14
2016,22,0,127,14
2016,23,0,128,14
2016,24,0,129,14
2016,25,0,130,14
2016,26,0,131,14
2016,27,0,132,14
2016,28,0,133,14
2016,29,0,134,14
2016,30,0,135,14
2016,31,0,136,14
2016,32,0,137,14
2016,33,0,138,14
2016,34,0,139,14
2016,35,0,140,14
2016,36,0,141,14
2016,37,0,142,14
2016,38,0,143,14
2016,39,0,144,14
2016,40,0,145,14
2016,41,0,146,14
2016,42,0,147,14
2016,43,0,148,14
2016,44,0,149,14
2016,45,0,150,14
2016,46,0,151,14
2016,47,0,152,14
2016,48,0,153,14
2016,49,0,154,14
2016,50,0,155,14
2016,51,0,156,14
2016,52,0,157,14
