Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,2,1,2
2014,2,3,2,5
2014,3,0,3,5
2014,4,0,4,5
2014,5,1,5,6
2014,6,1,6,7
2014,7,0,7,7
2014,8,0,8,7
2014,9,0,9,7
2014,10,1,10,8
2014,11,0,11,8
2014,12,0,12,8
2014,13,1,13,9
2014,14,0,14,9
2014,15,0,15,9
2014,16,0,16,9
2014,17,0,17,9
2014,18,0,18,9
2014,19,0,19,9
2014,20,0,20,9
2014,21,0,21,9
2014,22,1,22,10
2014,23,0,23,10
2014,24,0,24,10
2014,25,0,25,10
2014,26,0,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,0,29,10
2014,30,1,30,11
2014,31,2,31,13
2014,32,0,32,13
2014,33,0,33,13
2014,34,0,34,13
2014,35,0,35,13
2014,36,0,36,13
2014,37,0,37,13
2014,38,0,38,13
2014,39,1,39,14
2014,40,0,40,14
2014,41,0,41,14
2014,42,0,42,14
2014,43,0,43,14
2014,44,0,44,14
2014,45,0,45,14
2014,46,0,46,14
2014,47,0,47,14
2014,48,0,48,14
2014,49,0,49,14
2014,50,0,50,14
2014,51,1,51,15
2014,52,0,52,15
2014,53,0,53,15
2015,1,0,54,15
2015,2,1,55,16
2015,3,0,56,16
2015,4,1,57,17
2015,5,1,58,18
2015,6,0,59,18
2015,7,1,60,19
2015,8,0,61,19
2015,9,0,62,19
2015,10,2,63,21
2015,11,0,64,21
2015,12,1,65,22
2015,13,1,66,23
2015,14,0,67,23
2015,15,0,68,23
2015,16,0,69,23
2015,17,0,70,23
2015,18,0,71,23
2015,19,0,72,23
2015,20,0,73,23
2015,21,2,74,25
2015,22,0,75,25
2015,23,1,76,26
2015,24,0,77,26
2015,25,0,78,26
2015,26,0,79,26
2015,27,0,80,26
2015,28,0,81,26
2015,29,0,82,26
2015,30,0,83,26
2015,31,0,84,26
2015,32,0,85,26
2015,33,0,86,26
2015,34,0,87,26
2015,35,0,88,26
2015,36,0,89,26
2015,37,0,90,26
2015,38,0,91,26
2015,39,1,92,27
2015,40,0,93,27
2015,41,0,94,27
2015,42,1,95,28
2015,43,0,96,28
2015,44,0,97,28
2015,45,3,98,31
2015,46,1,99,32
2015,47,0,100,32
2015,48,0,101,32
2015,49,0,102,32
2015,50,1,103,33
2015,51,0,104,33
2015,52,0,105,33
2016,1,0,106,33
2016,2,3,107,36
2016,3,0,108,36
2016,4,0,109,36
2016,5,0,110,36
2016,6,0,111,36
2016,7,1,112,37
2016,8,0,113,37
2016,9,0,114,37
2016,10,0,115,37
2016,11,0,116,37
2016,12,1,117,38
2016,13,0,118,38
2016,14,0,119,38
2016,15,0,120,38
2016,16,0,121,38
2016,17,0,122,38
2016,18,0,123,38
2016,19,0,124,38
2016,20,0,125,38
2016,21,1,126,39
2016,22,0,127,39
2016,23,0,128,39
2016,24,0,129,39
2016,25,0,130,39
2016,26,0,131,39
2016,27,0,132,39
2016,28,0,133,39
2016,29,0,134,39
2016,30,0,135,39
2016,31,0,136,39
2016,32,1,137,40
2016,33,0,138,40
2016,34,0,139,40
2016,35,2,140,42
2016,36,0,141,42
2016,37,0,142,42
2016,38,0,143,42
2016,39,0,144,42
2016,40,0,145,42
2016,41,0,146,42
2016,42,1,147,43
2016,43,0,148,43
2016,44,0,149,43
2016,45,1,150,44
2016,46,0,151,44
2016,47,0,152,44
2016,48,0,153,44
2016,49,1,154,45
2016,50,0,155,45
2016,51,1,156,46
2016,52,0,157,46
