Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,0,18,0
2014,19,0,19,0
2014,20,0,20,0
2014,21,0,21,0
2014,22,0,22,0
2014,23,1,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,0,33,1
2014,34,0,34,1
2014,35,0,35,1
2014,36,0,36,1
2014,37,0,37,1
2014,38,0,38,1
2014,39,0,39,1
2014,40,0,40,1
2014,41,0,41,1
2014,42,0,42,1
2014,43,0,43,1
2014,44,0,44,1
2014,45,0,45,1
2014,46,0,46,1
2014,47,0,47,1
2014,48,0,48,1
2014,49,0,49,1
2014,50,0,50,1
2014,51,0,51,1
2014,52,0,52,1
2014,53,0,53,1
2015,1,0,54,1
2015,2,0,55,1
2015,3,0,56,1
2015,4,0,57,1
2015,5,0,58,1
2015,6,0,59,1
2015,7,0,60,1
2015,8,0,61,1
2015,9,0,62,1
2015,10,0,63,1
2015,11,0,64,1
2015,12,0,65,1
2015,13,0,66,1
2015,14,0,67,1
2015,15,0,68,1
2015,16,0,69,1
2015,17,4,70,5
2015,18,0,71,5
2015,19,0,72,5
2015,20,1,73,6
2015,21,0,74,6
2015,22,2,75,8
2015,23,0,76,8
2015,24,0,77,8
2015,25,0,78,8
2015,26,0,79,8
2015,27,0,80,8
2015,28,0,81,8
2015,29,0,82,8
2015,30,0,83,8
2015,31,1,84,9
2015,32,0,85,9
2015,33,2,86,11
2015,34,0,87,11
2015,35,0,88,11
2015,36,2,89,13
2015,37,0,90,13
2015,38,5,91,18
2015,39,2,92,20
2015,40,1,93,21
2015,41,0,94,21
2015,42,0,95,21
2015,43,0,96,21
2015,44,3,97,24
2015,45,1,98,25
2015,46,1,99,26
2015,47,0,100,26
2015,48,0,101,26
2015,49,11,102,37
2015,50,0,103,37
2015,51,0,104,37
2015,52,0,105,37
2016,1,0,106,37
2016,2,0,107,37
2016,3,0,108,37
2016,4,0,109,37
2016,5,0,110,37
2016,6,1,111,38
2016,7,1,112,39
2016,8,2,113,41
2016,9,0,114,41
2016,10,1,115,42
2016,11,4,116,46
2016,12,0,117,46
2016,13,0,118,46
2016,14,0,119,46
2016,15,0,120,46
2016,16,1,121,47
2016,17,3,122,50
2016,18,1,123,51
2016,19,1,124,52
2016,20,0,125,52
2016,21,0,126,52
2016,22,0,127,52
2016,23,0,128,52
2016,24,0,129,52
2016,25,0,130,52
2016,26,0,131,52
2016,27,0,132,52
2016,28,0,133,52
2016,29,0,134,52
2016,30,0,135,52
2016,31,0,136,52
2016,32,0,137,52
2016,33,0,138,52
2016,34,0,139,52
2016,35,0,140,52
2016,36,0,141,52
2016,37,0,142,52
2016,38,0,143,52
2016,39,0,144,52
2016,40,0,145,52
2016,41,0,146,52
2016,42,0,147,52
2016,43,0,148,52
2016,44,0,149,52
2016,45,0,150,52
2016,46,0,151,52
2016,47,1,152,53
2016,48,0,153,53
2016,49,0,154,53
2016,50,0,155,53
2016,51,0,156,53
2016,52,0,157,53
2017,1,0,158,53
2017,2,0,159,53
2017,3,0,160,53
2017,4,0,161,53
2017,5,0,162,53
2017,6,0,163,53
2017,7,0,164,53
2017,8,0,165,53
2017,9,0,166,53
2017,10,0,167,53
2017,11,0,168,53
2017,12,0,169,53
2017,13,0,170,53
2017,14,2,171,55
2017,15,1,172,56
