Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,2,10,3
2014,11,0,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,2,16,5
2014,17,0,17,5
2014,18,0,18,5
2014,19,0,19,5
2014,20,0,20,5
2014,21,0,21,5
2014,22,0,22,5
2014,23,1,23,6
2014,24,0,24,6
2014,25,1,25,7
2014,26,1,26,8
2014,27,1,27,9
2014,28,0,28,9
2014,29,0,29,9
2014,30,1,30,10
2014,31,0,31,10
2014,32,1,32,11
2014,33,1,33,12
2014,34,0,34,12
2014,35,0,35,12
2014,36,0,36,12
2014,37,0,37,12
2014,38,0,38,12
2014,39,0,39,12
2014,40,0,40,12
2014,41,0,41,12
2014,42,0,42,12
2014,43,0,43,12
2014,44,1,44,13
2014,45,0,45,13
2014,46,0,46,13
2014,47,0,47,13
2014,48,0,48,13
2014,49,1,49,14
2014,50,0,50,14
2014,51,0,51,14
2014,52,1,52,15
2014,53,0,53,15
2015,1,0,54,15
2015,2,1,55,16
2015,3,0,56,16
2015,4,0,57,16
2015,5,0,58,16
2015,6,0,59,16
2015,7,0,60,16
2015,8,0,61,16
2015,9,1,62,17
2015,10,0,63,17
2015,11,3,64,20
2015,12,0,65,20
2015,13,0,66,20
2015,14,0,67,20
2015,15,0,68,20
2015,16,0,69,20
2015,17,1,70,21
2015,18,0,71,21
2015,19,0,72,21
2015,20,3,73,24
2015,21,3,74,27
2015,22,0,75,27
2015,23,0,76,27
2015,24,0,77,27
2015,25,0,78,27
2015,26,1,79,28
2015,27,0,80,28
2015,28,1,81,29
2015,29,0,82,29
2015,30,1,83,30
2015,31,0,84,30
2015,32,0,85,30
2015,33,0,86,30
2015,34,0,87,30
2015,35,1,88,31
2015,36,0,89,31
2015,37,0,90,31
2015,38,0,91,31
2015,39,1,92,32
2015,40,0,93,32
2015,41,0,94,32
2015,42,1,95,33
2015,43,0,96,33
2015,44,0,97,33
2015,45,3,98,36
2015,46,1,99,37
2015,47,0,100,37
2015,48,0,101,37
2015,49,0,102,37
2015,50,0,103,37
2015,51,0,104,37
2015,52,1,105,38
2016,1,0,106,38
2016,2,1,107,39
2016,3,0,108,39
2016,4,0,109,39
2016,5,0,110,39
2016,6,0,111,39
2016,7,0,112,39
2016,8,0,113,39
2016,9,0,114,39
2016,10,0,115,39
2016,11,4,116,43
2016,12,3,117,46
2016,13,0,118,46
2016,14,0,119,46
2016,15,3,120,49
2016,16,0,121,49
2016,17,0,122,49
2016,18,0,123,49
2016,19,0,124,49
2016,20,1,125,50
2016,21,0,126,50
2016,22,0,127,50
2016,23,0,128,50
2016,24,0,129,50
2016,25,1,130,51
2016,26,1,131,52
2016,27,1,132,53
2016,28,5,133,58
2016,29,2,134,60
2016,30,9,135,69
2016,31,9,136,78
2016,32,5,137,83
2016,33,5,138,88
2016,34,9,139,97
2016,35,6,140,103
2016,36,1,141,104
2016,37,2,142,106
2016,38,3,143,109
2016,39,0,144,109
2016,40,3,145,112
2016,41,1,146,113
2016,42,3,147,116
2016,43,5,148,121
2016,44,8,149,129
2016,45,6,150,135
2016,46,0,151,135
2016,47,12,152,147
2016,48,12,153,159
2016,49,18,154,177
2016,50,23,155,200
2016,51,15,156,215
2016,52,7,157,222
2017,1,4,158,226
2017,2,1,159,227
2017,3,2,160,229
2017,4,2,161,231
2017,5,4,162,235
2017,6,2,163,237
2017,7,7,164,244
2017,8,2,165,246
2017,9,2,166,248
2017,10,2,167,250
2017,11,0,168,250
2017,12,3,169,253
2017,13,1,170,254
2017,14,0,171,254
2017,15,0,172,254
