Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,1,4,2
2014,5,2,5,4
2014,6,2,6,6
2014,7,1,7,7
2014,8,0,8,7
2014,9,1,9,8
2014,10,0,10,8
2014,11,0,11,8
2014,12,1,12,9
2014,13,4,13,13
2014,14,3,14,16
2014,15,2,15,18
2014,16,0,16,18
2014,17,1,17,19
2014,18,1,18,20
2014,19,0,19,20
2014,20,1,20,21
2014,21,2,21,23
2014,22,0,22,23
2014,23,2,23,25
2014,24,1,24,26
2014,25,1,25,27
2014,26,0,26,27
2014,27,1,27,28
2014,28,3,28,31
2014,29,0,29,31
2014,30,3,30,34
2014,31,0,31,34
2014,32,1,32,35
2014,33,0,33,35
2014,34,2,34,37
2014,35,3,35,40
2014,36,1,36,41
2014,37,0,37,41
2014,38,0,38,41
2014,39,0,39,41
2014,40,0,40,41
2014,41,0,41,41
2014,42,0,42,41
2014,43,0,43,41
2014,44,0,44,41
2014,45,2,45,43
2014,46,2,46,45
2014,47,2,47,47
2014,48,2,48,49
2014,49,1,49,50
2014,50,1,50,51
2014,51,3,51,54
2014,52,0,52,54
2014,53,0,53,54
2015,1,0,54,54
2015,2,0,55,54
2015,3,0,56,54
2015,4,0,57,54
2015,5,0,58,54
2015,6,0,59,54
2015,7,0,60,54
2015,8,0,61,54
2015,9,0,62,54
2015,10,0,63,54
2015,11,0,64,54
2015,12,1,65,55
2015,13,0,66,55
2015,14,0,67,55
2015,15,0,68,55
2015,16,0,69,55
2015,17,0,70,55
2015,18,0,71,55
2015,19,0,72,55
2015,20,0,73,55
2015,21,0,74,55
2015,22,0,75,55
2015,23,0,76,55
2015,24,2,77,57
2015,25,0,78,57
2015,26,0,79,57
2015,27,0,80,57
2015,28,0,81,57
2015,29,0,82,57
2015,30,2,83,59
2015,31,1,84,60
2015,32,0,85,60
2015,33,2,86,62
2015,34,0,87,62
2015,35,0,88,62
2015,36,0,89,62
2015,37,0,90,62
2015,38,0,91,62
2015,39,0,92,62
2015,40,0,93,62
2015,41,1,94,63
2015,42,0,95,63
2015,43,1,96,64
2015,44,1,97,65
2015,45,1,98,66
2015,46,2,99,68
2015,47,0,100,68
2015,48,0,101,68
2015,49,0,102,68
2015,50,0,103,68
2015,51,0,104,68
2015,52,0,105,68
2016,1,0,106,68
2016,2,0,107,68
2016,3,0,108,68
2016,4,0,109,68
2016,5,1,110,69
2016,6,0,111,69
2016,7,0,112,69
2016,8,1,113,70
2016,9,1,114,71
2016,10,0,115,71
2016,11,0,116,71
2016,12,1,117,72
2016,13,0,118,72
2016,14,0,119,72
2016,15,1,120,73
2016,16,0,121,73
2016,17,0,122,73
2016,18,0,123,73
2016,19,0,124,73
2016,20,0,125,73
2016,21,0,126,73
2016,22,1,127,74
2016,23,0,128,74
2016,24,0,129,74
2016,25,0,130,74
2016,26,0,131,74
2016,27,0,132,74
2016,28,0,133,74
2016,29,0,134,74
2016,30,0,135,74
2016,31,0,136,74
2016,32,0,137,74
2016,33,0,138,74
2016,34,0,139,74
2016,35,0,140,74
2016,36,0,141,74
2016,37,1,142,75
2016,38,0,143,75
2016,39,0,144,75
2016,40,0,145,75
2016,41,0,146,75
2016,42,1,147,76
2016,43,0,148,76
2016,44,0,149,76
2016,45,0,150,76
2016,46,2,151,78
2016,47,1,152,79
2016,48,0,153,79
2016,49,0,154,79
2016,50,0,155,79
2016,51,0,156,79
2016,52,0,157,79
2017,1,0,158,79
2017,2,0,159,79
2017,3,0,160,79
2017,4,0,161,79
2017,5,1,162,80
2017,6,1,163,81
2017,7,0,164,81
2017,8,2,165,83
2017,9,0,166,83
2017,10,2,167,85
2017,11,1,168,86
2017,12,2,169,88
2017,13,0,170,88
2017,14,1,171,89
2017,15,0,172,89
