Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,2,3,2
2014,4,4,4,6
2014,5,0,5,6
2014,6,0,6,6
2014,7,0,7,6
2014,8,3,8,9
2014,9,0,9,9
2014,10,0,10,9
2014,11,0,11,9
2014,12,0,12,9
2014,13,1,13,10
2014,14,0,14,10
2014,15,0,15,10
2014,16,0,16,10
2014,17,0,17,10
2014,18,0,18,10
2014,19,0,19,10
2014,20,0,20,10
2014,21,0,21,10
2014,22,0,22,10
2014,23,0,23,10
2014,24,1,24,11
2014,25,0,25,11
2014,26,0,26,11
2014,27,0,27,11
2014,28,0,28,11
2014,29,0,29,11
2014,30,0,30,11
2014,31,4,31,15
2014,32,3,32,18
2014,33,0,33,18
2014,34,0,34,18
2014,35,2,35,20
2014,36,0,36,20
2014,37,0,37,20
2014,38,0,38,20
2014,39,0,39,20
2014,40,0,40,20
2014,41,0,41,20
2014,42,0,42,20
2014,43,3,43,23
2014,44,0,44,23
2014,45,4,45,27
2014,46,0,46,27
2014,47,0,47,27
2014,48,0,48,27
2014,49,0,49,27
2014,50,0,50,27
2014,51,0,51,27
2014,52,0,52,27
2014,53,0,53,27
2015,1,0,54,27
2015,2,0,55,27
2015,3,0,56,27
2015,4,0,57,27
2015,5,0,58,27
2015,6,0,59,27
2015,7,1,60,28
2015,8,1,61,29
2015,9,0,62,29
2015,10,0,63,29
2015,11,0,64,29
2015,12,0,65,29
2015,13,0,66,29
2015,14,0,67,29
2015,15,0,68,29
2015,16,0,69,29
2015,17,0,70,29
2015,18,0,71,29
2015,19,0,72,29
2015,20,0,73,29
2015,21,0,74,29
2015,22,0,75,29
2015,23,0,76,29
2015,24,0,77,29
2015,25,0,78,29
2015,26,0,79,29
2015,27,1,80,30
2015,28,0,81,30
2015,29,0,82,30
2015,30,0,83,30
2015,31,0,84,30
2015,32,1,85,31
2015,33,0,86,31
2015,34,0,87,31
2015,35,0,88,31
2015,36,0,89,31
2015,37,0,90,31
2015,38,0,91,31
2015,39,0,92,31
2015,40,0,93,31
2015,41,1,94,32
2015,42,0,95,32
2015,43,0,96,32
2015,44,0,97,32
2015,45,0,98,32
2015,46,0,99,32
2015,47,0,100,32
2015,48,0,101,32
2015,49,0,102,32
2015,50,0,103,32
2015,51,0,104,32
2015,52,0,105,32
2016,1,0,106,32
2016,2,0,107,32
2016,3,0,108,32
2016,4,0,109,32
2016,5,2,110,34
2016,6,0,111,34
2016,7,0,112,34
2016,8,0,113,34
2016,9,0,114,34
2016,10,0,115,34
2016,11,0,116,34
2016,12,0,117,34
2016,13,0,118,34
2016,14,0,119,34
2016,15,0,120,34
2016,16,0,121,34
2016,17,0,122,34
2016,18,0,123,34
2016,19,0,124,34
2016,20,1,125,35
2016,21,0,126,35
2016,22,0,127,35
2016,23,0,128,35
2016,24,0,129,35
2016,25,0,130,35
2016,26,0,131,35
2016,27,0,132,35
2016,28,0,133,35
2016,29,0,134,35
2016,30,0,135,35
2016,31,0,136,35
2016,32,0,137,35
2016,33,1,138,36
2016,34,0,139,36
2016,35,0,140,36
2016,36,0,141,36
2016,37,1,142,37
2016,38,0,143,37
2016,39,1,144,38
2016,40,2,145,40
2016,41,0,146,40
2016,42,0,147,40
2016,43,0,148,40
2016,44,0,149,40
2016,45,0,150,40
2016,46,0,151,40
2016,47,0,152,40
2016,48,0,153,40
2016,49,0,154,40
2016,50,0,155,40
2016,51,0,156,40
2016,52,0,157,40
2017,1,0,158,40
2017,2,0,159,40
2017,3,0,160,40
2017,4,0,161,40
2017,5,0,162,40
2017,6,0,163,40
2017,7,0,164,40
2017,8,0,165,40
2017,9,0,166,40
2017,10,0,167,40
2017,11,0,168,40
2017,12,0,169,40
2017,13,0,170,40
2017,14,0,171,40
2017,15,0,172,40
