Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,6,20,7
2014,21,32,21,39
2014,22,2,22,41
2014,23,0,23,41
2014,24,7,24,48
2014,25,3,25,51
2014,26,0,26,51
2014,27,13,27,64
2014,28,0,28,64
2014,29,3,29,67
2014,30,1,30,68
2014,31,0,31,68
2014,32,5,32,73
2014,33,1,33,74
2014,34,0,34,74
2014,35,2,35,76
2014,36,8,36,84
2014,37,0,37,84
2014,38,0,38,84
2014,39,0,39,84
2014,40,0,40,84
2014,41,3,41,87
2014,42,0,42,87
2014,43,17,43,104
2014,44,0,44,104
2014,45,0,45,104
2014,46,0,46,104
2014,47,8,47,112
2014,48,0,48,112
2014,49,0,49,112
2014,50,3,50,115
2014,51,6,51,121
2014,52,0,52,121
2014,53,0,53,121
2015,1,1,54,122
2015,2,0,55,122
2015,3,0,56,122
2015,4,0,57,122
2015,5,0,58,122
2015,6,0,59,122
2015,7,1,60,123
2015,8,0,61,123
2015,9,4,62,127
2015,10,1,63,128
2015,11,0,64,128
2015,12,0,65,128
2015,13,0,66,128
2015,14,6,67,134
2015,15,0,68,134
2015,16,0,69,134
2015,17,0,70,134
2015,18,0,71,134
2015,19,0,72,134
2015,20,0,73,134
2015,21,4,74,138
2015,22,0,75,138
2015,23,0,76,138
2015,24,0,77,138
2015,25,0,78,138
2015,26,0,79,138
2015,27,0,80,138
2015,28,0,81,138
2015,29,8,82,146
2015,30,0,83,146
2015,31,0,84,146
2015,32,3,85,149
2015,33,0,86,149
2015,34,0,87,149
2015,35,0,88,149
2015,36,0,89,149
2015,37,0,90,149
2015,38,0,91,149
2015,39,0,92,149
2015,40,0,93,149
2015,41,9,94,158
2015,42,0,95,158
2015,43,1,96,159
2015,44,0,97,159
2015,45,0,98,159
2015,46,5,99,164
2015,47,0,100,164
2015,48,0,101,164
2015,49,5,102,169
2015,50,0,103,169
2015,51,0,104,169
2015,52,0,105,169
2016,1,0,106,169
2016,2,0,107,169
2016,3,0,108,169
2016,4,0,109,169
2016,5,0,110,169
2016,6,0,111,169
2016,7,0,112,169
2016,8,0,113,169
2016,9,0,114,169
2016,10,0,115,169
2016,11,0,116,169
2016,12,0,117,169
2016,13,0,118,169
2016,14,0,119,169
2016,15,0,120,169
2016,16,0,121,169
2016,17,0,122,169
2016,18,0,123,169
2016,19,0,124,169
2016,20,0,125,169
2016,21,0,126,169
2016,22,2,127,171
2016,23,5,128,176
2016,24,0,129,176
2016,25,0,130,176
2016,26,6,131,182
2016,27,1,132,183
2016,28,54,133,237
2016,29,0,134,237
2016,30,0,135,237
2016,31,0,136,237
2016,32,0,137,237
2016,33,6,138,243
2016,34,1,139,244
2016,35,0,140,244
2016,36,0,141,244
2016,37,0,142,244
2016,38,0,143,244
2016,39,0,144,244
2016,40,0,145,244
2016,41,0,146,244
2016,42,0,147,244
2016,43,0,148,244
2016,44,11,149,255
2016,45,0,150,255
2016,46,0,151,255
2016,47,0,152,255
2016,48,0,153,255
2016,49,8,154,263
2016,50,1,155,264
2016,51,0,156,264
2016,52,0,157,264
2017,1,0,158,264
2017,2,0,159,264
2017,3,0,160,264
2017,4,0,161,264
2017,5,0,162,264
2017,6,0,163,264
2017,7,0,164,264
2017,8,0,165,264
2017,9,0,166,264
2017,10,0,167,264
2017,11,0,168,264
2017,12,0,169,264
2017,13,0,170,264
2017,14,7,171,271
2017,15,0,172,271
