Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,3,5,4
2014,6,0,6,4
2014,7,0,7,4
2014,8,1,8,5
2014,9,0,9,5
2014,10,3,10,8
2014,11,0,11,8
2014,12,0,12,8
2014,13,0,13,8
2014,14,2,14,10
2014,15,3,15,13
2014,16,0,16,13
2014,17,0,17,13
2014,18,0,18,13
2014,19,1,19,14
2014,20,4,20,18
2014,21,2,21,20
2014,22,1,22,21
2014,23,2,23,23
2014,24,3,24,26
2014,25,0,25,26
2014,26,1,26,27
2014,27,0,27,27
2014,28,0,28,27
2014,29,0,29,27
2014,30,1,30,28
2014,31,4,31,32
2014,32,1,32,33
2014,33,1,33,34
2014,34,1,34,35
2014,35,0,35,35
2014,36,0,36,35
2014,37,0,37,35
2014,38,0,38,35
2014,39,0,39,35
2014,40,0,40,35
2014,41,0,41,35
2014,42,1,42,36
2014,43,0,43,36
2014,44,0,44,36
2014,45,0,45,36
2014,46,0,46,36
2014,47,0,47,36
2014,48,3,48,39
2014,49,3,49,42
2014,50,2,50,44
2014,51,1,51,45
2014,52,4,52,49
2014,53,4,53,53
2015,1,2,54,55
2015,2,3,55,58
2015,3,0,56,58
2015,4,2,57,60
2015,5,2,58,62
2015,6,4,59,66
2015,7,1,60,67
2015,8,5,61,72
2015,9,2,62,74
2015,10,5,63,79
2015,11,4,64,83
2015,12,0,65,83
2015,13,3,66,86
2015,14,3,67,89
2015,15,0,68,89
2015,16,2,69,91
2015,17,3,70,94
2015,18,1,71,95
2015,19,1,72,96
2015,20,3,73,99
2015,21,2,74,101
2015,22,0,75,101
2015,23,0,76,101
2015,24,3,77,104
2015,25,5,78,109
2015,26,2,79,111
2015,27,3,80,114
2015,28,2,81,116
2015,29,1,82,117
2015,30,2,83,119
2015,31,0,84,119
2015,32,1,85,120
2015,33,2,86,122
2015,34,1,87,123
2015,35,0,88,123
2015,36,0,89,123
2015,37,1,90,124
2015,38,0,91,124
2015,39,3,92,127
2015,40,0,93,127
2015,41,1,94,128
2015,42,1,95,129
2015,43,0,96,129
2015,44,0,97,129
2015,45,0,98,129
2015,46,1,99,130
2015,47,0,100,130
2015,48,2,101,132
2015,49,0,102,132
2015,50,0,103,132
2015,51,0,104,132
2015,52,0,105,132
2016,1,0,106,132
2016,2,1,107,133
2016,3,0,108,133
2016,4,0,109,133
2016,5,0,110,133
2016,6,0,111,133
2016,7,1,112,134
2016,8,2,113,136
2016,9,0,114,136
2016,10,0,115,136
2016,11,0,116,136
2016,12,0,117,136
2016,13,0,118,136
2016,14,0,119,136
2016,15,0,120,136
2016,16,0,121,136
2016,17,0,122,136
2016,18,0,123,136
2016,19,0,124,136
2016,20,0,125,136
2016,21,0,126,136
2016,22,1,127,137
2016,23,0,128,137
2016,24,0,129,137
2016,25,0,130,137
2016,26,1,131,138
2016,27,0,132,138
2016,28,1,133,139
2016,29,0,134,139
2016,30,0,135,139
2016,31,0,136,139
2016,32,0,137,139
2016,33,0,138,139
2016,34,0,139,139
2016,35,0,140,139
2016,36,0,141,139
2016,37,0,142,139
2016,38,0,143,139
2016,39,0,144,139
2016,40,0,145,139
2016,41,0,146,139
2016,42,0,147,139
2016,43,0,148,139
2016,44,0,149,139
2016,45,1,150,140
2016,46,0,151,140
2016,47,0,152,140
2016,48,0,153,140
2016,49,1,154,141
2016,50,0,155,141
2016,51,0,156,141
2016,52,0,157,141
2017,1,0,158,141
2017,2,0,159,141
2017,3,1,160,142
2017,4,1,161,143
2017,5,0,162,143
2017,6,0,163,143
2017,7,0,164,143
2017,8,1,165,144
2017,9,0,166,144
2017,10,0,167,144
2017,11,0,168,144
2017,12,0,169,144
2017,13,0,170,144
2017,14,0,171,144
2017,15,0,172,144
