Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,1,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,1,17,2
2014,18,1,18,3
2014,19,1,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,1,22,5
2014,23,0,23,5
2014,24,2,24,7
2014,25,0,25,7
2014,26,2,26,9
2014,27,2,27,11
2014,28,0,28,11
2014,29,1,29,12
2014,30,0,30,12
2014,31,3,31,15
2014,32,1,32,16
2014,33,4,33,20
2014,34,0,34,20
2014,35,0,35,20
2014,36,0,36,20
2014,37,2,37,22
2014,38,0,38,22
2014,39,2,39,24
2014,40,2,40,26
2014,41,0,41,26
2014,42,4,42,30
2014,43,1,43,31
2014,44,0,44,31
2014,45,0,45,31
2014,46,0,46,31
2014,47,1,47,32
2014,48,3,48,35
2014,49,0,49,35
2014,50,1,50,36
2014,51,2,51,38
2014,52,0,52,38
2014,53,0,53,38
2015,1,1,54,39
2015,2,0,55,39
2015,3,4,56,43
2015,4,0,57,43
2015,5,0,58,43
2015,6,3,59,46
2015,7,0,60,46
2015,8,3,61,49
2015,9,1,62,50
2015,10,0,63,50
2015,11,3,64,53
2015,12,0,65,53
2015,13,1,66,54
2015,14,1,67,55
2015,15,0,68,55
2015,16,0,69,55
2015,17,1,70,56
2015,18,0,71,56
2015,19,0,72,56
2015,20,0,73,56
2015,21,2,74,58
2015,22,4,75,62
2015,23,0,76,62
2015,24,0,77,62
2015,25,1,78,63
2015,26,1,79,64
2015,27,4,80,68
2015,28,1,81,69
2015,29,3,82,72
2015,30,3,83,75
2015,31,1,84,76
2015,32,0,85,76
2015,33,16,86,92
2015,34,2,87,94
2015,35,0,88,94
2015,36,2,89,96
2015,37,1,90,97
2015,38,1,91,98
2015,39,1,92,99
2015,40,1,93,100
2015,41,2,94,102
2015,42,2,95,104
2015,43,1,96,105
2015,44,0,97,105
2015,45,1,98,106
2015,46,1,99,107
2015,47,1,100,108
2015,48,2,101,110
2015,49,1,102,111
2015,50,1,103,112
2015,51,0,104,112
2015,52,1,105,113
2016,1,6,106,119
2016,2,2,107,121
2016,3,0,108,121
2016,4,0,109,121
2016,5,0,110,121
2016,6,0,111,121
2016,7,0,112,121
2016,8,0,113,121
2016,9,1,114,122
2016,10,0,115,122
2016,11,0,116,122
2016,12,0,117,122
2016,13,1,118,123
2016,14,1,119,124
2016,15,1,120,125
2016,16,0,121,125
2016,17,0,122,125
2016,18,0,123,125
2016,19,0,124,125
2016,20,0,125,125
2016,21,0,126,125
2016,22,2,127,127
2016,23,0,128,127
2016,24,0,129,127
2016,25,0,130,127
2016,26,0,131,127
2016,27,0,132,127
2016,28,1,133,128
2016,29,0,134,128
2016,30,0,135,128
2016,31,0,136,128
2016,32,0,137,128
2016,33,2,138,130
2016,34,2,139,132
2016,35,0,140,132
2016,36,3,141,135
2016,37,3,142,138
2016,38,0,143,138
2016,39,0,144,138
2016,40,0,145,138
2016,41,5,146,143
2016,42,0,147,143
2016,43,2,148,145
2016,44,4,149,149
2016,45,2,150,151
2016,46,0,151,151
2016,47,0,152,151
2016,48,1,153,152
2016,49,4,154,156
2016,50,1,155,157
2016,51,1,156,158
2016,52,0,157,158
2017,1,0,158,158
2017,2,0,159,158
2017,3,5,160,163
2017,4,3,161,166
2017,5,0,162,166
2017,6,2,163,168
2017,7,1,164,169
2017,8,4,165,173
2017,9,1,166,174
2017,10,0,167,174
2017,11,1,168,175
2017,12,0,169,175
2017,13,0,170,175
2017,14,1,171,176
2017,15,0,172,176
