Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,1,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,21,10,23
2014,11,0,11,23
2014,12,1,12,24
2014,13,0,13,24
2014,14,0,14,24
2014,15,0,15,24
2014,16,0,16,24
2014,17,0,17,24
2014,18,3,18,27
2014,19,0,19,27
2014,20,0,20,27
2014,21,0,21,27
2014,22,0,22,27
2014,23,0,23,27
2014,24,0,24,27
2014,25,0,25,27
2014,26,0,26,27
2014,27,0,27,27
2014,28,0,28,27
2014,29,0,29,27
2014,30,0,30,27
2014,31,0,31,27
2014,32,0,32,27
2014,33,0,33,27
2014,34,0,34,27
2014,35,0,35,27
2014,36,0,36,27
2014,37,0,37,27
2014,38,0,38,27
2014,39,0,39,27
2014,40,0,40,27
2014,41,0,41,27
2014,42,0,42,27
2014,43,0,43,27
2014,44,0,44,27
2014,45,0,45,27
2014,46,0,46,27
2014,47,0,47,27
2014,48,0,48,27
2014,49,0,49,27
2014,50,0,50,27
2014,51,0,51,27
2014,52,0,52,27
2014,53,0,53,27
2015,1,0,54,27
2015,2,0,55,27
2015,3,0,56,27
2015,4,0,57,27
2015,5,0,58,27
2015,6,0,59,27
2015,7,0,60,27
2015,8,0,61,27
2015,9,0,62,27
2015,10,0,63,27
2015,11,0,64,27
2015,12,0,65,27
2015,13,0,66,27
2015,14,0,67,27
2015,15,0,68,27
2015,16,2,69,29
2015,17,0,70,29
2015,18,0,71,29
2015,19,0,72,29
2015,20,0,73,29
2015,21,0,74,29
2015,22,0,75,29
2015,23,0,76,29
2015,24,0,77,29
2015,25,0,78,29
2015,26,0,79,29
2015,27,0,80,29
2015,28,0,81,29
2015,29,0,82,29
2015,30,0,83,29
2015,31,0,84,29
2015,32,0,85,29
2015,33,0,86,29
2015,34,0,87,29
2015,35,0,88,29
2015,36,0,89,29
2015,37,0,90,29
2015,38,0,91,29
2015,39,0,92,29
2015,40,0,93,29
2015,41,0,94,29
2015,42,0,95,29
2015,43,0,96,29
2015,44,0,97,29
2015,45,1,98,30
2015,46,0,99,30
2015,47,0,100,30
2015,48,0,101,30
2015,49,0,102,30
2015,50,0,103,30
2015,51,0,104,30
2015,52,0,105,30
2016,1,0,106,30
2016,2,0,107,30
2016,3,0,108,30
2016,4,0,109,30
2016,5,0,110,30
2016,6,0,111,30
2016,7,0,112,30
2016,8,0,113,30
2016,9,0,114,30
2016,10,0,115,30
2016,11,0,116,30
2016,12,0,117,30
2016,13,0,118,30
2016,14,0,119,30
2016,15,0,120,30
2016,16,0,121,30
2016,17,0,122,30
2016,18,0,123,30
2016,19,0,124,30
2016,20,0,125,30
2016,21,0,126,30
2016,22,0,127,30
2016,23,0,128,30
2016,24,0,129,30
2016,25,0,130,30
2016,26,0,131,30
2016,27,0,132,30
2016,28,0,133,30
2016,29,0,134,30
2016,30,0,135,30
2016,31,0,136,30
2016,32,0,137,30
2016,33,0,138,30
2016,34,0,139,30
2016,35,0,140,30
2016,36,0,141,30
2016,37,0,142,30
2016,38,0,143,30
2016,39,0,144,30
2016,40,0,145,30
2016,41,0,146,30
2016,42,0,147,30
2016,43,0,148,30
2016,44,0,149,30
2016,45,0,150,30
2016,46,0,151,30
2016,47,0,152,30
2016,48,0,153,30
2016,49,0,154,30
2016,50,0,155,30
2016,51,0,156,30
2016,52,1,157,31
2017,1,0,158,31
2017,2,1,159,32
2017,3,0,160,32
2017,4,0,161,32
2017,5,0,162,32
2017,6,0,163,32
2017,7,0,164,32
2017,8,0,165,32
2017,9,0,166,32
2017,10,0,167,32
2017,11,0,168,32
2017,12,0,169,32
2017,13,0,170,32
2017,14,0,171,32
2017,15,0,172,32
