Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,1,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,4,8,5
2014,9,6,9,11
2014,10,0,10,11
2014,11,9,11,20
2014,12,4,12,24
2014,13,3,13,27
2014,14,0,14,27
2014,15,0,15,27
2014,16,0,16,27
2014,17,19,17,46
2014,18,37,18,83
2014,19,13,19,96
2014,20,15,20,111
2014,21,7,21,118
2014,22,3,22,121
2014,23,10,23,131
2014,24,2,24,133
2014,25,7,25,140
2014,26,0,26,140
2014,27,17,27,157
2014,28,14,28,171
2014,29,23,29,194
2014,30,20,30,214
2014,31,16,31,230
2014,32,18,32,248
2014,33,9,33,257
2014,34,29,34,286
2014,35,0,35,286
2014,36,20,36,306
2014,37,24,37,330
2014,38,12,38,342
2014,39,14,39,356
2014,40,21,40,377
2014,41,2,41,379
2014,42,13,42,392
2014,43,4,43,396
2014,44,0,44,396
2014,45,5,45,401
2014,46,9,46,410
2014,47,27,47,437
2014,48,1,48,438
2014,49,35,49,473
2014,50,2,50,475
2014,51,15,51,490
2014,52,10,52,500
2014,53,0,53,500
2015,1,0,54,500
2015,2,0,55,500
2015,3,0,56,500
2015,4,0,57,500
2015,5,16,58,516
2015,6,3,59,519
2015,7,58,60,577
2015,8,0,61,577
2015,9,44,62,621
2015,10,32,63,653
2015,11,35,64,688
2015,12,32,65,720
2015,13,27,66,747
2015,14,22,67,769
2015,15,53,68,822
2015,16,0,69,822
2015,17,47,70,869
2015,18,78,71,947
2015,19,63,72,1010
2015,20,59,73,1069
2015,21,106,74,1175
2015,22,13,75,1188
2015,23,36,76,1224
2015,24,18,77,1242
2015,25,25,78,1267
2015,26,3,79,1270
2015,27,123,80,1393
2015,28,29,81,1422
2015,29,19,82,1441
2015,30,54,83,1495
2015,31,31,84,1526
2015,32,0,85,1526
2015,33,87,86,1613
2015,34,12,87,1625
2015,35,40,88,1665
2015,36,4,89,1669
2015,37,54,90,1723
2015,38,3,91,1726
2015,39,63,92,1789
2015,40,8,93,1797
2015,41,6,94,1803
2015,42,8,95,1811
2015,43,12,96,1823
2015,44,3,97,1826
2015,45,13,98,1839
2015,46,5,99,1844
2015,47,19,100,1863
2015,48,4,101,1867
2015,49,17,102,1884
2015,50,12,103,1896
2015,51,15,104,1911
2015,52,0,105,1911
2016,1,0,106,1911
2016,2,0,107,1911
2016,3,0,108,1911
2016,4,7,109,1918
2016,5,2,110,1920
2016,6,7,111,1927
2016,7,14,112,1941
2016,8,9,113,1950
2016,9,5,114,1955
2016,10,15,115,1970
2016,11,6,116,1976
2016,12,22,117,1998
2016,13,11,118,2009
2016,14,4,119,2013
2016,15,12,120,2025
2016,16,16,121,2041
2016,17,5,122,2046
2016,18,17,123,2063
2016,19,7,124,2070
2016,20,12,125,2082
2016,21,9,126,2091
2016,22,9,127,2100
2016,23,18,128,2118
2016,24,7,129,2125
2016,25,0,130,2125
2016,26,7,131,2132
2016,27,13,132,2145
2016,28,7,133,2152
2016,29,13,134,2165
2016,30,15,135,2180
2016,31,16,136,2196
2016,32,5,137,2201
2016,33,15,138,2216
2016,34,19,139,2235
2016,35,10,140,2245
2016,36,17,141,2262
2016,37,5,142,2267
2016,38,22,143,2289
2016,39,14,144,2303
2016,40,11,145,2314
2016,41,4,146,2318
2016,42,0,147,2318
2016,43,2,148,2320
2016,44,30,149,2350
2016,45,3,150,2353
2016,46,9,151,2362
2016,47,27,152,2389
2016,48,2,153,2391
2016,49,10,154,2401
2016,50,2,155,2403
2016,51,4,156,2407
2016,52,26,157,2433
2017,1,0,158,2433
2017,2,0,159,2433
2017,3,0,160,2433
2017,4,5,161,2438
2017,5,0,162,2438
2017,6,2,163,2440
2017,7,0,164,2440
2017,8,13,165,2453
2017,9,0,166,2453
2017,10,13,167,2466
2017,11,10,168,2476
2017,12,3,169,2479
2017,13,12,170,2491
2017,14,5,171,2496
2017,15,19,172,2515
