Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,1,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,1,20,2
2014,21,0,21,2
2014,22,0,22,2
2014,23,2,23,4
2014,24,0,24,4
2014,25,1,25,5
2014,26,1,26,6
2014,27,0,27,6
2014,28,0,28,6
2014,29,0,29,6
2014,30,1,30,7
2014,31,0,31,7
2014,32,4,32,11
2014,33,3,33,14
2014,34,1,34,15
2014,35,3,35,18
2014,36,3,36,21
2014,37,2,37,23
2014,38,1,38,24
2014,39,1,39,25
2014,40,1,40,26
2014,41,2,41,28
2014,42,0,42,28
2014,43,0,43,28
2014,44,0,44,28
2014,45,1,45,29
2014,46,0,46,29
2014,47,0,47,29
2014,48,0,48,29
2014,49,0,49,29
2014,50,0,50,29
2014,51,0,51,29
2014,52,0,52,29
2014,53,0,53,29
2015,1,0,54,29
2015,2,0,55,29
2015,3,0,56,29
2015,4,0,57,29
2015,5,0,58,29
2015,6,0,59,29
2015,7,0,60,29
2015,8,0,61,29
2015,9,0,62,29
2015,10,0,63,29
2015,11,2,64,31
2015,12,0,65,31
2015,13,0,66,31
2015,14,0,67,31
2015,15,0,68,31
2015,16,0,69,31
2015,17,0,70,31
2015,18,1,71,32
2015,19,0,72,32
2015,20,1,73,33
2015,21,2,74,35
2015,22,1,75,36
2015,23,1,76,37
2015,24,3,77,40
2015,25,0,78,40
2015,26,0,79,40
2015,27,2,80,42
2015,28,2,81,44
2015,29,2,82,46
2015,30,2,83,48
2015,31,5,84,53
2015,32,5,85,58
2015,33,6,86,64
2015,34,8,87,72
2015,35,16,88,88
2015,36,9,89,97
2015,37,4,90,101
2015,38,1,91,102
2015,39,2,92,104
2015,40,0,93,104
2015,41,0,94,104
2015,42,0,95,104
2015,43,0,96,104
2015,44,0,97,104
2015,45,0,98,104
2015,46,0,99,104
2015,47,0,100,104
2015,48,0,101,104
2015,49,1,102,105
2015,50,0,103,105
2015,51,0,104,105
2015,52,0,105,105
2016,1,0,106,105
2016,2,0,107,105
2016,3,0,108,105
2016,4,0,109,105
2016,5,0,110,105
2016,6,0,111,105
2016,7,0,112,105
2016,8,0,113,105
2016,9,0,114,105
2016,10,0,115,105
2016,11,0,116,105
2016,12,0,117,105
2016,13,0,118,105
2016,14,0,119,105
2016,15,0,120,105
2016,16,0,121,105
2016,17,2,122,107
2016,18,1,123,108
2016,19,1,124,109
2016,20,1,125,110
2016,21,0,126,110
2016,22,2,127,112
2016,23,1,128,113
2016,24,2,129,115
2016,25,1,130,116
2016,26,0,131,116
2016,27,0,132,116
2016,28,0,133,116
2016,29,3,134,119
2016,30,2,135,121
2016,31,2,136,123
2016,32,1,137,124
2016,33,3,138,127
2016,34,1,139,128
2016,35,3,140,131
2016,36,0,141,131
2016,37,1,142,132
2016,38,0,143,132
2016,39,0,144,132
2016,40,0,145,132
2016,41,0,146,132
2016,42,1,147,133
2016,43,0,148,133
2016,44,2,149,135
2016,45,0,150,135
2016,46,0,151,135
2016,47,0,152,135
2016,48,0,153,135
2016,49,0,154,135
2016,50,0,155,135
2016,51,0,156,135
2016,52,0,157,135
2017,1,0,158,135
2017,2,0,159,135
2017,3,0,160,135
2017,4,0,161,135
2017,5,0,162,135
2017,6,0,163,135
2017,7,0,164,135
2017,8,0,165,135
2017,9,0,166,135
2017,10,0,167,135
2017,11,0,168,135
2017,12,0,169,135
2017,13,0,170,135
2017,14,0,171,135
2017,15,0,172,135
