Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,2,11,3
2014,12,0,12,3
2014,13,0,13,3
2014,14,0,14,3
2014,15,0,15,3
2014,16,0,16,3
2014,17,1,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,1,22,5
2014,23,0,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,0,31,5
2014,32,1,32,6
2014,33,0,33,6
2014,34,0,34,6
2014,35,0,35,6
2014,36,0,36,6
2014,37,0,37,6
2014,38,0,38,6
2014,39,0,39,6
2014,40,1,40,7
2014,41,0,41,7
2014,42,0,42,7
2014,43,0,43,7
2014,44,0,44,7
2014,45,0,45,7
2014,46,0,46,7
2014,47,0,47,7
2014,48,0,48,7
2014,49,0,49,7
2014,50,0,50,7
2014,51,1,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,1,54,9
2015,2,1,55,10
2015,3,0,56,10
2015,4,2,57,12
2015,5,0,58,12
2015,6,1,59,13
2015,7,0,60,13
2015,8,0,61,13
2015,9,1,62,14
2015,10,0,63,14
2015,11,1,64,15
2015,12,1,65,16
2015,13,3,66,19
2015,14,1,67,20
2015,15,3,68,23
2015,16,2,69,25
2015,17,3,70,28
2015,18,0,71,28
2015,19,2,72,30
2015,20,0,73,30
2015,21,1,74,31
2015,22,2,75,33
2015,23,2,76,35
2015,24,0,77,35
2015,25,1,78,36
2015,26,0,79,36
2015,27,0,80,36
2015,28,0,81,36
2015,29,0,82,36
2015,30,2,83,38
2015,31,1,84,39
2015,32,1,85,40
2015,33,0,86,40
2015,34,1,87,41
2015,35,0,88,41
2015,36,1,89,42
2015,37,0,90,42
2015,38,0,91,42
2015,39,0,92,42
2015,40,1,93,43
2015,41,0,94,43
2015,42,2,95,45
2015,43,1,96,46
2015,44,0,97,46
2015,45,0,98,46
2015,46,1,99,47
2015,47,0,100,47
2015,48,2,101,49
2015,49,2,102,51
2015,50,0,103,51
2015,51,0,104,51
2015,52,0,105,51
2016,1,0,106,51
2016,2,0,107,51
2016,3,0,108,51
2016,4,0,109,51
2016,5,0,110,51
2016,6,1,111,52
2016,7,0,112,52
2016,8,0,113,52
2016,9,1,114,53
2016,10,1,115,54
2016,11,2,116,56
2016,12,1,117,57
2016,13,1,118,58
2016,14,1,119,59
2016,15,3,120,62
2016,16,0,121,62
2016,17,0,122,62
2016,18,0,123,62
2016,19,0,124,62
2016,20,3,125,65
2016,21,1,126,66
2016,22,3,127,69
2016,23,0,128,69
2016,24,0,129,69
2016,25,2,130,71
2016,26,2,131,73
2016,27,0,132,73
2016,28,1,133,74
2016,29,0,134,74
2016,30,0,135,74
2016,31,1,136,75
2016,32,1,137,76
2016,33,0,138,76
2016,34,0,139,76
2016,35,0,140,76
2016,36,0,141,76
2016,37,0,142,76
2016,38,1,143,77
2016,39,0,144,77
2016,40,1,145,78
2016,41,0,146,78
2016,42,2,147,80
2016,43,0,148,80
2016,44,0,149,80
2016,45,0,150,80
2016,46,0,151,80
2016,47,2,152,82
2016,48,0,153,82
2016,49,3,154,85
2016,50,0,155,85
2016,51,0,156,85
2016,52,0,157,85
2017,1,0,158,85
2017,2,0,159,85
2017,3,0,160,85
2017,4,0,161,85
2017,5,0,162,85
2017,6,0,163,85
2017,7,0,164,85
2017,8,0,165,85
2017,9,2,166,87
2017,10,0,167,87
2017,11,1,168,88
2017,12,4,169,92
2017,13,2,170,94
2017,14,3,171,97
2017,15,1,172,98
